bigram	count	second_stem
d o	4	o
d s	2	s
d dain	1	dain
d ysheey	1	ysheey
d qokedy	1	qokedy
d qoaiin	1	qoaiin
d oteeodar	1	oteeodar
d okeod	1	okeod
d pdaiin	1	pdaiin
d r	1	r
d sh	1	sh
d y	1	y
d c	1	c
d okchod	1	okchod
d socfchees	1	socfchees
d ykchor	1	ykchor
d pcheocphy	1	pcheocphy
d chetcho	1	chetcho
d doin	1	doin
d qokchor	1	qokchor
d chkchy	1	chkchy
d shey	1	shey
d cheod	1	cheod
d okeaiin	1	okeaiin
d aiin	1	aiin
d qokchaiin	1	qokchaiin
d sor	1	sor
d shoin	1	shoin
d okchor	1	okchor
d ytchaiin	1	ytchaiin
d lchedy	1	lchedy
