family	feature	value
chc-che-ee-hc-he	n_obs	1
chc-che-ee-hc-he	len_7	1
chc-che-ee-hc-he	suf1_y	1
chc-che-ee-hc-he	suf2_ey	1
chc-che-hc-he	n_obs	2
chc-che-hc-he	len_7	0.5
chc-che-hc-he	len_8	0.5
chc-che-hc-he	suf1_l	0.5
chc-che-hc-he	suf1_y	0.5
chc-che-hc-he	suf2_al	0.5
chc-che-hc-he	suf2_ky	0.5
chc-ct-hc-hct	n_obs	100
chc-ct-hc-hct	len_10	0.01
chc-ct-hc-hct	len_5	0.04
chc-ct-hc-hct	len_6	0.7
chc-ct-hc-hct	len_7	0.17
chc-ct-hc-hct	len_8	0.06
chc-ct-hc-hct	len_9	0.02
chc-ct-hc-hct	suf1_a	0.01
chc-ct-hc-hct	suf1_d	0.01
chc-ct-hc-hct	suf1_h	0.02
chc-ct-hc-hct	suf1_l	0.02
chc-ct-hc-hct	suf1_m	0.02
chc-ct-hc-hct	suf1_n	0.01
chc-ct-hc-hct	suf1_o	0.04
chc-ct-hc-hct	suf1_r	0.02
chc-ct-hc-hct	suf1_y	0.85
chc-ct-hc-hct	suf2_al	0.02
chc-ct-hc-hct	suf2_am	0.02
chc-ct-hc-hct	suf2_ar	0.01
chc-ct-hc-hct	suf2_dy	0.07
chc-ct-hc-hct	suf2_hd	0.01
chc-ct-hc-hct	suf2_ho	0.03
chc-ct-hc-hct	suf2_hy	0.77
chc-ct-hc-hct	suf2_in	0.01
chc-ct-hc-hct	suf2_or	0.01
chc-ct-hc-hct	suf2_so	0.01
chc-ct-hc-hct	suf2_ta	0.01
chc-ct-hc-hct	suf2_th	0.02
chc-ct-hc-hct	suf2_ty	0.01
chc-ct-hc-hct-he	n_obs	13
chc-ct-hc-hct-he	len_7	0.461538462
chc-ct-hc-hct-he	len_8	0.538461538
chc-ct-hc-hct-he	suf1_d	0.076923077
chc-ct-hc-hct-he	suf1_y	0.923076923
chc-ct-hc-hct-he	suf2_dy	0.538461538
chc-ct-hc-hct-he	suf2_ed	0.076923077
chc-ct-hc-hct-he	suf2_ey	0.384615385
chc-ct-hc-hct-lc	n_obs	1
chc-ct-hc-hct-lc	len_7	1
chc-ct-hc-hct-lc	suf1_y	1
chc-ct-hc-hct-lc	suf2_hy	1
chc-ct-hc-hct-lc-olc	n_obs	3
chc-ct-hc-hct-lc-olc	len_10	0.333333333
chc-ct-hc-hct-lc-olc	len_8	0.666666667
chc-ct-hc-hct-lc-olc	suf1_y	1
chc-ct-hc-hct-lc-olc	suf2_hy	1
chc-ct-hc-hct-tc-tch	n_obs	1
chc-ct-hc-hct-tc-tch	len_7	1
chc-ct-hc-hct-tc-tch	suf1_y	1
chc-ct-hc-hct-tc-tch	suf2_hy	1
chc-ct-hc-hct-yc-ych	n_obs	1
chc-ct-hc-hct-yc-ych	len_8	1
chc-ct-hc-hct-yc-ych	suf1_d	1
chc-ct-hc-hct-yc-ych	suf2_od	1
chc-dc-dch-hc	n_obs	3
chc-dc-dch-hc	len_6	0.333333333
chc-dc-dch-hc	len_7	0.666666667
chc-dc-dch-hc	suf1_y	1
chc-dc-dch-hc	suf2_hy	1
chc-dc-dch-hc-he	n_obs	1
chc-dc-dch-hc-he	len_9	1
