position	mean_H	sd_H
otsh	Herbal	0.422122
otsh	Pharmaceutical	-0.508515
otsh	Recipes	0.230310
otsh	Astronomical	0.390888
otsh	Biological	0.830214
otsh	Unassigned	0.092659
ots	Herbal	0.422122
ots	Pharmaceutical	0.092659
ots	Recipes	0.092659
ots	Astronomical	-0.508515
ots	Biological	0.830214
ots	Unassigned	0.092659
daii	Herbal	0.259047
daii	Pharmaceutical	0.259047
daii	Recipes	0.259047
daii	Astronomical	0.092659
daii	Biological	0.259047
daii	Unassigned	0.092659
qe	Herbal	-0.016091
qe	Pharmaceutical	0.092659
qe	Recipes	0.092659
qe	Astronomical	0.092659
qe	Biological	-0.506458
qe	Unassigned	0.092659
dal	Herbal	-0.014203
dal	Pharmaceutical	0.224326
dal	Recipes	0.092659
dal	Astronomical	0.092659
dal	Biological	0.092659
dal	Unassigned	0.092659
p	Herbal	0.092659
p	Pharmaceutical	0.092659
p	Recipes	0.092659
p	Astronomical	0.092659
p	Biological	0.092659
p	Unassigned	0.092659
ytch	Herbal	0.781840
ytch	Pharmaceutical	0.781840
ytch	Recipes	0.781840
ytch	Astronomical	0.683845
ytch	Biological	0.781840
ytch	Unassigned	0.342515
kche	Herbal	-0.816365
kche	Pharmaceutical	0.092659
kche	Recipes	-0.816365
kche	Astronomical	0.092659
kche	Biological	-0.293994
kche	Unassigned	0.092659
shee	Herbal	-0.413703
shee	Pharmaceutical	-0.413703
shee	Recipes	-0.266731
shee	Astronomical	-0.901321
shee	Biological	-0.248554
shee	Unassigned	0.092659
dche	Herbal	-0.747996
dche	Pharmaceutical	-0.747996
dche	Recipes	-0.747996
dche	Astronomical	-0.009171
dche	Biological	-0.747996
dche	Unassigned	-0.260376
sc	Herbal	0.092659
sc	Pharmaceutical	0.092659
sc	Recipes	0.253235
sc	Astronomical	0.092659
sc	Biological	0.092659
sc	Unassigned	0.092659
sho	Herbal	-0.106360
sho	Pharmaceutical	-0.038199
sho	Recipes	-0.151392
sho	Astronomical	-0.102274
sho	Biological	-0.102274
sho	Unassigned	-0.781468
pcho	Herbal	-0.454253
pcho	Pharmaceutical	0.092659
pcho	Recipes	-0.344661
pcho	Astronomical	0.092659
pcho	Biological	0.092659
pcho	Unassigned	0.092659
sch	Herbal	0.092659
sch	Pharmaceutical	0.092659
sch	Recipes	-0.506458
sch	Astronomical	0.092659
sch	Biological	-0.506458
sch	Unassigned	0.092659
po	Herbal	0.092659
po	Pharmaceutical	0.092659
po	Recipes	0.092659
po	Astronomical	0.092659
po	Biological	0.092659
po	Unassigned	0.092659
chol	Herbal	-0.112439
chol	Pharmaceutical	-0.112439
chol	Recipes	-0.112439
chol	Astronomical	-0.112439
chol	Biological	-0.150415
chol	Unassigned	0.092659
ls	Herbal	0.000093
ls	Pharmaceutical	0.092659
ls	Recipes	0.095229
ls	Astronomical	0.092659
ls	Biological	0.000093
ls	Unassigned	0.092659
chot	Herbal	-0.223744
chot	Pharmaceutical	-0.024373
chot	Recipes	-0.116884
chot	Astronomical	-0.024373
chot	Biological	-0.024373
chot	Unassigned	0.092659
lsh	Herbal	0.000093
lsh	Pharmaceutical	-0.697198
