prefix	count
ch	4462
qo	4357
sh	2558
ot	2030
ok	1962
da	1796
ol	1234
ai	613
yk	487
or	451
ar	427
al	410
yt	408
sa	388
lk	379
ct	365
op	338
ke	282
so	278
do	275
dy	252
lc	250
ka	222
pc	208
tc	204
dc	202
od	182
ra	180
te	172
s	168

suffix	count
dy	5548
in	4530
ey	3076
ol	2705
ar	2163
al	1711
hy	1680
or	1613
am	657
ky	578
ir	463
ly	420
ty	356
eo	321
os	315
es	272
ho	256
ry	232
s	168
ed	166
od	157
om	146
y	113
ls	91
an	88
oy	86
sy	83
r	67
hd	62
o	60

length	count
1	550
2	1807
3	2766
4	5217
5	7513
6	6005
7	3611
8	1451
9	537
10	166
11	36
12	19
13	6
14	3
15	1
