tok_id	token	prefix	stem	suffix
1	fachys		fachys	
2	ykal		ykal	
3	ar		ar	
4	ataiin		ataiin	
5	shol		shol	
6	shory		shory	
7	cthres		cthres	
8	y		y	
9	kor		kor	
10	sholdy		sholdy	
11	sory		sory	
12	ckhar		ckhar	
13	or		or	
14	y		y	
15	kair		kair	
16	chtaiin		chtaiin	
17	shar		shar	
18	are		are	
19	cthar		cthar	
20	cthar		cthar	
21	dan		dan	
22	syaiir		syaiir	
23	sheky		sheky	
24	or		or	
25	ykaiin		ykaiin	
26	shod		shod	
27	cthoary		cthoary	
28	cthes		cthes	
29	daraiin		daraiin	
30	sa		sa	
31	ooiin		ooiin	
32	oteey		oteey	
33	oteos		oteos	
34	roloty		roloty	
35	cthar		cthar	
36	daiin		daiin	
37	otaiin		otaiin	
38	or		or	
39	okan		okan	
40	dair		dair	
41	y		y	
42	chear		chear	
43	cthaiin		cthaiin	
44	cphar		cphar	
45	cfhaiin		cfhaiin	
46	odar		odar	
47	o		o	
48	y		y	
49	shol		shol	
50	cphoy		cphoy	
51	oydar		oydar	
52	sh		sh	
53	s		s	
54	cfhoaiin		cfhoaiin	
55	shodary		shodary	
56	yshey		yshey	
57	shody		shody	
58	okchoy		okchoy	
59	otchol		otchol	
60	chocthy		chocthy	
61	oschy		oschy	
62	dain		dain	
63	chor		chor	
64	kos		kos	
65	daiin		daiin	
66	shos		shos	
67	cfhol		cfhol	
68	shody		shody	
69	ydain		ydain	
70	cphesaiin		cphesaiin	
71	ol		ol	
72	s		s	
73	cphey		cphey	
74	ytain		ytain	
75	shoshy		shoshy	
76	cphodales		cphodales	
77	oksho		oksho	
78	kshoy		kshoy	
79	otairin		otairin	
80	oteol		oteol	
81	okan		okan	
82	shodain		shodain	
83	sckhey		sckhey	
84	daiin		daiin	
85	shoy		shoy	
86	ckhey		ckhey	
87	kodaiin		kodaiin	
88	cphy		cphy	
89	cphodaiils		cphodaiils	
90	cthey		cthey	
91	she		she	
92	oldain		oldain	
93	d		d	
94	dain		dain	
95	oiin		oiin	
96	chol		chol	
97	odaiin		odaiin	
98	chodain		chodain	
99	chdy		chdy	
100	okain		okain	
101	dan		dan	
102	cthy		cthy	
103	kod		kod	
104	daiin		daiin	
105	shckhey		shckhey	
106	ckeor		ckeor	
107	chor		chor	
108	shey		shey	
109	kol		kol	
110	chol		chol	
111	chol		chol	
112	kor		kor	
113	chal		chal	
114	sho		sho	
115	chol		chol	
116	shodan		shodan	
117	kshy		kshy	
118	kchy		kchy	
119	dor		dor	
120	chodaiin		chodaiin	
121	sho		sho	
122	kchom		kchom	
123	ycho		ycho	
124	tchey		tchey	
125	chokain		chokain	
126	sheo		sheo	
127	pshol		pshol	
128	dydyd		dydyd	
129	cthy		cthy	
130	daicthy		daicthy	
131	yto		yto	
132	shol		shol	
133	she		she	
134	kodshey		kodshey	
135	cphealy		cphealy	
136	dasain		dasain	
137	dain		dain	
138	ckhyds		ckhyds	
139	dchar		dchar	
140	shcthaiin		shcthaiin	
141	okaiir		okaiir	
142	chey		chey	
143	rchy		rchy	
144	potol		potol	
145	cthols		cthols	
146	dlocta		dlocta	
147	shok		shok	
148	chor		chor	
149	chey		chey	
150	dain		dain	
151	ckhey		ckhey	
152	cpho		cpho	
153	shaiin		shaiin	
154	shokcheey		shokcheey	
155	chol		chol	
156	tshodeesy		tshodeesy	
157	shey		shey	
158	pydeey		pydeey	
159	chy		chy	
160	ro		ro	
161	d		d	
162	doin		doin	
163	chol		chol	
164	dain		dain	
165	cthal		cthal	
166	dar		dar	
167	shear		shear	
168	kaiin		kaiin	
169	dar		dar	
170	shey		shey	
171	cthar		cthar	
172	choo		choo	
173	kaiin		kaiin	
174	shoaiin		shoaiin	
175	okol		okol	
176	daiin		daiin	
177	far		far	
178	cthol		cthol	
179	daiin		daiin	
180	ctholdar		ctholdar	
181	ycheey		ycheey	
182	okay		okay	
183	oky		oky	
184	daiin		daiin	
185	okchey		okchey	
186	kokaiin		kokaiin	
187	chol		chol	
188	kchy		kchy	
189	dal		dal	
190	deeo		deeo	
191	shody		shody	
192	koshey		koshey	
193	cthy		cthy	
194	okchey		okchey	
195	keey		keey	
196	keey		keey	
197	dal		dal	
198	chtor		chtor	
199	eo		eo	
200	chol		chol	
201	chok		chok	
202	choty		choty	
203	chotey		chotey	
