stem	token_count	frequency	cumulative_frequency	rank	example_tokens
d	1468	0.04934951423672975	0.04934951423672975	1	daiin; daiin; daiin
qok	943	0.03170067569838975	0.0810501899351195	2	qoky; qok; qokol
ch	889	0.02988536659158907	0.11093555652670857	3	ch; chor; chol
che	689	0.023161999529364305	0.13409755605607288	4	cheol; cheol; cheol
ol	645	0.021682858775674857	0.15578041483174773	5	ol; ol; ol
ok	638	0.021447540928496992	0.17722795576024472	6	okol; okor; okal
ot	618	0.020775204222274517	0.19800315998251924	7	otal; otol; otaiin
ched	582	0.019564998151074056	0.21756815813359331	8	chedy; chedy; chedy
she	521	0.017514371197095504	0.23508252933068882	9	shey; sheor; sheody
shed	457	0.015362893737183582	0.25044542306787243	10	shedy; shedy; shedy
aiin	456	0.015329276901872458	0.2657746999697449	11	aiin; aiin; aiin
ar	422	0.014186304501294248	0.27996100447103917	12	ar; ar; ar
sh	411	0.013816519312871886	0.29377752378391103	13	shol; shol; shol
s	407	0.01368205197162739	0.3074595757555384	14	s; sol; sal
or	403	0.013547584630382897	0.3210071603859213	15	or; or; or
qot	347	0.011665041852959962	0.3326722022388813	16	qotol; qotal; qotain
al	320	0.010757387299559619	0.3434295895384409	17	al; al; al
qokee	300	0.010085050593337143	0.353514640131778	18	qokeey; qokeeol; qokeeody
dar	289	0.009715265404914781	0.3632299055366928	19	dar; dar; dar
qokeed	287	0.009648031734292534	0.37287793727098534	20	qokeedy; qokeedy; qokeedy
qoked	264	0.008874844522136686	0.381752781793122	21	qokedy; qokedy; qokedy
r	254	0.008538676169025448	0.3902914579621474	22	raiin; raiin; r
cth	234	0.007866339462802971	0.3981577974249504	23	cthy; cthol; cthy
k	225	0.007563787945002858	0.40572158536995323	24	kol; kor; kor
chee	208	0.006992301744713753	0.412713887114667	25	cheey; cheey; cheeor
chd	206	0.006925068074091505	0.4196389551887585	26	chdy; chdy; chdy
okee	193	0.006488049215046895	0.4261270044038054	27	okeeol; okeey; okeey
qoke	191	0.006420815544424648	0.43254781994823005	28	qokeody; qokeol; qokeol
shee	176	0.005916563014757791	0.43846438296298784	29	sheey; sheey; sheeol
oke	176	0.005916563014757791	0.44438094597774563	30	okeol; okeol; okeor
q	165	0.005546777826335429	0.4499277238040811	31	qol; qol; qol
l	164	0.005513160991024305	0.45544088479510536	32	ly; lol; l
