stem	suffix	count	stem_total	proportion
sheod	NULL	9	17	0.5294117647058824
sheod	aiin	4	17	0.23529411764705882
sheod	al	3	17	0.17647058823529413
sheod	ol	1	17	0.058823529411764705
qocpheeckh	y	1	1	1.0
shod	NULL	8	35	0.22857142857142856
shod	aiin	17	35	0.4857142857142857
shod	ain	3	35	0.08571428571428572
shod	al	3	35	0.08571428571428572
shod	ody	1	35	0.02857142857142857
shod	ol	3	35	0.08571428571428572
cthdaoto	NULL	1	1	1.0
ch	NULL	4	889	0.0044994375703037125
ch	aiin	40	889	0.04499437570303712
ch	ain	16	889	0.01799775028121485
ch	al	43	889	0.048368953880764905
ch	am	18	889	0.020247469066366704
ch	ody	87	889	0.09786276715410573
ch	ol	359	889	0.40382452193475815
ch	or	190	889	0.21372328458942633
ch	y	132	889	0.1484814398200225
qeos	NULL	1	1	1.0
shee	NULL	13	176	0.07386363636363637
shee	ain	1	176	0.005681818181818182
shee	al	1	176	0.005681818181818182
shee	ody	3	176	0.017045454545454544
shee	ol	13	176	0.07386363636363637
shee	or	9	176	0.05113636363636364
shee	y	136	176	0.7727272727272727
chcthso	NULL	1	1	1.0
s	NULL	184	407	0.4520884520884521
s	aiin	78	407	0.19164619164619165
s	ain	30	407	0.07371007371007371
s	al	40	407	0.09828009828009827
s	am	8	407	0.019656019656019656
s	ody	3	407	0.007371007371007371
s	ol	27	407	0.06633906633906633
s	or	16	407	0.03931203931203931
s	y	21	407	0.051597051597051594
cthe	ody	6	61	0.09836065573770492
cthe	ol	10	61	0.16393442622950818
cthe	or	5	61	0.08196721311475409
cthe	y	40	61	0.6557377049180327
qokee	aiin	1	300	0.0033333333333333335
qokee	al	1	300	0.0033333333333333335
qokee	am	1	300	0.0033333333333333335
qokee	ody	12	300	0.04
qokee	ol	9	300	0.03
qokee	or	7	300	0.023333333333333334
qokee	y	269	300	0.8966666666666666
otee	al	2	143	0.013986013986013986
otee	am	2	143	0.013986013986013986
otee	ody	10	143	0.06993006993006994
otee	ol	7	143	0.04895104895104895
otee	or	4	143	0.027972027972027972
otee	y	118	143	0.8251748251748252
ykeeod	ain	1	2	0.5
ykeeod	am	1	2	0.5
sorar	y	1	1	1.0
d	NULL	32	1468	0.021798365122615803
d	aiin	619	1468	0.42166212534059944
d	ain	139	1468	0.0946866485013624
d	al	230	1468	0.1566757493188011
d	am	83	1468	0.05653950953678474
d	ody	5	1468	0.0034059945504087193
d	ol	95	1468	0.06471389645776567
d	or	46	1468	0.031335149863760216
d	y	219	1468	0.14918256130790192
deeamsh	ol	1	1	1.0
chkee	al	1	14	0.07142857142857142
chkee	ody	1	14	0.07142857142857142
chkee	y	12	14	0.8571428571428571
qotee	al	1	50	0.02
qotee	ody	6	50	0.12
qotee	ol	5	50	0.1
qotee	y	38	50	0.76
qoke	ain	3	191	0.015706806282722512
qoke	al	3	191	0.015706806282722512
qoke	ody	28	191	0.14659685863874344
qoke	ol	46	191	0.24083769633507854
qoke	or	15	191	0.07853403141361257
qoke	y	96	191	0.5026178010471204
qoteold	NULL	1	1	1.0
so	NULL	3	3	1.0
r	NULL	78	254	0.30708661417322836
r	aiin	72	254	0.28346456692913385
r	ain	24	254	0.09448818897637795
r	al	16	254	0.06299212598425197
r	am	14	254	0.05511811023622047
r	ody	2	254	0.007874015748031496
r	ol	20	254	0.07874015748031496
r	or	17	254	0.06692913385826772
r	y	11	254	0.04330708661417323
ot	NULL	8	618	0.012944983818770227
ot	aiin	140	618	0.22653721682847897
ot	ain	90	618	0.14563106796116504
ot	al	124	618	0.20064724919093851
ot	am	43	618	0.06957928802588997
ot	ody	8	618	0.012944983818770227
ot	ol	67	618	0.10841423948220065
ot	or	35	618	0.05663430420711974
ot	y	103	618	0.16666666666666666
ykecho	NULL	1	1	1.0
sh	NULL	12	411	0.029197080291970802
sh	aiin	18	411	0.043795620437956206
sh	ain	3	411	0.0072992700729927005
sh	al	14	411	0.0340632603406326
sh	am	6	411	0.014598540145985401
sh	ody	45	411	0.10948905109489052
sh	ol	154	411	0.3746958637469586
sh	or	73	411	0.17761557177615572
sh	y	86	411	0.20924574209245742
fchodyche	ol	1	1	1.0
cph	aiin	7	44	0.1590909090909091
cph	ain	1	44	0.022727272727272728
cph	al	2	44	0.045454545454545456
cph	ody	1	44	0.022727272727272728
cph	ol	14	44	0.3181818181818182
cph	or	6	44	0.13636363636363635
cph	y	13	44	0.29545454545454547
qotees	NULL	3	4	0.75
qotees	y	1	4	0.25
she	NULL	25	521	0.04798464491362764
she	aiin	8	521	0.015355086372360844
she	ain	2	521	0.003838771593090211
she	al	19	521	0.036468330134357005
she	am	2	521	0.003838771593090211
she	ody	46	521	0.08829174664107485
she	ol	106	521	0.2034548944337812
she	or	46	521	0.08829174664107485
she	y	267	521	0.5124760076775432
oreso	NULL	1	1	1.0
alcfh	y	1	1	1.0
qockh	ody	1	24	0.041666666666666664
qockh	ol	5	24	0.20833333333333334
qockh	or	1	24	0.041666666666666664
qockh	y	17	24	0.7083333333333334
sho	NULL	89	94	0.9468085106382979
sho	aiin	4	94	0.0425531914893617
sho	y	1	94	0.010638297872340425
kee	ody	8	70	0.11428571428571428
kee	ol	12	70	0.17142857142857143
kee	or	8	70	0.11428571428571428
kee	y	42	70	0.6
cckhh	y	1	1	1.0
ykee	am	1	56	0.017857142857142856
ykee	ody	7	56	0.125
ykee	ol	6	56	0.10714285714285714
ykee	y	42	56	0.75
ode	aiin	1	3	0.3333333333333333
ode	or	1	3	0.3333333333333333
ode	y	1	3	0.3333333333333333
ykshee	y	1	1	1.0
sai	NULL	1	1	1.0
che	NULL	2	689	0.002902757619738752
che	aiin	2	689	0.002902757619738752
che	ain	2	689	0.002902757619738752
che	al	29	689	0.0420899854862119
che	am	3	689	0.0043541364296081275
che	ody	76	689	0.11030478955007257
che	ol	158	689	0.22931785195936139
che	or	92	689	0.13352685050798258
