stem	voynich_freq	candidate_rank	candidate_latin	candidate_meaning	structural_similarity	final_score	latin_freq	notes
d	1468	1	cn		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	2	dam		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	3	dan		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	4	deb		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	5	ded		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	6	dev		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	7	did		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	8	dit		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	9	doc		0.4	1.759	1	PhaseM_Whitaker_31k
d	1468	10	dog		0.4	1.759	1	PhaseM_Whitaker_31k
qok	943	1	qur		0.6	2.003	1	PhaseM_Whitaker_31k
qok	943	2	qum		0.6	1.934	2	PhaseM_Whitaker_31k
qok	943	3	quant		0.467	1.87	1	PhaseM_Whitaker_31k
qok	943	4	querc		0.467	1.87	1	PhaseM_Whitaker_31k
qok	943	5	quern		0.467	1.87	1	PhaseM_Whitaker_31k
qok	943	6	quest		0.467	1.87	1	PhaseM_Whitaker_31k
qok	943	7	abd		0.45	1.853	1	PhaseM_Whitaker_31k
qok	943	8	abr		0.45	1.853	1	PhaseM_Whitaker_31k
qok	943	9	acc		0.45	1.853	1	PhaseM_Whitaker_31k
qok	943	10	acn		0.45	1.853	1	PhaseM_Whitaker_31k
ch	889	1	chenamych		0.693	2.102	1	PhaseM_Whitaker_31k
ch	889	2	chenomych		0.693	2.102	1	PhaseM_Whitaker_31k
ch	889	3	chyl		0.65	2.059	1	PhaseM_Whitaker_31k
ch	889	4	chym		0.65	2.059	1	PhaseM_Whitaker_31k
ch	889	5	cn		0.6	2.009	1	PhaseM_Whitaker_31k
ch	889	6	chal		0.583	1.992	1	PhaseM_Whitaker_31k
ch	889	7	cham		0.583	1.992	1	PhaseM_Whitaker_31k
ch	889	8	chan		0.583	1.992	1	PhaseM_Whitaker_31k
ch	889	9	chel		0.583	1.992	1	PhaseM_Whitaker_31k
ch	889	10	chri		0.583	1.992	1	PhaseM_Whitaker_31k
che	689	1	conche	~ baca => pearl	0.7	2.134	1	PhaseM_Whitaker_31k
che	689	2	the		0.7	2.134	1	PhaseM_Whitaker_31k
che	689	3	cha		0.75	2.115	2	PhaseM_Whitaker_31k
che	689	4	chal		0.667	2.101	1	PhaseM_Whitaker_31k
che	689	5	cham		0.667	2.101	1	PhaseM_Whitaker_31k
che	689	6	chan		0.667	2.101	1	PhaseM_Whitaker_31k
che	689	7	chel		0.667	2.101	1	PhaseM_Whitaker_31k
che	689	8	chri		0.667	2.101	1	PhaseM_Whitaker_31k
che	689	9	chus		0.667	2.101	1	PhaseM_Whitaker_31k
che	689	10	chi		0.75	2.074	3	PhaseM_Whitaker_31k
ol	645	1	ol		1.0	2.441	1	PhaseM_Whitaker_31k
ol	645	2	olfactoriol		0.717	2.157	1	PhaseM_Whitaker_31k
ol	645	3	obol		0.75	2.122	2	PhaseM_Whitaker_31k
ol	645	4	olid		0.65	2.091	1	PhaseM_Whitaker_31k
ol	645	5	olim		0.65	2.091	1	PhaseM_Whitaker_31k
ol	645	6	olor		0.65	2.091	1	PhaseM_Whitaker_31k
ol	645	7	olus		0.65	2.091	1	PhaseM_Whitaker_31k
ol	645	8	ostiol		0.65	2.091	1	PhaseM_Whitaker_31k
ol	645	9	abol		0.6	2.041	1	PhaseM_Whitaker_31k
ol	645	10	agol		0.6	2.041	1	PhaseM_Whitaker_31k
ok	638	1	ob		0.6	2.042	1	PhaseM_Whitaker_31k
ok	638	2	oc		0.6	2.042	1	PhaseM_Whitaker_31k
ok	638	3	oh		0.6	2.042	1	PhaseM_Whitaker_31k
ok	638	4	ol		0.6	2.042	1	PhaseM_Whitaker_31k
ok	638	5	ot		0.6	2.042	1	PhaseM_Whitaker_31k
ok	638	6	ov		0.6	1.973	2	PhaseM_Whitaker_31k
ok	638	7	obar		0.5	1.942	1	PhaseM_Whitaker_31k
ok	638	8	obel		0.5	1.942	1	PhaseM_Whitaker_31k
ok	638	9	obes		0.5	1.942	1	PhaseM_Whitaker_31k
ok	638	10	obex		0.5	1.942	1	PhaseM_Whitaker_31k
ot	618	1	ot		1.0	2.445	1	PhaseM_Whitaker_31k
ot	618	2	otho	Silvius ~ => Emperor, 69 AD, year of the 4 Emperor	0.65	2.095	1	PhaseM_Whitaker_31k
ot	618	3	otis		0.65	2.095	1	PhaseM_Whitaker_31k
ot	618	4	azot		0.6	2.045	1	PhaseM_Whitaker_31k
ot	618	5	diot		0.6	2.045	1	PhaseM_Whitaker_31k
ot	618	6	ob		0.6	2.045	1	PhaseM_Whitaker_31k
ot	618	7	oc		0.6	2.045	1	PhaseM_Whitaker_31k
ot	618	8	oh		0.6	2.045	1	PhaseM_Whitaker_31k
ot	618	9	ol		0.6	2.045	1	PhaseM_Whitaker_31k
ot	618	10	dot		0.55	1.995	1	PhaseM_Whitaker_31k
ched	582	1	cred		0.85	2.232	2	PhaseM_Whitaker_31k
