family	sim_latin	sim_arabic	delta	label	family_norm
che-ee-he-yk	0.290316	0.012215	0.278101	Latin-like	che-ee-he-yk
che-he-lc-oe	0.267053	0.003192	0.263861	Latin-like	che-he-lc-oe
ct-hc-ke	0.255268	0.012215	0.243053	Latin-like	ct-hc-ke
dc-dch-ee	0.236277	0.012215	0.224062	Latin-like	dc-dch-ee
ee-ke-oe-yk	0.25357	0.038618	0.214951	Latin-like	ee-ke-oe-yk
ee-oe-yc-ych	0.25357	0.038618	0.214951	Latin-like	ee-oe-yc-ych
lc-yt	0.225469	0.012215	0.213255	Latin-like	lc-yt
ee-ke-ls-yk	0.237049	0.038618	0.198431	Latin-like	ee-ke-ls-yk
lc-ls-olc	0.237049	0.038618	0.198431	Latin-like	lc-ls-olc
ls-otc-tc-tch	0.196495	0.003192	0.193302	Latin-like	ls-otc-tc-tch
ke-ok-oke-yt	0.192961	0.021675	0.171286	Latin-like	ke-ok-oke-yt
che-dc-dch-he-tc-tch	0.152646	2.3e-05	0.152623	Latin-like	che-dc-dch-he-tc-tch
chc-ct-hc-hct-yc-ych	0.160675	0.012215	0.14846	Latin-like	chc-ct-hc-hct-yc-ych
ls-tc-tch	0.188298	0.041603	0.146696	Latin-like	ls-tc-tch
ct-ls	0.183705	0.050986	0.13272	Latin-like	ct-ls
ke-ls-yk	0.183705	0.050986	0.13272	Latin-like	ke-ls-yk
che-dc-dch-he-yt	0.135611	0.003192	0.132419	Latin-like	che-dc-dch-he-yt
ct-oe	0.135611	0.003192	0.132419	Latin-like	ct-oe
yk-yt	0.142868	0.012215	0.130653	Latin-like	yk-yt
oe-yt	0.139471	0.012215	0.127256	Latin-like	oe-yt
ee-oe-ok-qoe	0.125421	0.000589	0.124832	Latin-like	ee-oe-ok-qoe
che-he-ok-tc-tch	0.161961	0.038618	0.123343	Latin-like	che-he-ok-tc-tch
pc-yk	0.156763	0.038618	0.118145	Latin-like	pc-yk
otc-tc-tch-yt	0.119605	0.003192	0.116413	Latin-like	otc-tc-tch-yt
chc-hc-op-opc-pc-qop	0.120214	0.00657	0.113644	Latin-like	chc-hc-op-opc-pc-qop
ke-ls-ok-oke	0.133979	0.021636	0.112343	Latin-like	ke-ls-ok-oke
ee-lc-olc	0.109415	0.000589	0.108826	Latin-like	ee-lc-olc
ls-ok	0.193159	0.092509	0.10065	Latin-like	ls-ok
ke-oe-ok-oke	0.119278	0.019158	0.10012	Latin-like	ke-oe-ok-oke
oe-yk	0.162733	0.067448	0.095286	Latin-like	oe-yk
ee-oe-op	0.150331	0.055071	0.09526	Latin-like	ee-oe-op
che-he-ok-yt	0.091763	2.3e-05	0.09174	Latin-like	che-he-ok-yt
ct-ok-qok	0.090116	9.7e-05	0.090018	Latin-like	ct-ok-qok
ee-he-oe	0.104512	0.018652	0.08586	Latin-like	ee-he-oe
he-ls	0.109927	0.024858	0.085069	Latin-like	he-ls
ke-op	0.106652	0.021675	0.084977	Latin-like	ke-op
chc-ee-hc-he	0.094044	0.009973	0.08407	Latin-like	chc-ee-hc-he
che-he-ls	0.111903	0.028187	0.083715	Latin-like	che-he-ls
ee-he-ok	0.100551	0.017828	0.082723	Latin-like	ee-he-ok
che-ee-he-tc-tch-yt-ytc	0.103273	0.021675	0.081597	Latin-like	che-ee-he-tc-tch-yt-ytc
dc-dch-op	0.089961	0.012215	0.077746	Latin-like	dc-dch-op
oe-ok	0.15774	0.080942	0.076798	Latin-like	oe-ok
ee-op-qop	0.093354	0.017828	0.075525	Latin-like	ee-op-qop
ls-op	0.155304	0.080942	0.074362	Latin-like	ls-op
chc-hc-pc	0.085432	0.012215	0.073218	Latin-like	chc-hc-pc
che-ct-he-yc-ych	0.085432	0.012215	0.073218	Latin-like	che-ct-he-yc-ych
che-dc-dch-he-oe	0.085432	0.012215	0.073218	Latin-like	che-dc-dch-he-oe
che-ee-he-yt	0.085432	0.012215	0.073218	Latin-like	che-ee-he-yt
che-he-ke-lc-olc	0.085432	0.012215	0.073218	Latin-like	che-he-ke-lc-olc
che-he-ke-oe	0.085432	0.012215	0.073218	Latin-like	che-he-ke-oe
ct-hc-hct-he	0.085432	0.012215	0.073218	Latin-like	ct-hc-hct-he
ct-he-yc	0.085432	0.012215	0.073218	Latin-like	ct-he-yc
ee-pc	0.085432	0.012215	0.073218	Latin-like	ee-pc
he-op-opc-pc	0.085432	0.012215	0.073218	Latin-like	he-op-opc-pc
ke-oe-yk	0.085432	0.012215	0.073218	Latin-like	ke-oe-yk
ke-ok-oke-tc-tch	0.085432	0.012215	0.073218	Latin-like	ke-ok-oke-tc-tch
lc-op	0.085432	0.012215	0.073218	Latin-like	lc-op
lc-pc	0.085432	0.012215	0.073218	Latin-like	lc-pc
ok-qok-yc-ych	0.085432	0.012215	0.073218	Latin-like	ok-qok-yc-ych
ok-qok-yk	0.085432	0.012215	0.073218	Latin-like	ok-qok-yk
op-opc-pc-tc-yt-ytc	0.085432	0.012215	0.073218	Latin-like	op-opc-pc-tc-yt-ytc
pc-tc-tch	0.085432	0.012215	0.073218	Latin-like	pc-tc-tch
tc-tch-yk-ykc	0.085432	0.012215	0.073218	Latin-like	tc-tch-yk-ykc
lc-oe	0.084506	0.012215	0.072291	Latin-like	lc-oe
ok-yt	0.090246	0.022441	0.067805	Latin-like	ok-yt
he-ke-ok-oke-qok	0.079068	0.011265	0.067803	Latin-like	he-ke-ok-oke-qok
ee-oe-ok	0.091323	0.0244	0.066923	Latin-like	ee-oe-ok
che-ee-he-yc-ych-yt	0.066976	0.001361	0.065614	Latin-like	che-ee-he-yc-ych-yt
chc-che-ee-hc-he	0.102725	0.038618	0.064106	Latin-like	chc-che-ee-hc-he
chc-ct-hc-hct-lc	0.102725	0.038618	0.064106	Latin-like	chc-ct-hc-hct-lc
chc-ct-hc-hct-tc-tch	0.102725	0.038618	0.064106	Latin-like	chc-ct-hc-hct-tc-tch
chc-hc-yc-ych	0.102725	0.038618	0.064106	Latin-like	chc-hc-yc-ych
ct-ee-oe	0.102725	0.038618	0.064106	Latin-like	ct-ee-oe
ct-ke	0.102725	0.038618	0.064106	Latin-like	ct-ke
dc-dch-he	0.102725	0.038618	0.064106	Latin-like	dc-dch-he
dc-dch-ke-ok-oke	0.102725	0.038618	0.064106	Latin-like	dc-dch-ke-ok-oke
dc-dch-ke-yk	0.102725	0.038618	0.064106	Latin-like	dc-dch-ke-yk
ee-he-yk	0.102725	0.038618	0.064106	Latin-like	ee-he-yk
ee-oe-ok-qok	0.102725	0.038618	0.064106	Latin-like	ee-oe-ok-qok
ee-oe-op-qop	0.102725	0.038618	0.064106	Latin-like	ee-oe-op-qop
ee-oe-yt	0.102725	0.038618	0.064106	Latin-like	ee-oe-yt
hc-ls-lsh-shc	0.102725	0.038618	0.064106	Latin-like	hc-ls-lsh-shc
oe-pc-qoe	0.102725	0.038618	0.064106	Latin-like	oe-pc-qoe
ok-tc-tch-yt-ytc	0.102725	0.038618	0.064106	Latin-like	ok-tc-tch-yt-ytc
ls-lsh-tc-tch	0.066699	0.003192	0.063507	Latin-like	ls-lsh-tc-tch
ls-lsh-ok-qok	0.101284	0.038618	0.062665	Latin-like	ls-lsh-ok-qok
otc-tc	0.115832	0.055071	0.060761	Latin-like	otc-tc
hc	0.077341	0.016591	0.06075	Latin-like	hc
chc-che-hc-he	0.082249	0.021675	0.060574	Latin-like	chc-che-hc-he
chc-dc-dch-hc-he	0.06217	0.003192	0.058978	Latin-like	chc-dc-dch-hc-he
chc-ee-hc-tc-tch-yt-ytc	0.06217	0.003192	0.058978	Latin-like	chc-ee-hc-tc-tch-yt-ytc
chc-hc-he-lc	0.06217	0.003192	0.058978	Latin-like	chc-hc-he-lc
che-ct-dc-dch-he	0.06217	0.003192	0.058978	Latin-like	che-ct-dc-dch-he
che-ee-he-ke-ok-oke-pc	0.06217	0.003192	0.058978	Latin-like	che-ee-he-ke-ok-oke-pc
che-ee-he-ke-ok-oke-qok	0.06217	0.003192	0.058978	Latin-like	che-ee-he-ke-ok-oke-qok
che-ee-he-ke-yk	0.06217	0.003192	0.058978	Latin-like	che-ee-he-ke-yk
che-ee-he-lc-ok-qok	0.06217	0.003192	0.058978	Latin-like	che-ee-he-lc-ok-qok
che-hc-he-ok-shc	0.06217	0.003192	0.058978	Latin-like	che-hc-he-ok-shc
che-he-ls-lsh	0.06217	0.003192	0.058978	Latin-like	che-he-ls-lsh
ct-he-ke	0.06217	0.003192	0.058978	Latin-like	ct-he-ke
ct-ok	0.06217	0.003192	0.058978	Latin-like	ct-ok
dc-dch-ee-ke-ok-oke	0.06217	0.003192	0.058978	Latin-like	dc-dch-ee-ke-ok-oke
dc-dch-ee-oe	0.06217	0.003192	0.058978	Latin-like	dc-dch-ee-oe
dc-dch-hc-shc	0.06217	0.003192	0.058978	Latin-like	dc-dch-hc-shc
dc-dch-tc-tch	0.06217	0.003192	0.058978	Latin-like	dc-dch-tc-tch
ee-he-ke-ls-lsh	0.06217	0.003192	0.058978	Latin-like	ee-he-ke-ls-lsh
ee-he-ke-yk	0.06217	0.003192	0.058978	Latin-like	ee-he-ke-yk
ee-yk	0.06217	0.003192	0.058978	Latin-like	ee-yk
he-ke-ls-lsh-ok-oke	0.06217	0.003192	0.058978	Latin-like	he-ke-ls-lsh-ok-oke
he-ls-lsh-op	0.06217	0.003192	0.058978	Latin-like	he-ls-lsh-op
he-op-yt	0.06217	0.003192	0.058978	Latin-like	he-op-yt
he-tc-tch-yt-ytc	0.06217	0.003192	0.058978	Latin-like	he-tc-tch-yt-ytc
ok-pc	0.06217	0.003192	0.058978	Latin-like	ok-pc
ok-yc-ych	0.06217	0.003192	0.058978	Latin-like	ok-yc-ych
otc-tc-tch-yk-ykc	0.06217	0.003192	0.058978	Latin-like	otc-tc-tch-yk-ykc
pc-yc-ych	0.06217	0.003192	0.058978	Latin-like	pc-yc-ych
op-yt	0.060472	0.003192	0.057279	Latin-like	op-yt
oe-tc-tch	0.076815	0.020753	0.056062	Latin-like	oe-tc-tch
ct-he-lc-olc	0.056509	0.000589	0.05592	Latin-like	ct-he-lc-olc
che-he-lc-ok-olc	0.064581	0.009234	0.055347	Latin-like	che-he-lc-ok-olc
ct-yc-ych	0.064581	0.009234	0.055347	Latin-like	ct-yc-ych
ee-ke-oe-ok-oke	0.064581	0.009234	0.055347	Latin-like	ee-ke-oe-ok-oke
ee-ok	0.06027	0.006307	0.053963	Latin-like	ee-ok
he-ke-yk	0.063753	0.010141	0.053612	Latin-like	he-ke-yk
op-yc-ych	0.069916	0.017828	0.052088	Latin-like	op-yc-ych
dc-dch-yk-ykc	0.057894	0.006043	0.051851	Latin-like	dc-dch-yk-ykc
ee-he-tc-tch	0.057894	0.006043	0.051851	Latin-like	ee-he-tc-tch
chc-hc-ke-ok-oke-qok	0.05198	0.000589	0.051391	Latin-like	chc-hc-ke-ok-oke-qok
chc-hc-oe	0.05198	0.000589	0.051391	Latin-like	chc-hc-oe
chc-hc-ok	0.05198	0.000589	0.051391	Latin-like	chc-hc-ok
che-ee-he-oe	0.05198	0.000589	0.051391	Latin-like	che-ee-he-oe
che-ee-he-pc-tc-tch	0.05198	0.000589	0.051391	Latin-like	che-ee-he-pc-tc-tch
che-he-oe-op-opc-pc-yt	0.05198	0.000589	0.051391	Latin-like	che-he-oe-op-opc-pc-yt
ct-dc-ee-oe	0.05198	0.000589	0.051391	Latin-like	ct-dc-ee-oe
ct-ee	0.05198	0.000589	0.051391	Latin-like	ct-ee
ct-ee-ke-yc	0.05198	0.000589	0.051391	Latin-like	ct-ee-ke-yc
ee-ke-ok-oke-yk-ykc	0.05198	0.000589	0.051391	Latin-like	ee-ke-ok-oke-yk-ykc
ee-ke-pc	0.05198	0.000589	0.051391	Latin-like	ee-ke-pc
ee-oe-tc-tch	0.05198	0.000589	0.051391	Latin-like	ee-oe-tc-tch
ee-otc-tc-tch	0.05198	0.000589	0.051391	Latin-like	ee-otc-tc-tch
he-lc	0.05198	0.000589	0.051391	Latin-like	he-lc
he-ls-lsh-ok-qok	0.05198	0.000589	0.051391	Latin-like	he-ls-lsh-ok-qok
che-ct-ee-he	0.056098	0.005227	0.050871	Latin-like	che-ct-ee-he
ee-ke-ok-oke-yt	0.056098	0.005227	0.050871	Latin-like	ee-ke-ok-oke-yt
ee-ke-oe-qoe	0.067318	0.017069	0.050249	Latin-like	ee-ke-oe-qoe
ok-otc-tc-tch	0.065658	0.016418	0.049241	Latin-like	ok-otc-tc-tch
che-he-lc-ok-qok	0.050605	0.001613	0.048992	Latin-like	che-he-lc-ok-qok
che-dc-dch-he-ok	0.077653	0.029193	0.04846	Latin-like	che-dc-dch-he-ok
chc-hc-lc	0.064677	0.0164	0.048278	Latin-like	chc-hc-lc
ct-lc-olc	0.064677	0.0164	0.048278	Latin-like	ct-lc-olc
he-ls-lsh-ok	0.081986	0.033968	0.048018	Latin-like	he-ls-lsh-ok
ct-hc-hct-ls-lsh-shc	0.063158	0.016006	0.047151	Latin-like	ct-hc-hct-ls-lsh-shc
che-dc-dch-he-pc	0.04877	0.002504	0.046266	Latin-like	che-dc-dch-he-pc
ct-yc	0.113224	0.067448	0.045776	Latin-like	ct-yc
che-he-lc-ok-olc-qok	0.046602	0.001544	0.045058	Latin-like	che-he-lc-ok-olc-qok
che-ee-he-ke-oe	0.046996	0.002413	0.044583	Latin-like	che-ee-he-ke-oe
he-oe	0.067736	0.02413	0.043606	Latin-like	he-oe
ee-ke-ok-qok	0.044773	0.001483	0.04329	Latin-like	ee-ke-ok-qok
oe-pc	0.060935	0.01789	0.043045	Latin-like	oe-pc
dc-dch-yk	0.108695	0.067448	0.041247	Latin-like	dc-dch-yk
ee-he-op	0.108695	0.067448	0.041247	Latin-like	ee-he-op
ke-op-yk	0.108695	0.067448	0.041247	Latin-like	ke-op-yk
ok-op-qok	0.108695	0.067448	0.041247	Latin-like	ok-op-qok
yc-ych-yk	0.108695	0.067448	0.041247	Latin-like	yc-ych-yk
yc-ych-yt	0.108695	0.067448	0.041247	Latin-like	yc-ych-yt
che-ee-he-ok-qok	0.046607	0.005524	0.041083	Latin-like	che-ee-he-ok-qok
ok-tc-tch	0.076111	0.035418	0.040693	Latin-like	ok-tc-tch
ke-oe-qoe	0.062541	0.023171	0.03937	Latin-like	ke-oe-qoe
chc-ct-hc-hct-lc-olc	0.043703	0.004907	0.038797	Latin-like	chc-ct-hc-hct-lc-olc
che-he-yk	0.051017	0.012729	0.038288	Latin-like	che-he-yk
che-he-ke-yk	0.048515	0.010389	0.038126	Latin-like	che-he-ke-yk
