family	sim_latin	sim_arabic	delta	label
che-ee-he-yk	0.290316	0.012215	0.278101	Latin-like
che-he-lc-oe	0.267053	0.003192	0.263861	Latin-like
ct-hc-ke	0.255268	0.012215	0.243053	Latin-like
dc-dch-ee	0.236277	0.012215	0.224062	Latin-like
ee-ke-oe-yk	0.25357	0.038618	0.214951	Latin-like
ee-oe-yc-ych	0.25357	0.038618	0.214951	Latin-like
lc-yt	0.225469	0.012215	0.213255	Latin-like
ee-ke-ls-yk	0.237049	0.038618	0.198431	Latin-like
lc-ls-olc	0.237049	0.038618	0.198431	Latin-like
ls-otc-tc-tch	0.196495	0.003192	0.193302	Latin-like
ke-ok-oke-yt	0.192961	0.021675	0.171286	Latin-like
che-dc-dch-he-tc-tch	0.152646	2.3e-05	0.152623	Latin-like
chc-ct-hc-hct-yc-ych	0.160675	0.012215	0.14846	Latin-like
ls-tc-tch	0.188298	0.041603	0.146696	Latin-like
ct-ls	0.183705	0.050986	0.13272	Latin-like
ke-ls-yk	0.183705	0.050986	0.13272	Latin-like
che-dc-dch-he-yt	0.135611	0.003192	0.132419	Latin-like
ct-oe	0.135611	0.003192	0.132419	Latin-like
yk-yt	0.142868	0.012215	0.130653	Latin-like
oe-yt	0.139471	0.012215	0.127256	Latin-like
ee-oe-ok-qoe	0.125421	0.000589	0.124832	Latin-like
che-he-ok-tc-tch	0.161961	0.038618	0.123343	Latin-like
pc-yk	0.156763	0.038618	0.118145	Latin-like
otc-tc-tch-yt	0.119605	0.003192	0.116413	Latin-like
chc-hc-op-opc-pc-qop	0.120214	0.00657	0.113644	Latin-like
ke-ls-ok-oke	0.133979	0.021636	0.112343	Latin-like
ee-lc-olc	0.109415	0.000589	0.108826	Latin-like
ls-ok	0.193159	0.092509	0.10065	Latin-like
ke-oe-ok-oke	0.119278	0.019158	0.10012	Latin-like
oe-yk	0.162733	0.067448	0.095286	Latin-like
ee-oe-op	0.150331	0.055071	0.09526	Latin-like
che-he-ok-yt	0.091763	2.3e-05	0.09174	Latin-like
ct-ok-qok	0.090116	9.7e-05	0.090018	Latin-like
ee-he-oe	0.104512	0.018652	0.08586	Latin-like
he-ls	0.109927	0.024858	0.085069	Latin-like
ke-op	0.106652	0.021675	0.084977	Latin-like
chc-ee-hc-he	0.094044	0.009973	0.08407	Latin-like
che-he-ls	0.111903	0.028187	0.083715	Latin-like
ee-he-ok	0.100551	0.017828	0.082723	Latin-like
che-ee-he-tc-tch-yt-ytc	0.103273	0.021675	0.081597	Latin-like
dc-dch-op	0.089961	0.012215	0.077746	Latin-like
oe-ok	0.15774	0.080942	0.076798	Latin-like
ee-op-qop	0.093354	0.017828	0.075525	Latin-like
ls-op	0.155304	0.080942	0.074362	Latin-like
chc-hc-pc	0.085432	0.012215	0.073218	Latin-like
che-ct-he-yc-ych	0.085432	0.012215	0.073218	Latin-like
che-dc-dch-he-oe	0.085432	0.012215	0.073218	Latin-like
che-ee-he-yt	0.085432	0.012215	0.073218	Latin-like
che-he-ke-lc-olc	0.085432	0.012215	0.073218	Latin-like
che-he-ke-oe	0.085432	0.012215	0.073218	Latin-like
ct-hc-hct-he	0.085432	0.012215	0.073218	Latin-like
ct-he-yc	0.085432	0.012215	0.073218	Latin-like
ee-pc	0.085432	0.012215	0.073218	Latin-like
he-op-opc-pc	0.085432	0.012215	0.073218	Latin-like
ke-oe-yk	0.085432	0.012215	0.073218	Latin-like
ke-ok-oke-tc-tch	0.085432	0.012215	0.073218	Latin-like
lc-op	0.085432	0.012215	0.073218	Latin-like
lc-pc	0.085432	0.012215	0.073218	Latin-like
ok-qok-yc-ych	0.085432	0.012215	0.073218	Latin-like
ok-qok-yk	0.085432	0.012215	0.073218	Latin-like
op-opc-pc-tc-yt-ytc	0.085432	0.012215	0.073218	Latin-like
pc-tc-tch	0.085432	0.012215	0.073218	Latin-like
tc-tch-yk-ykc	0.085432	0.012215	0.073218	Latin-like
lc-oe	0.084506	0.012215	0.072291	Latin-like
ok-yt	0.090246	0.022441	0.067805	Latin-like
he-ke-ok-oke-qok	0.079068	0.011265	0.067803	Latin-like
ee-oe-ok	0.091323	0.0244	0.066923	Latin-like
che-ee-he-yc-ych-yt	0.066976	0.001361	0.065614	Latin-like
chc-che-ee-hc-he	0.102725	0.038618	0.064106	Latin-like
chc-ct-hc-hct-lc	0.102725	0.038618	0.064106	Latin-like
chc-ct-hc-hct-tc-tch	0.102725	0.038618	0.064106	Latin-like
chc-hc-yc-ych	0.102725	0.038618	0.064106	Latin-like
ct-ee-oe	0.102725	0.038618	0.064106	Latin-like
ct-ke	0.102725	0.038618	0.064106	Latin-like
dc-dch-he	0.102725	0.038618	0.064106	Latin-like
dc-dch-ke-ok-oke	0.102725	0.038618	0.064106	Latin-like
dc-dch-ke-yk	0.102725	0.038618	0.064106	Latin-like
ee-he-yk	0.102725	0.038618	0.064106	Latin-like
ee-oe-ok-qok	0.102725	0.038618	0.064106	Latin-like
ee-oe-op-qop	0.102725	0.038618	0.064106	Latin-like
ee-oe-yt	0.102725	0.038618	0.064106	Latin-like
hc-ls-lsh-shc	0.102725	0.038618	0.064106	Latin-like
oe-pc-qoe	0.102725	0.038618	0.064106	Latin-like
ok-tc-tch-yt-ytc	0.102725	0.038618	0.064106	Latin-like
ls-lsh-tc-tch	0.066699	0.003192	0.063507	Latin-like
ls-lsh-ok-qok	0.101284	0.038618	0.062665	Latin-like
otc-tc	0.115832	0.055071	0.060761	Latin-like
hc	0.077341	0.016591	0.06075	Latin-like
chc-che-hc-he	0.082249	0.021675	0.060574	Latin-like
chc-dc-dch-hc-he	0.06217	0.003192	0.058978	Latin-like
chc-ee-hc-tc-tch-yt-ytc	0.06217	0.003192	0.058978	Latin-like
chc-hc-he-lc	0.06217	0.003192	0.058978	Latin-like
che-ct-dc-dch-he	0.06217	0.003192	0.058978	Latin-like
che-ee-he-ke-ok-oke-pc	0.06217	0.003192	0.058978	Latin-like
che-ee-he-ke-ok-oke-qok	0.06217	0.003192	0.058978	Latin-like
che-ee-he-ke-yk	0.06217	0.003192	0.058978	Latin-like
che-ee-he-lc-ok-qok	0.06217	0.003192	0.058978	Latin-like
che-hc-he-ok-shc	0.06217	0.003192	0.058978	Latin-like
che-he-ls-lsh	0.06217	0.003192	0.058978	Latin-like
ct-he-ke	0.06217	0.003192	0.058978	Latin-like
ct-ok	0.06217	0.003192	0.058978	Latin-like
dc-dch-ee-ke-ok-oke	0.06217	0.003192	0.058978	Latin-like
dc-dch-ee-oe	0.06217	0.003192	0.058978	Latin-like
dc-dch-hc-shc	0.06217	0.003192	0.058978	Latin-like
dc-dch-tc-tch	0.06217	0.003192	0.058978	Latin-like
ee-he-ke-ls-lsh	0.06217	0.003192	0.058978	Latin-like
ee-he-ke-yk	0.06217	0.003192	0.058978	Latin-like
ee-yk	0.06217	0.003192	0.058978	Latin-like
he-ke-ls-lsh-ok-oke	0.06217	0.003192	0.058978	Latin-like
he-ls-lsh-op	0.06217	0.003192	0.058978	Latin-like
he-op-yt	0.06217	0.003192	0.058978	Latin-like
he-tc-tch-yt-ytc	0.06217	0.003192	0.058978	Latin-like
ok-pc	0.06217	0.003192	0.058978	Latin-like
ok-yc-ych	0.06217	0.003192	0.058978	Latin-like
otc-tc-tch-yk-ykc	0.06217	0.003192	0.058978	Latin-like
pc-yc-ych	0.06217	0.003192	0.058978	Latin-like
op-yt	0.060472	0.003192	0.057279	Latin-like
oe-tc-tch	0.076815	0.020753	0.056062	Latin-like
ct-he-lc-olc	0.056509	0.000589	0.05592	Latin-like
che-he-lc-ok-olc	0.064581	0.009234	0.055347	Latin-like
ct-yc-ych	0.064581	0.009234	0.055347	Latin-like
ee-ke-oe-ok-oke	0.064581	0.009234	0.055347	Latin-like
ee-ok	0.06027	0.006307	0.053963	Latin-like
he-ke-yk	0.063753	0.010141	0.053612	Latin-like
