kind	pattern	pred_side	base_weight	allow_sections	deny_sections	w_Herbal	w_Pharm	w_Recipes	w_Astron	w_Biolog	w_Unasg	meta	examples
chargram	he	left	6.00	Biological,Herbal,Pharmaceutical,Recipes	Astronomical,Unassigned	0.90	0.62	0.76	0.00	0.76	0.00	"{""L_minus_R"": 6, ""total"": 6}"	kche,shee,dche,cheo,sheo,chek,yche,opche
suffix	h	right	5.00	Biological,Herbal,Pharmaceutical,Recipes,Unassigned	Astronomical	0.79	0.76	0.83	0.00	0.86	0.66	"{""L_minus_R"": -5, ""total"": 19}"	otsh,ytch,sch,lsh,otch,ykch,ckh,och
suffix	ch	right	5.00	Biological,Herbal,Pharmaceutical,Recipes,Unassigned	Astronomical	0.81	0.81	0.81	0.00	0.94	0.75	"{""L_minus_R"": -5, ""total"": 11}"	ytch,sch,otch,ykch,och,fch,opch,qopch
prefix	o	right	5.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned		0.89	0.74	0.74	0.60	0.80	0.71	"{""L_minus_R"": -5, ""total"": 9}"	otsh,ots,op,os,otch,ol,oto,och
suffix	he	left	18.00	Biological,Herbal,Recipes	Astronomical,Pharmaceutical,Unassigned	0.93	0.55	0.73	0.00	0.73	0.00	"{""mean_axis1"": -0.483675, ""stdev_axis1"": 0.408244, ""support"": 18}"	kche,dche,yche,opche,otche,ytche,olche,yshe
suffix	che	left	36.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned	Astronomical	0.90	0.45	0.64	0.00	0.64	0.45	"{""mean_axis1"": -0.243818, ""stdev_axis1"": 0.388474, ""support"": 36}"	kche,dche,yche,opche,otche,ytche,olche,fche
chargram	che	left	4.00	Biological,Herbal,Recipes	Astronomical,Pharmaceutical,Unassigned	0.86	0.00	0.64	0.00	0.64	0.00	"{""L_minus_R"": 4, ""total"": 4}"	kche,dche,cheo,chek,yche,opche,otche,ytche
chargram	hct	right	4.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -4, ""total"": 4}"	chcth,chct,shcth,shct
chargram	hc	right	4.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -4, ""total"": 4}"	chcth,chct,shcth,shct
chargram	tc	right	4.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -4, ""total"": 4}"	ytch,otch,otche,tch,tc,ytche,ytc,qotch
suffix	c	right	24.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.133797, ""stdev_axis1"": 0.098875, ""support"": 24}"	sc,ykc,olc,fc,dc,tc,ytc,lc
chargram	ct	right	3.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -3, ""total"": 5}"	chcth,chct,cth,shcth,shct,cthe
prefix	qok	left	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.602917, ""stdev_axis1"": 0.29777, ""support"": 18}"	qokee,qok,qoke
suffix	tch	right	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.325769, ""stdev_axis1"": 0.341035, ""support"": 18}"	ytch,otch,tch,qotch
chargram	oke	left	3.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 3, ""total"": 3}"	qokee,okee,qoke,choke
chargram	opc	right	3.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -3, ""total"": 3}"	opch,qopch,opche,qopc
chargram	qok	left	3.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 3, ""total"": 3}"	qokee,qok,qoke
chargram	tch	right	3.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -3, ""total"": 3}"	ytch,otch,otche,tch,ytche,qotch
suffix	ee	left	48.00	Biological,Herbal,Recipes	Astronomical,Pharmaceutical,Unassigned	0.58	0.00	0.67	0.00	0.58	0.00	"{""mean_axis1"": -0.187292, ""stdev_axis1"": 0.364239, ""support"": 48}"	shee,kee,oee,qotee,ykee,qokee,ee,qoee
chargram	ee	left	3.00	Biological,Herbal,Recipes	Astronomical,Pharmaceutical,Unassigned	0.58	0.00	0.67	0.00	0.58	0.00	"{""L_minus_R"": 3, ""total"": 3}"	shee,kee,oee,qotee,ykee,qokee,ee,qoee
chargram	ke	left	3.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 3, ""total"": 3}"	kee,yke,ykee,qokee,okee,qoke,olke,choke
