stem_id	prefix	stem	suffix	count
1		daiin		621
2		ol		426
3		chedy		417
4		shedy		371
5		aiin		367
6		ar		297
7		or		266
8		qokeedy		265
9		chol		263
10		dar		261
11		qokeey		254
12		chey		246
13		qokain		242
14		qokedy		238
15		shey		226
16		qokaiin		217
17		dal		212
18		al		211
19		dy		196
20		s		168
21		qokal		164
22		okaiin		162
23		dain		151
24		chor		140
25		otedy		137
26		shol		135
27		cheey		134
28		okeey		132
29		cheol		131
30		qol		128
31		qokar		126
32		otaiin		125
33		otar		123
34		qoky		122
35		otal		117
36		oteey		117
37		okain		115
38		okal		115
39		sheey		115
40		chdy		114
41		y		113
42		chckhy		106
43		saiin		106
44		chy		98
45		okar		96
46		lchedy		95
47		oty		95
48		okedy		94
49		oteedy		92
50		qokey		90
51		sheol		90
52		dol		89
53		okeedy		89
54		qotedy		85
55		sho		84
56		dam		82
57		qokol		82
58		cthy		79
59		am		78
60		oky		78
61		otain		78
62		dair		73
63		qotaiin		72
64		shy		72
65		qoty		70
66		sheedy		70
67		ain		69
68		qoteedy		68
69		r		67
70		chcthy		66
71		shor		66
72		okol		65
73		otol		64
74		raiin		64
75		sar		64
76		cheor		63
77		chody		63
78		qotain		62
79		cheody		61
80		o		60
81		air		57
82		qotar		57
83		sol		55
84		qotal		53
85		char		52
86		okeol		52
87		shckhy		51
88		cheedy		50
89		kaiin		50
90		okey		50
91		dor		49
92		qokchdy		49
93		qokchy		49
94		cho		48
95		l		48
96		opchedy		47
97		otey		47
98		ykeey		47
99		oly		46
100		sain		46
101		cheky		45
102		cheo		45
103		keedy		45
104		sheor		44
105		kar		43
106		sal		43
107		shody		43
108		odaiin		42
109		sheo		42
110		otam		41
111		qotchy		41
112		sor		41
113		cthol		40
114		kain		40
115		lkaiin		40
116		qokeol		40
117		checkhy		39
118		otchy		39
119		chal		38
120		otor		38
121		sheody		38
122		lol		37
123		olkeedy		37
124		tedy		37
125		tol		37
126		chear		36
127		lshedy		36
128		d		35
129		lchey		35
130		lkeedy		35
131		lkeey		35
132		ody		35
133		olaiin		35
134		qotol		35
135		shdy		35
136		aiiin		34
137		kedy		34
138		keey		34
139		choky		33
140		oteody		33
141		qoteey		33
142		tar		33
143		ykaiin		33
144		cthey		32
145		lkain		32
146		olchedy		32
147		olkeey		32
148		qokchedy		32
149		qopchedy		32
150		ches		31
151		lor		31
152		okeody		31
153		ytaiin		31
154		sheckhy		30
155		tchedy		30
156		chaiin		29
157		chees		29
158		chodaiin		29
159		dshedy		29
160		kol		29
161		okchy		29
162		oteol		29
163		pchedy		29
164		ykar		29
165		choty		28
166		otchedy		28
167		qodaiin		28
168		sheky		28
169		taiin		28
170		aly		27
171		cthor		27
172		opchey		27
173		chckhey		26
174		checthy		26
175		daly		26
176		lkar		26
177		lkedy		26
178		otchdy		26
179		otchey		26
180		qokor		26
181		shar		26
182		shcthy		26
183		chos		25
184		olkain		25
185		oraiin		25
186		oteos		25
187		qokchey		25
188		qokeody		25
189		ykeedy		25
190		ckhey		24
191		ckhy		24
192		okam		24
193		qokam		24
194		rain		24
195		chedaiin		23
196		chedar		23
197		cheos		23
198		kal		23
199		oiin		23
200		os		23
201		qo		23
202		qotchedy		23
203		she		23
204		yteey		23
205		ary		22
206		ldy		22
207		olkaiin		22
208		qotchdy		22
209		qotor		22
210		sy		22
211		yteedy		22
212		dchol		21
213		dchy		21
214		okair		21
215		olchey		21
216		orain		21
217		otchol		21
218		pol		21
219		sair		21
220		ykedy		21
221		chety		20
222		dary		20
223		keody		20
224		odar		20
225		okor		20
226		olkedy		20
227		olor		20
228		qotey		20
229		shodaiin		20
230		cheal		19
231		cheeky		19
232		cthar		19
233		okchedy		19
234		okchey		19
235		oldy		19
236		olky		19
237		om		19
238		qokeeey		19
239		rar		19
240		tchor		19
241		ycheey		19
242		ykchy		19
243		ytar		19
244		aiir		18
245		ched		18
246		chedain		18
247		chl		18
248		kor		18
249		ky		18
250		okaly		18
251		okeeey		18
252		olshedy		18
253		opchdy		18
254		qoeedy		18
255		qokeeo		18
256		shecthy		18
257		tal		18
258		ydaiin		18
259		yty		18
260		cham		17
261		chedal		17
262		daiir		17
263		dl		17
264		kchedy		17
265		kchy		17
266		lshey		17
267		oaiin		17
268		okchdy		17
269		ols		17
270		otair		17
271		otaly		17
272		qoaiin		17
273		qokeor		17
274		qor		17
275		shear		17
276		ytedy		17
277		chdal		16
278		chdar		16
279		daldy		16
280		lchdy		16
281		lky		16
282		okeor		16
283		olkar		16
284		qockhey		16
285		ror		16
286		sheal		16
287		tchy		16
288		teey		16
289		ytchy		16
290		aral		15
291		cthody		15
292		dan		15
293		dchedy		15
294		dchor		15
295		kchdy		15
296		kchol		15
297		keol		15
298		okeeo		15
299		ory		15
300		qopchdy		15
301		qotchey		15
302		rol		15
303		shaiin		15
304		shed		15
305		tchey		15
306		tor		15
307		yky		15
308		ytal		15
309		ckhol		14
310		dchey		14
311		kchor		14
312		okchor		14
313		okees		14
314		olol		14
315		qokaly		14
316		ral		14
317		ram		14
318		ykal		14
319		chdaiin		13
320		chky		13
321		chockhy		13
322		chs		13
323		kchey		13
324		lo		13
325		oar		13
326		odain		13
327		okeeol		13
328		okody		13
329		opaiin		13
330		opchy		13
331		qody		13
332		qokair		13
333		qokeed		13
334		sheeol		13
335		tain		13
336		tchdy		13
337		ty		13
338		aldy		12
339		aram		12
340		chain		12
341		chckhdy		12
342		chokchy		12
343		do		12
344		dshey		12
345		laiin		12
346		ly		12
347		okeos		12
348		qokechy		12
349		sh		12
350		soiin		12
351		teedy		12
352		ykeody		12
353		chcphy		11
354		cheeor		11
355		chekal		11
356		chkaiin		11
357		chkain		11
358		chocthy		11
359		choly		11
360		chotchy		11
361		chty		11
362		daiiin		11
363		daim		11
364		dshor		11
365		kair		11
366		lr		11
367		okeal		11
368		okeeor		11
369		okeo		11
370		olain		11
371		orol		11
372		otchor		11
373		otedar		11
374		oteo		11
375		otody		11
376		otshedy		11
377		pchdy		11
378		qodar		11
379		qolchey		11
380		qopchy		11
381		qotam		11
382		qoteody		11
383		ry		11
384		shedaiin		11
385		shee		11
386		sheeky		11
387		sheos		11
388		shes		11
389		ykol		11
390		ytam		11
391		ytchor		11
392		ytol		11
393		arol		10
394		chckhedy		10
395		cheeo		10
396		cheeody		10
397		chkal		10
398		choiin		10
399		chokaiin		10
400		chokain		10
401		chotar		10
402		choy		10
403		cphol		10
404		ctho		10
405		doiin		10
406		fchedy		10
407		key		10
408		lcheey		10
409		ls		10
410		oiiin		10
411		okeeody		10
412		oteeody		10
413		otoly		10
414		pchor		10
415		qoeey		10
416		qokchol		10
417		qokshedy		10
418		rchedy		10
419		shal		10
420		shedal		10
421		shek		10
422		teol		10
423		ycheol		10
424		ychey		10
425		ychor		10
426		ykeeody		10
427		ytchey		10
428		yteody		10
429		ytor		10
430		arody		9
431		chdam		9
432		chkeey		9
433		chodar		9
434		chokeey		9
435		choldy		9
436		chory		9
437		chotal		9
438		ckheey		9
439		cthedy		9
440		ctheey		9
441		ctheol		9
442		g		9
443		keeol		9
444		m		9
445		oain		9
446		ockhy		9
447		oeees		9
448		okchol		9
449		okshy		9
450		olkal		9
451		olshey		9
452		opal		9
453		opar		9
454		oram		9
455		orar		9
456		otcho		9
457		oteeo		9
458		oteeos		9
459		otees		9
460		oteor		9
461		pcheol		9
462		qoar		9
463		qockhy		9
464		qokeeor		9
465		qokl		9
466		qoko		9
467		qokody		9
468		qopchey		9
469		qoteol		9
470		qotody		9
471		ro		9
472		shckhey		9
473		sheod		9
474		shod		9
475		shos		9
476		tair		9
477		tchol		9
478		ykeol		9
479		ykor		9
480		ypchedy		9
481		ytain		9
482		ytchedy		9
483		alam		8
484		alol		8
485		chdain		8
486		checkhey		8
487		cheoky		8
488		chom		8
489		chotey		8
490		cphy		8
491		cthom		8
492		da		8
493		keeody		8
494		keor		8
495		lkchedy		8
496		lkchey		8
497		lkl		8
498		odal		8
499		okary		8
500		okos		8
501		okshey		8
502		olar		8
503		olkey		8
504		oral		8
505		ot		8
506		oteodaiin		8
507		oto		8
508		otoldy		8
509		polaiin		8
510		qofchedy		8
511		qokaldy		8
512		qokedar		8
513		qokeeody		8
514		qokees		8
515		qolchedy		8
516		qot		8
517		qotchol		8
518		sam		8
519		shdar		8
520		sheaiin		8
521		shky		8
522		ycheo		8
523		ykeeol		8
524		yshedy		8
525		yteeody		8
526		ytey		8
527		ytody		8
528		araiin		7
529		chan		7
530		chckhhy		7
531		chcthedy		7
532		cheeey		7
533		cheeol		7
534		cheeos		7
535		chotaiin		7
536		chr		7
537		ckhor		7
538		dalam		7
539		dalor		7
540		daram		7
541		dcheey		7
542		dsheey		7
543		eeedy		7
544		eees		7
545		kam		7
546		keeey		7
547		keeor		7
548		lchy		7
549		lkam		7
550		loly		7
551		ltedy		7
552		ochey		7
553		octhy		7
554		oeedy		7
555		oees		7
556		ofchedy		7
557		okear		7
558		okedal		7
559		okeeedy		7
560		oko		7
561		okoldy		7
562		olal		7
563		olkeeey		7
564		olkeeody		7
565		opcheol		7
566		opy		7
567		otaldy		7
568		oteed		7
569		oteeey		7
570		oteeol		7
571		pchol		7
572		por		7
573		qoain		7
574		qodain		7
575		qokshy		7
576		rchey		7
577		rshedy		7
578		sary		7
579		sham		7
580		shedain		7
581		sheeor		7
582		shees		7
583		shety		7
584		shoky		7
585		solchedy		7
586		sos		7
587		teody		7
588		tey		7
589		tody		7
590		tshedy		7
591		tshey		7
592		ychol		7
593		ydy		7
594		ykain		7
595		ykchdy		7
596		yshey		7
597		alar		6
598		alom		6
599		chcthhy		6
600		chd		6
601		chdor		6
602		chekar		6
603		chekey		6
604		cheockhy		6
605		cheodal		6
606		cheom		6
607		chepy		6
608		chkar		6
609		choaiin		6
610		chocthey		6
611		chodain		6
612		chokar		6
613		choteey		6
614		ckheol		6
615		cphaiin		6
616		csedy		6
617		cthaiin		6
618		cthal		6
619		cthdy		6
620		dalol		6
621		dchdy		6
622		dcheol		6
623		doiir		6
624		dsheol		6
625		ees		6
626		ety		6
627		f		6
628		k		6
629		kchody		6
630		ksho		6
631		lal		6
632		lar		6
633		lched		6
634		lcheedy		6
635		lkeeey		6
636		lkey		6
637		lsheey		6
638		ochedy		6
639		odor		6
640		oeey		6
641		ofaiin		6
642		okalar		6
643		okaldy		6
644		okcho		6
645		okedar		6
646		okeeos		6
647		olchdy		6
648		olkam		6
649		olsheey		6
650		opchor		6
651		opor		6
652		osaiin		6
653		oteal		6
654		otshey		6
655		oy		6
656		paiin		6
657		pcheody		6
658		pchey		6
659		qocthy		6
660		qod		6
661		qok		6
662		qokan		6
663		qokcho		6
664		qokear		6
665		qokeeol		6
666		qokeod		6
667		qolkeedy		6
668		qoly		6
669		qopaiin		6
670		qopy		6
671		qotair		6
672		qotcho		6
673		qotchor		6
674		rair		6
675		saral		6
676		schedy		6
677		shain		6
678		shcthey		6
679		shd		6
680		shedar		6
681		sheed		6
682		sheeo		6
683		sheety		6
684		shocthy		6
685		sholdy		6
686		sshey		6
687		tchody		6
688		todaiin		6
689		ykchedy		6
690		ykeeey		6
691		ykeeo		6
692		ykey		6
693		ypchdy		6
694		ysheey		6
695		alal		5
696		an		5
697		arar		5
698		as		5
699		chcthey		5
700		chedam		5
701		chedol		5
702		chekchy		5
703		cheocthy		5
704		cheoly		5
705		cheoty		5
706		chetar		5
707		chkey		5
708		chod		5
709		chodal		5
710		chokal		5
711		chokeol		5
712		chokey		5
713		choraiin		5
714		chotol		5
715		chtal		5
716		cphedy		5
717		ctheor		5
718		daiim		5
719		dairal		5
720		dalal		5
721		dalchdy		5
722		dcheo		5
723		dody		5
724		doin		5
725		dom		5
726		dshy		5
727		kcheey		5
728		kshdy		5
729		kshedy		5
730		kshy		5
731		lam		5
732		lchal		5
733		lcheol		5
734		lkeeody		5
735		lom		5
736		los		5
737		lpchedy		5
738		lsheedy		5
739		lteedy		5
740		ochor		5
741		octhey		5
742		odam		5
743		ofchey		5
744		okalal		5
745		okaral		5
746		okcheey		5
747		okeod		5
748		okoly		5
749		okom		5
750		olcheol		5
751		olchy		5
752		oldaiin		5
753		oldam		5
754		olkeol		5
755		olkol		5
756		orom		5
757		otan		5
758		otcham		5
759		otechdy		5
760		oteodar		5
761		otodaiin		5
762		par		5
763		pchdar		5
764		pchedar		5
765		pchody		5
766		polchedy		5
767		psheody		5
768		qochey		5
769		qoeeey		5
770		qokeechy		5
771		qokeedar		5
772		qokeo		5
773		qokeos		5
774		qokod		5
775		qokshey		5
776		qolkeey		5
777		qop		5
778		qopar		5
779		qopol		5
780		qotaly		5
781		qoteeody		5
782		qoteeol		5
783		qoteor		5
784		raraiin		5
785		saiir		5
786		shchy		5
787		sheeey		5
788		shekain		5
789		shekchy		5
790		shekeey		5
791		sheoky		5
792		shokchy		5
793		shokey		5
794		shosaiin		5
795		shoty		5
796		solkeedy		5
797		soraiin		5
798		sshedy		5
799		tcheody		5
800		tshol		5
801		tshy		5
802		x		5
803		ychedy		5
804		ycheedy		5
805		ykair		5
806		ykaly		5
807		ykchey		5
808		ykcho		5
809		ykchor		5
810		ysheedy		5
811		ytchol		5
812		aiiny		4
813		aim		4
814		aithy		4
815		alkaiin		4
816		alkain		4
817		alor		4
818		cfhol		4
819		ch		4
820		chaly		4
821		chary		4
822		cheam		4
823		cheekey		4
824		cheeteey		4
825		chekaiin		4
826		chekain		4
827		chekeey		4
828		cheoar		4
829		cheodaiin		4
830		cheodain		4
831		cheokeey		4
832		cheoldy		4
833		chep		4
834		chepar		4
835		chepchy		4
836		cher		4
837		chetey		4
838		chkedy		4
839		chochy		4
840		chockhey		4
841		chodchy		4
842		chok		4
843		chokeody		4
844		cholal		4
845		chot		4
846		chotam		4
847		chpchy		4
848		ckheody		4
849		ckhhy		4
850		cphar		4
851		cpheor		4
852		cphey		4
853		cthain		4
854		ctheody		4
855		daiidy		4
856		dairy		4
857		dais		4
858		dalar		4
859		dchaiin		4
860		dcheedy		4
861		deey		4
862		dshol		4
863		dyky		4
864		eedy		4
865		eeor		4
866		fchdy		4
867		kaldy		4
868		kcheo		4
869		kcho		4
870		kechdy		4
871		keeo		4
872		koldy		4
873		kshey		4
874		kshody		4
875		lchol		4
876		lchor		4
877		ldar		4
878		lkair		4
879		lkal		4
880		lkchdy		4
881		lkeeedy		4
882		lkeeol		4
883		lkeol		4
884		lkor		4
885		lkshedy		4
886		loiin		4
887		n		4
888		ockhedy		4
889		octhody		4
890		od		4
891		odaiiin		4
892		odair		4
893		odl		4
894		ofar		4
895		ofchdy		4
896		oin		4
897		ok		4
898		okaiiin		4
899		okaiir		4
900		okchd		4
901		okechdy		4
902		okechedy		4
903		okechy		4
904		okeoly		4
905		okeom		4
906		olcheey		4
907		oldar		4
908		olkair		4
909		olkchdy		4
910		olkchedy		4
911		olkchy		4
912		olkor		4
913		olo		4
914		oloiin		4
915		olpchedy		4
916		olr		4
917		olshdy		4
918		oltedy		4
919		opair		4
920		opam		4
921		opchedaiin		4
922		opcheey		4
923		orchey		4
924		osal		4
925		oshey		4
926		otaram		4
927		otarar		4
928		otary		4
929		otas		4
930		otchar		4
931		otchody		4
932		otchos		4
933		otear		4
934		otedal		4
935		oteeor		4
936		oteodal		4
937		oteotey		4
938		otory		4
939		pchdair		4
940		pchedal		4
941		pcheor		4
942		pchodaiin		4
943		podaiin		4
944		pshol		4
945		qockhedy		4
946		qockheey		4
947		qockhol		4
948		qocthey		4
949		qodal		4
950		qokchd		4
951		qokechedy		4
952		qoked		4
953		qokeeedy		4
954		qokoiin		4
955		qolkain		4
956		qolky		4
957		qool		4
958		qoor		4
959		qopcheey		4
960		qopchol		4
961		qopshedy		4
962		qorain		4
963		qotchd		4
964		qotched		4
965		qotcheedy		4
966		qotcheo		4
967		qoted		4
968		qotees		4
969		rchy		4
970		saly		4
971		shckhedy		4
972		sheckhedy		4
973		sheckhey		4
974		shekal		4
975		shekey		4
976		sheodaiin		4
977		sheodal		4
978		shetey		4
979		shoaiin		4
980		shockhy		4
981		shodain		4
982		shoiin		4
983		shoikhy		4
984		shokal		4
985		sholy		4
986		shory		4
987		so		4
988		sodar		4
989		soiiin		4
990		soin		4
991		solkeey		4
992		sory		4
993		t		4
994		tam		4
995		tcheey		4
996		tcheo		4
997		tcheol		4
998		teeedy		4
999		teeody		4
1000		teeol		4
1001		toy		4
1002		ycheeo		4
1003		ydain		4
1004		ykam		4
1005		ykeor		4
1006		ykoiin		4
1007		ypar		4
1008		ypchey		4
1009		ytaly		4
1010		ytchdy		4
1011		ytchody		4
1012		yto		4
1013		ytoiin		4
1014		a		3
1015		aiim		3
1016		aiis		3
1017		aildy		3
1018		alaiin		3
1019		alain		3
1020		alchedy		3
1021		alchey		3
1022		aldaiin		3
1023		alkam		3
1024		alkar		3
1025		alkeedy		3
1026		alky		3
1027		alo		3
1028		alody		3
1029		aloly		3
1030		alshey		3
1031		arary		3
1032		aror		3
1033		aty		3
1034		c		3
1035		chcfhhy		3
1036		chckhd		3
1037		chcphey		3
1038		chcphhy		3
1039		chcthdy		3
1040		chctho		3
1041		chcthody		3
1042		chealy		3
1043		checthey		3
1044		chedaly		3
1045		cheedaiin		3
1046		cheedar		3
1047		cheety		3
1048		chefchy		3
1049		cheg		3
1050		chek		3
1051		chekeedy		3
1052		cheokain		3
1053		cheoy		3
1054		chetain		3
1055		chetchy		3
1056		chetedy		3
1057		cheteey		3
1058		chkchol		3
1059		chkchy		3
1060		chkol		3
1061		chokam		3
1062		chokchol		3
1063		chokeedy		3
1064		chokol		3
1065		chokor		3
1066		cholkeedy		3
1067		cholky		3
1068		cholody		3
1069		chopchy		3
1070		chorol		3
1071		choshy		3
1072		chotain		3
1073		choto		3
1074		chotor		3
1075		chsdy		3
1076		chtaiin		3
1077		chtar		3
1078		chteey		3
1079		chtol		3
1080		ckhedy		3
1081		ckhody		3
1082		cpheody		3
1083		cphor		3
1084		cs		3
1085		cthes		3
1086		dady		3
1087		daiis		3
1088		dairo		3
1089		dairody		3
1090		dalaiin		3
1091		dalchedy		3
1092		dalchy		3
1093		dalo		3
1094		dals		3
1095		dalshdy		3
1096		damo		3
1097		daro		3
1098		darol		3
1099		darom		3
1100		daror		3
1101		das		3
1102		dchar		3
1103		dched		3
1104		dcho		3
1105		doaiin		3
1106		doiiin		3
1107		doly		3
1108		dory		3
1109		dsheedy		3
1110		e		3
1111		far		3
1112		fcheey		3
1113		fchol		3
1114		kan		3
1115		kary		3
1116		kas		3
1117		kcheody		3
1118		kcheor		3
1119		kchod		3
1120		kechedy		3
1121		kedar		3
1122		keeos		3
1123		kodaiin		3
1124		kody		3
1125		koly		3
1126		kshar		3
1127		ksheody		3
1128		lain		3
1129		lcheckhy		3
1130		lcheo		3
1131		ld		3
1132		lkcheo		3
1133		lkechedy		3
1134		lkeeo		3
1135		lkeody		3
1136		lko		3
1137		lkol		3
1138		lody		3
1139		lokeedy		3
1140		loty		3
1141		lshed		3
1142		lsheody		3
1143		oair		3
1144		ochol		3
1145		ochy		3
1146		ockhey		3
1147		ocphy		3
1148		oeear		3
1149		oeeey		3
1150		oekaiin		3
1151		ofal		3
1152		okalchy		3
1153		okalol		3
1154		okalor		3
1155		okan		3
1156		okchdar		3
1157		okcheody		3
1158		okedaiin		3
1159		okedain		3
1160		okeear		3
1161		okeedal		3
1162		okeodar		3
1163		okolchy		3
1164		okolo		3
1165		okolshy		3
1166		okshedy		3
1167		olam		3
1168		olcheedy		3
1169		olfchedy		3
1170		olkchey		3
1171		olkeeedy		3
1172		olom		3
1173		oltar		3
1174		olteedy		3
1175		oor		3
1176		opary		3
1177		opchal		3
1178		opcheedy		3
1179		opcheody		3
1180		opchol		3
1181		opdaiin		3
1182		opol		3
1183		opydaiin		3
1184		oraiiin		3
1185		orair		3
1186		oreeey		3
1187		oro		3
1188		oroly		3
1189		oror		3
1190		oshedy		3
1191		otaiir		3
1192		otairor		3
1193		otalaiin		3
1194		otalal		3
1195		otalam		3
1196		otalar		3
1197		otalor		3
1198		otalshedy		3
1199		otaral		3
1200		otchal		3
1201		otchdal		3
1202		otcheor		3
1203		otches		3
1204		otchod		3
1205		otedam		3
1206		otes		3
1207		otoar		3
1208		otoky		3
1209		otos		3
1210		otoy		3
1211		otshdy		3
1212		otydy		3
1213		p		3
1214		pchal		3
1215		pchdaiin		3
1216		pcheo		3
1217		pcheodar		3
1218		pchocthy		3
1219		pchodain		3
1220		pdaiin		3
1221		podar		3
1222		polshy		3
1223		poraiin		3
1224		pshedy		3
1225		qeey		3
1226		qoal		3
1227		qockheol		3
1228		qodeedy		3
1229		qoedaiin		3
1230		qoedy		3
1231		qoeeedy		3
1232		qoeees		3
1233		qoeol		3
1234		qofchdy		3
1235		qofcheol		3
1236		qoiiin		3
1237		qokairor		3
1238		qokcheo		3
1239		qokchor		3
1240		qokeain		3
1241		qokeal		3
1242		qokedain		3
1243		qokedal		3
1244		qokeedal		3
1245		qokeeos		3
1246		qokoldy		3
1247		qokshdy		3
1248		qolaiin		3
1249		qolain		3
1250		qopor		3
1251		qos		3
1252		qotchar		3
1253		qotchody		3
1254		qotedaiin		3
1255		qotedal		3
1256		qotedar		3
1257		qoteed		3
1258		qoteeos		3
1259		qoteo		3
1260		qotoiin		3
1261		qotshedy		3
1262		qotshy		3
1263		qoy		3
1264		raram		3
1265		rary		3
1266		rcheey		3
1267		roiin		3
1268		rom		3
1269		rsheedy		3
1270		sa		3
1271		sarar		3
1272		schey		3
1273		shan		3
1274		shdal		3
1275		sheols		3
1276		sheom		3
1277		sheoy		3
1278		shkaiin		3
1279		shkeey		3
1280		shl		3
1281		shoar		3
1282		shok		3
1283		shokaiin		3
1284		shokar		3
1285		shom		3
1286		shs		3
1287		shtal		3
1288		shty		3
1289		skaiin		3
1290		soaiin		3
1291		sokeedy		3
1292		solchey		3
1293		solkain		3
1294		solkedy		3
1295		sols		3
1296		solshedy		3
1297		soly		3
1298		soy		3
1299		tchar		3
1300		tchedor		3
1301		tcho		3
1302		tedaiin		3
1303		tedain		3
1304		tedam		3
1305		teodar		3
1306		todal		3
1307		tos		3
1308		tshdy		3
1309		tsho		3
1310		v		3
1311		yaiin		3
1312		ycheody		3
1313		ycheoky		3
1314		ycheor		3
1315		ycho		3
1316		ychy		3
1317		yd		3
1318		ydal		3
1319		yfchey		3
1320		yk		3
1321		ykchody		3
1322		ykchol		3
1323		ykeechy		3
1324		ykeeedy		3
1325		ykeeos		3
1326		ykees		3
1327		ypaiin		3
1328		ypair		3
1329		ypchy		3
1330		ysaiin		3
1331		ysheor		3
1332		ytair		3
1333		ytedar		3
1334		yteeo		3
1335		yteol		3
1336		ytoldy		3
1337		ytshy		3
1338		adam		2
1339		ail		2
1340		airod		2
1341		alaiiin		2
1342		ald		2
1343		aldam		2
1344		aldar		2
1345		alg		2
1346		alkedy		2
1347		alod		2
1348		aloees		2
1349		aloiin		2
1350		alols		2
1351		alos		2
1352		als		2
1353		alshy		2
1354		amg		2
1355		ariin		2
1356		arl		2
1357		arod		2
1358		arodl		2
1359		cfhar		2
1360		cfheol		2
1361		cfhy		2
1362		charain		2
1363		charam		2
1364		chcfhy		2
1365		chckhaiin		2
1366		chckhal		2
1367		chckhol		2
1368		chckhor		2
1369		chcphdy		2
1370		chcphedy		2
1371		chcth		2
1372		chcthal		2
1373		chctham		2
1374		chdair		2
1375		chdaly		2
1376		chdedy		2
1377		chdol		2
1378		che		2
1379		cheaiin		2
1380		chean		2
1381		checkhdy		2
1382		checkhed		2
1383		checphey		2
1384		checthedy		2
1385		chedaiiin		2
1386		chedor		2
1387		cheeaiin		2
1388		cheed		2
1389		cheef		2
1390		cheekain		2
1391		cheen		2
1392		cheeod		2
1393		cheer		2
1394		cheesy		2
1395		chekeol		2
1396		chekody		2
1397		chekol		2
1398		cheoal		2
1399		cheockhey		2
1400		cheod		2
1401		cheodar		2
1402		cheodor		2
1403		cheokaiin		2
1404		cheokedy		2
1405		cheokeeo		2
1406		cheokeol		2
1407		cheokey		2
1408		cheolor		2
1409		cheols		2
1410		cheotey		2
1411		cheotol		2
1412		chepchedy		2
1413		chepchey		2
1414		chesy		2
1415		chetody		2
1416		cheyky		2
1417		chkaly		2
1418		chkam		2
1419		chkeedy		2
1420		chlar		2
1421		chockhdy		2
1422		chocphy		2
1423		chocty		2
1424		chodair		2
1425		chodalg		2
1426		chodaly		2
1427		chodey		2
1428		chodo		2
1429		chodol		2
1430		chodr		2
1431		choeey		2
1432		choekeey		2
1433		chofchy		2
1434		choikhy		2
1435		chokan		2
1436		chokchedy		2
1437		chokeeey		2
1438		choko		2
1439		chokody		2
1440		cholaiin		2
1441		cholairy		2
1442		cholar		2
1443		cholkaiin		2
1444		cholkal		2
1445		cholkeeey		2
1446		cholo		2
1447		cholol		2
1448		cholols		2
1449		cholor		2
1450		chols		2
1451		choor		2
1452		chop		2
1453		chopchedy		2
1454		chorain		2
1455		chordy		2
1456		choror		2
1457		chosaiin		2
1458		chosar		2
1459		chotchdy		2
1460		chotedy		2
1461		choteol		2
1462		chotols		2
1463		chotshol		2
1464		chpal		2
1465		chpor		2
1466		chsky		2
1467		chso		2
1468		chtain		2
1469		chtedy		2
1470		chtl		2
1471		chyky		2
1472		chyty		2
1473		ckhaiin		2
1474		ckhal		2
1475		ckham		2
1476		ckhar		2
1477		ckhdy		2
1478		ckheo		2
1479		cky		2
1480		cphal		2
1481		cpheey		2
1482		cpheo		2
1483		cpheol		2
1484		cpho		2
1485		cpholdy		2
1486		cphoy		2
1487		cseeky		2
1488		cthchy		2
1489		cthhy		2
1490		cthod		2
1491		cthodal		2
1492		cthols		2
1493		ctholy		2
1494		cthory		2
1495		cths		2
1496		cthyd		2
1497		ctol		2
1498		cty		2
1499		daiindy		2
1500		daiiral		2
1501		dairam		2
1502		dairar		2
1503		dairin		2
1504		dairol		2
1505		dalary		2
1506		daldaiin		2
1507		dalkar		2
1508		dalkedy		2
1509		dalom		2
1510		dalr		2
1511		daraiin		2
1512		daral		2
1513		darar		2
1514		dchal		2
1515		dchckhy		2
1516		dchdar		2
1517		dcheeos		2
1518		dcheoky		2
1519		dcheor		2
1520		dchokchy		2
1521		dedy		2
1522		deedy		2
1523		deeo		2
1524		dkain		2
1525		dkedy		2
1526		dkshey		2
1527		dlchd		2
1528		dly		2
1529		dm		2
1530		dodar		2
1531		dolar		2
1532		dolchey		2
1533		doldaiin		2
1534		doldy		2
1535		dolor		2
1536		dolshedy		2
1537		dpchy		2
1538		ds		2
1539		dsh		2
1540		dshdy		2
1541		dshees		2
1542		dsheor		2
1543		dsho		2
1544		dychedy		2
1545		dydy		2
1546		dydydy		2
1547		dykedy		2
1548		dykeedy		2
1549		dys		2
1550		dytchy		2
1551		dytedy		2
1552		dyty		2
1553		ear		2
1554		eeol		2
1555		eey		2
1556		ekey		2
1557		eody		2
1558		eol		2
1559		epaiin		2
1560		fcheody		2
1561		fchey		2
1562		fcholdy		2
1563		fchor		2
1564		fol		2
1565		in		2
1566		kairam		2
1567		kais		2
1568		kalkal		2
1569		kaly		2
1570		karody		2
1571		kchar		2
1572		kchdal		2
1573		kcheeor		2
1574		kcheol		2
1575		kchom		2
1576		kechy		2
1577		keear		2
1578		keedal		2
1579		keeedy		2
1580		keeodal		2
1581		keo		2
1582		keodaiin		2
1583		keoy		2
1584		kl		2
1585		koaiin		2
1586		koiin		2
1587		korain		2
1588		korchy		2
1589		koshey		2
1590		kshd		2
1591		kshed		2
