idx	token	length	freq	H1_local_bits	n_rules	rule_ids	family_signature	best_pmi_partner
0	fachys	6	1	14.857592	0			
1	ykal	4	14	11.050237	0			
2	ar	2	297	6.643273	0			
3	ataiin	6	1	14.857592	0			
4	shol	4	135	7.780777	0			
5	shory	5	4	12.857592	0			
6	cthres	6	1	14.857592	0			
7	y	1	113	8.037413	0			
8	kor	3	18	10.687667	0			
9	sholdy	6	6	12.272630	0			
10	sory	4	4	12.857592	0			
11	ckhar	5	2	13.857592	0			
12	or	2	266	6.802310	0			
13	y	1	113	8.037413	0			
14	kair	4	11	11.398161	0			
15	chtaiin	7	3	13.272630	0			
16	shar	4	26	10.157153	0			
17	are	3	1	14.857592	0			
18	cthar	5	19	10.609665	0			
19	cthar	5	19	10.609665	0			
20	dan	3	15	10.950702	0			
21	syaiir	6	1	14.857592	0			
22	sheky	5	28	10.050237	0			
23	or	2	266	6.802310	0			
24	ykaiin	6	33	9.813198	0			
25	shod	4	9	11.687667	0			
26	cthoary	7	1	14.857592	0			
27	cthes	5	3	13.272630	0			
28	daraiin	7	2	13.857592	0			
29	sa	2	3	13.272630	0			
30	ooiin	5	1	14.857592	0			
31	oteey	5	117	7.987228	0			
32	oteos	5	25	10.213736	0			
33	roloty	6	1	14.857592	0			
34	cthar	5	19	10.609665	0			
35	daiin	5	621	5.579143	0			
36	otaiin	6	125	7.891808	0			
37	or	2	266	6.802310	0			
38	okan	4	3	13.272630	1	chargram:ok:left	chargram:ok:left	
39	dair	4	73	8.667768	0			
40	y	1	113	8.037413	0			
41	chear	5	36	9.687667	1	chargram:che:left	chargram:che:left	
42	cthaiin	7	6	12.272630	0			
43	cphar	5	4	12.857592	0			
44	cfhaiin	7	1	14.857592	0			
45	odar	4	20	10.535664	0			
46	o	1	60	8.950702	0			
47	y	1	113	8.037413	0			
48	shol	4	135	7.780777	0			
49	cphoy	5	2	13.857592	0			
50	oydar	5	1	14.857592	0			
51	sh	2	12	11.272630	0			
52	s	1	168	7.465275	0			
53	cfhoaiin	8	1	14.857592	0			
54	shodary	7	1	14.857592	0			
55	yshey	5	7	12.050237	0			
56	shody	5	43	9.431328	0			
57	okchoy	6	2	13.857592	1	chargram:ok:left	chargram:ok:left	
58	otchol	6	21	10.465275	0			
59	chocthy	7	11	11.398161	0			
60	oschy	5	1	14.857592	0			
61	dain	4	151	7.619188	0			
62	chor	4	140	7.728309	0			
63	kos	3	1	14.857592	0			
64	daiin	5	621	5.579143	0			
65	shos	4	9	11.687667	0			
66	cfhol	5	4	12.857592	0			
67	shody	5	43	9.431328	0			
68	ydain	5	4	12.857592	0			
69	cphesaiin	9	1	14.857592	0			
70	ol	2	426	6.122883	0			
71	s	1	168	7.465275	0			
72	cphey	5	4	12.857592	0			
73	ytain	5	9	11.687667	0			
74	shoshy	6	2	13.857592	0			
75	cphodales	9	1	14.857592	0			
76	oksho	5	2	13.857592	1	chargram:ok:left	chargram:ok:left	
77	kshoy	5	1	14.857592	0			
78	otairin	7	1	14.857592	0			
79	oteol	5	29	9.999611	0			
80	okan	4	3	13.272630	1	chargram:ok:left	chargram:ok:left	
81	shodain	7	4	12.857592	0			
82	sckhey	6	1	14.857592	0			
83	daiin	5	621	5.579143	0			
84	shoy	4	2	13.857592	0			
85	ckhey	5	24	10.272630	0			
86	kodaiin	7	3	13.272630	0			
87	cphy	4	8	11.857592	0			
88	cphodaiils	10	1	14.857592	0			
89	cthey	5	32	9.857592	0			
90	she	3	23	10.334030	0			
91	oldain	6	2	13.857592	0			
92	d	1	35	9.728309	0			
93	dain	4	151	7.619188	0			
94	oiin	4	23	10.334030	0			
95	chol	4	263	6.818673	0			
96	odaiin	6	42	9.465275	0			
97	chodain	7	6	12.272630	0			
98	chdy	4	114	8.024702	0			
99	okain	5	115	8.012102	1	chargram:ok:left	chargram:ok:left	
100	dan	3	15	10.950702	0			
101	cthy	4	79	8.553812	0			
102	kod	3	1	14.857592	0			
103	daiin	5	621	5.579143	0			
104	shckhey	7	9	11.687667	0			
105	ckeor	5	1	14.857592	0			
106	chor	4	140	7.728309	0			
107	shey	4	226	7.037413	0			
108	kol	3	29	9.999611	0			
109	chol	4	263	6.818673	0			
110	chol	4	263	6.818673	0			
111	kor	3	18	10.687667	0			
112	chal	4	38	9.609665	0			
113	sho	3	84	8.465275	0			
114	chol	4	263	6.818673	0			
115	shodan	6	1	14.857592	0			
116	kshy	4	5	12.535664	0			
117	kchy	4	17	10.770129	0			
118	dor	3	49	9.242882	0			
119	chodaiin	8	29	9.999611	0			
120	sho	3	84	8.465275	0			
121	kchom	5	2	13.857592	0			
122	ycho	4	3	13.272630	2	chargram:yc:left,chargram:ych:left	chargram:yc:left-chargram:ych:left	
123	tchey	5	15	10.950702	0			
124	chokain	7	10	11.535664	0			
125	sheo	4	42	9.465275	0			
126	pshol	5	4	12.857592	0			
127	dydyd	5	1	14.857592	0			
128	cthy	4	79	8.553812	0			
129	daicthy	7	1	14.857592	0			
130	yto	3	4	12.857592	0			
131	shol	4	135	7.780777	0			
132	she	3	23	10.334030	0			
133	kodshey	7	1	14.857592	0			
134	cphealy	7	1	14.857592	0			
135	dasain	6	1	14.857592	0			
136	dain	4	151	7.619188	0			
137	ckhyds	6	1	14.857592	0			
138	dchar	5	3	13.272630	2	chargram:dc:left,chargram:dch:left	chargram:dc:left-chargram:dch:left	
139	shcthaiin	9	1	14.857592	0			
