stem	frequency	n_sections	normalized_entropy	max_section_proportion	classification_score	classification	reasons
d	1223	6	0.6626915557428463	0.5715453802125919	3	STRUCTURAL	high_freq; moderate_distribution
qok	868	5	0.6937517840042263	0.4619815668202765	3	STRUCTURAL	high_freq; moderate_distribution
ch	783	6	0.5460172290022506	0.6819923371647509	2	AMBIGUOUS	high_freq
che	584	6	0.7783769868698165	0.3852739726027397	4	STRUCTURAL	high_freq; moderate_distribution; low_concentration
ok	562	6	0.7287624787377258	0.398576512455516	4	STRUCTURAL	high_freq; moderate_distribution; low_concentration
ol	542	6	0.6459411520706414	0.5313653136531366	3	STRUCTURAL	high_freq; moderate_distribution
ched	534	5	0.6401300039383864	0.45692883895131087	3	STRUCTURAL	high_freq; moderate_distribution
ot	514	5	0.7703910397290453	0.4669260700389105	3	STRUCTURAL	high_freq; moderate_distribution
shed	427	5	0.5793533713135047	0.5901639344262295	2	AMBIGUOUS	high_freq
she	426	6	0.7659778578351564	0.3427230046948357	4	STRUCTURAL	high_freq; moderate_distribution; low_concentration
sh	368	6	0.604086079070199	0.6440217391304348	3	STRUCTURAL	high_freq; moderate_distribution
aiin	349	5	0.7175735500211	0.5472779369627507	3	STRUCTURAL	high_freq; moderate_distribution
ar	331	5	0.7359077884137017	0.5347432024169184	3	STRUCTURAL	high_freq; moderate_distribution
s	324	6	0.7386582835001919	0.48148148148148145	3	STRUCTURAL	high_freq; moderate_distribution
or	314	5	0.8443333639200252	0.3375796178343949	5	STRUCTURAL	high_freq; even_distribution; low_concentration
qot	314	5	0.7230130921528796	0.44904458598726116	3	STRUCTURAL	high_freq; moderate_distribution
qokeed	281	3	0.7388671595295805	0.505338078291815	3	STRUCTURAL	high_freq; moderate_distribution
qokee	271	5	0.6398939704260137	0.5977859778597786	3	STRUCTURAL	high_freq; moderate_distribution
al	261	5	0.7009024136545775	0.6206896551724138	3	STRUCTURAL	high_freq; moderate_distribution
qoked	257	3	0.855043470862735	0.5875486381322957	3	STRUCTURAL	high_freq; moderate_distribution
r	236	5	0.7433406216980774	0.4449152542372881	3	STRUCTURAL	high_freq; moderate_distribution
dar	223	6	0.7291661922870798	0.452914798206278	3	STRUCTURAL	high_freq; moderate_distribution
cth	219	6	0.25323794564001534	0.8995433789954338	0	AMBIGUOUS	high_freq; section_specific
k	203	6	0.6905088752937624	0.4433497536945813	3	STRUCTURAL	high_freq; moderate_distribution
chee	175	6	0.7017813231990429	0.49714285714285716	3	STRUCTURAL	high_freq; moderate_distribution
chd	165	5	0.7511992014447336	0.41818181818181815	3	STRUCTURAL	high_freq; moderate_distribution
okee	161	5	0.7039614439112984	0.6273291925465838	3	STRUCTURAL	high_freq; moderate_distribution
qoke	159	5	0.8255186507715517	0.4025157232704403	4	STRUCTURAL	high_freq; even_distribution
q	159	5	0.5210800962585462	0.6855345911949685	2	AMBIGUOUS	high_freq
l	155	5	0.6911676161053374	0.5096774193548387	3	STRUCTURAL	high_freq; moderate_distribution
shee	145	6	0.7768365435832938	0.38620689655172413	4	STRUCTURAL	high_freq; moderate_distribution; low_concentration
oted	138	5	0.678840354896886	0.47101449275362317	3	STRUCTURAL	high_freq; moderate_distribution
chckh	132	4	0.8523315210134639	0.3333333333333333	5	STRUCTURAL	high_freq; even_distribution; low_concentration
oke	128	6	0.8063255033325859	0.3359375	5	STRUCTURAL	high_freq; even_distribution; low_concentration
oked	122	5	0.7392410890605352	0.3770491803278688	4	STRUCTURAL	high_freq; moderate_distribution; low_concentration
lched	118	3	0.7224101658952975	0.5	3	STRUCTURAL	high_freq; moderate_distribution
qokar	117	4	0.8030243665802123	0.4017094017094017	4	STRUCTURAL	high_freq; even_distribution
otar	115	5	0.7051021746107989	0.5304347826086957	3	STRUCTURAL	high_freq; moderate_distribution
otee	110	5	0.7153302501114824	0.6363636363636364	3	STRUCTURAL	high_freq; moderate_distribution
lk	109	3	0.47559677378846604	0.8348623853211009	0	AMBIGUOUS	high_freq; section_specific
ote	106	6	0.8251578438966867	0.41509433962264153	4	STRUCTURAL	high_freq; even_distribution
okeed	105	4	0.7428033659973892	0.4857142857142857	3	STRUCTURAL	high_freq; moderate_distribution
okar	99	5	0.7725243114339787	0.45454545454545453	2	AMBIGUOUS	med_freq; moderate_distribution
t	99	5	0.7649545707625935	0.4444444444444444	2	AMBIGUOUS	med_freq; moderate_distribution
qoted	95	3	0.8928969549941544	0.5157894736842106	2	AMBIGUOUS	med_freq; moderate_distribution
oteed	93	4	0.5543239886650548	0.7096774193548387	-1	AMBIGUOUS	med_freq; section_specific
olk	86	4	0.6988186249657393	0.6046511627906976	2	AMBIGUOUS	med_freq; moderate_distribution
y	82	4	0.6828470377088208	0.6585365853658537	2	AMBIGUOUS	med_freq; moderate_distribution
chek	81	6	0.7058838639992477	0.5061728395061729	2	AMBIGUOUS	med_freq; moderate_distribution
sheed	81	4	0.6996312556300142	0.5308641975308642	2	AMBIGUOUS	med_freq; moderate_distribution
sho	80	4	0.4885378897229633	0.7875	-1	AMBIGUOUS	med_freq; section_specific
yt	76	4	0.5721025057866554	0.7368421052631579	-1	AMBIGUOUS	med_freq; section_specific
chcth	76	5	0.7494714388516773	0.35526315789473684	3	STRUCTURAL	med_freq; moderate_distribution; low_concentration
ckh	75	4	0.4851586503757468	0.8	-1	AMBIGUOUS	med_freq; section_specific
qokch	74	4	0.7219410405738336	0.6216216216216216	2	AMBIGUOUS	med_freq; moderate_distribution
od	74	5	0.6560104801899732	0.5135135135135135	2	AMBIGUOUS	med_freq; moderate_distribution
ain	74	5	0.6077469299020629	0.6486486486486487	2	AMBIGUOUS	med_freq; moderate_distribution
