stem	total_count	n_sections	presence_consistency	coefficient_of_variation	morphological_stability	stability_score	classification
qockhe	15	5	0.8333333333333334	0.3651483716701107	0.8	6	AMBIGUOUS
qokar	117	4	0.6666666666666666	0.6117532935676032	1.0	6	STRUCTURAL
qoteed	66	4	0.6666666666666666	0.9393939393939394	1.0	6	AMBIGUOUS
sheed	81	4	0.6666666666666666	0.8405041272526087	1.0	6	AMBIGUOUS
okeed	105	4	0.6666666666666666	0.7738937683079316	1.0	6	STRUCTURAL
qoted	95	3	0.5	0.46506783230262155	1.0	6	AMBIGUOUS
kee	57	5	0.8333333333333334	0.7954936174564655	1.0	6	AMBIGUOUS
okche	25	4	0.6666666666666666	0.48497422611928565	1.0	6	AMBIGUOUS
keeo	6	4	0.6666666666666666	0.3333333333333333	1.0	6	AMBIGUOUS
olk	86	4	0.6666666666666666	0.9003935201212065	0.75	6	AMBIGUOUS
shckh	56	3	0.5	0.4974424384708614	1.0	6	AMBIGUOUS
keed	56	3	0.5	0.415730240243672	1.0	6	AMBIGUOUS
arar	7	4	0.6666666666666666	0.47380354147934284	0.75	6	AMBIGUOUS
cheed	57	4	0.6666666666666666	0.868553950490285	1.0	6	AMBIGUOUS
or	314	5	0.8333333333333334	0.6011773915879043	1.0	6	STRUCTURAL
oted	138	5	0.8333333333333334	0.9424748108921223	1.0	6	STRUCTURAL
dar	223	6	1.0	0.9667916001443926	1.0	6	STRUCTURAL
chcth	76	5	0.8333333333333334	0.7699336230698839	0.8	6	STRUCTURAL
qokch	74	4	0.6666666666666666	0.9057078962224886	0.75	6	AMBIGUOUS
ar	331	5	0.8333333333333334	0.9386683125589045	1.0	6	STRUCTURAL
okees	9	4	0.6666666666666666	0.19245008972987523	1.0	6	AMBIGUOUS
cho	71	4	0.6666666666666666	0.9183055387438332	1.0	6	AMBIGUOUS
otar	115	5	0.8333333333333334	0.9413821636677815	1.0	6	STRUCTURAL
ols	14	4	0.6666666666666666	0.14285714285714285	1.0	6	AMBIGUOUS
oked	122	5	0.8333333333333334	0.7924156746627511	1.0	6	STRUCTURAL
ockhe	6	5	0.8333333333333334	0.3333333333333334	1.0	6	AMBIGUOUS
chekar	6	4	0.6666666666666666	0.3333333333333333	1.0	6	AMBIGUOUS
o	64	5	0.8333333333333334	0.9419166795688458	1.0	6	AMBIGUOUS
oiin	25	4	0.6666666666666666	0.4578209256903839	1.0	6	AMBIGUOUS
chd	165	5	0.8333333333333334	0.835177023844062	1.0	6	STRUCTURAL
okar	99	5	0.8333333333333334	0.8102244295012313	1.0	6	AMBIGUOUS
shee	145	6	1.0	0.8308269879750425	0.8333333333333334	6	STRUCTURAL
y	82	4	0.6666666666666666	0.9789576702629013	1.0	6	AMBIGUOUS
lche	53	4	0.6666666666666666	0.818746186933854	0.75	6	AMBIGUOUS
shek	52	4	0.6666666666666666	0.6032456592830047	0.75	6	STRUCTURAL
olke	13	4	0.6666666666666666	0.13323467750529824	0.75	6	AMBIGUOUS
aiin	349	5	0.8333333333333334	0.9745237997692079	1.0	6	STRUCTURAL
eeed	6	4	0.6666666666666666	0.3333333333333333	1.0	6	AMBIGUOUS
sar	42	5	0.8333333333333334	0.3657688451366004	1.0	6	STRUCTURAL
chckh	132	4	0.6666666666666666	0.5261744046722829	1.0	6	STRUCTURAL
ched	534	5	0.8333333333333334	0.9805905792457636	0.8	6	STRUCTURAL
ckhee	9	4	0.6666666666666666	0.48432210483785265	1.0	6	AMBIGUOUS
ykeed	17	3	0.5	0.08318903308077029	1.0	5	AMBIGUOUS
qokal	20	4	0.6666666666666666	0.7348469228349535	0.75	5	AMBIGUOUS
qokan	7	2	0.3333333333333333	0.14285714285714285	1.0	5	CONTENT
lshee	8	2	0.3333333333333333	0.25	1.0	5	CONTENT
shet	8	3	0.5	0.46770717334674267	1.0	5	AMBIGUOUS
tar	24	4	0.6666666666666666	0.8249579113843054	1.0	5	AMBIGUOUS
sheok	7	2	0.3333333333333333	0.42857142857142855	1.0	5	CONTENT
otal	17	5	0.8333333333333334	0.5455069703232767	0.8	5	AMBIGUOUS
ted	44	3	0.5	0.2802006364985899	1.0	5	AMBIGUOUS
qopche	11	4	0.6666666666666666	0.7441229792611318	1.0	5	AMBIGUOUS
