token	folio	line	pos	section	left_score	right_score	pred_side	VPCA2
fachys	f1r	1	1	Herbal	0.0	0.0	unknown	P
ykal	f1r	1	2	Herbal	43.2	3.6	left	V
ar	f1r	1	3	Herbal	0.0	0.0	unknown	P
ataiin	f1r	1	4	Herbal	0.0	0.0	unknown	P
shol	f1r	1	5	Herbal	0.0	0.0	unknown	P
shory	f1r	1	6	Herbal	0.0	0.0	unknown	P
cthres	f1r	1	7	Herbal	51.0	3.0	left	V
y	f1r	1	8	Herbal	0.0	0.0	unknown	P
kor	f1r	1	9	Herbal	2.0	24.0	right	P
sholdy	f1r	1	10	Herbal	0.0	0.0	unknown	P
sory	f1r	2	1	Herbal	0.0	0.0	unknown	P
ckhar	f1r	2	2	Herbal	77.0	0.0	left	V
or	f1r	2	3	Herbal	0.0	5.0	right	P
y	f1r	2	4	Herbal	0.0	0.0	unknown	P
kair	f1r	2	5	Herbal	2.0	24.0	right	P
chtaiin	f1r	2	6	Herbal	51.0	0.0	left	V
shar	f1r	2	7	Herbal	0.0	0.0	unknown	P
are	f1r	2	8	Herbal	0.0	0.0	unknown	P
cthar	f1r	2	9	Herbal	51.0	3.0	left	V
cthar	f1r	2	10	Herbal	51.0	3.0	left	V
dan	f1r	2	11	Herbal	2.0	30.0	right	P
syaiir	f1r	3	1	Herbal	0.0	0.0	unknown	P
sheky	f1r	3	2	Herbal	6.0	0.0	left	V
or	f1r	3	3	Herbal	0.0	5.0	right	P
ykaiin	f1r	3	4	Herbal	43.2	3.6	left	V
shod	f1r	3	5	Herbal	0.0	0.0	unknown	P
cthoary	f1r	3	6	Herbal	51.0	3.0	left	V
cthes	f1r	3	7	Herbal	57.0	3.0	left	V
daraiin	f1r	3	8	Herbal	2.0	30.0	right	P
sa	f1r	3	9	Herbal	0.0	0.0	unknown	P
ooiin	f1r	4	1	Herbal	0.0	5.0	right	P
oteey	f1r	4	2	Herbal	3.0	5.0	right	P
oteos	f1r	4	3	Herbal	0.0	5.0	right	P
roloty	f1r	4	4	Herbal	0.0	0.0	unknown	C
cth?ar	f1r	4	5	Herbal				P
daiin	f1r	4	6	Herbal	2.0	30.0	right	P
otaiin	f1r	4	7	Herbal	0.0	5.0	right	P
or	f1r	4	8	Herbal	0.0	5.0	right	P
okan	f1r	4	9	Herbal	0.75	77.0	right	P
dair	f1r	5	1	Herbal	2.0	30.0	right	P
y	f1r	5	2	Herbal	0.0	0.0	unknown	P
chear	f1r	5	3	Herbal	60.400000000000006	0.0	left	V
cthaiin	f1r	5	4	Herbal	51.0	3.0	left	V
cphar	f1r	5	5	Herbal	51.0	0.0	left	V
cfhaiin	f1r	5	6	Herbal	51.0	0.0	left	V
ydaraishy	f1r	6	1	Herbal				P
odar	f1r	7	1	Herbal	0.0	5.0	right	P
o	f1r	7	2	Herbal	0.0	5.0	right	P
y	f1r	7	3	Herbal	0.0	0.0	unknown	P
shol	f1r	7	4	Herbal	0.0	0.0	unknown	P
cphoy	f1r	7	5	Herbal	51.0	0.0	left	V
oydar	f1r	7	6	Herbal	0.0	5.0	right	P
sh	f1r	7	7	Herbal	0.0	17.0	right	P
