root	total	herbal	zodiac	biological	recipes	vpca_field	confidence	hypothesis
e	3159	613	307	1012	1227	Modifier/Relation	0.750	Likely relational/connective element, often intensified, typically as state. Similar to 'of', 'with', 'and', 'to'
ol	1044	473	80	287	204	Quality/State	0.750	Likely quality or state descriptor, often intensified, typically as state; common in plant descriptions. Similar to adjectives or state markers
ai	887	291	74	104	418	Quality/State	0.650	Likely quality or state descriptor, often in constituent/unit contexts, typically as nominal; common in recipe instructions. Similar to adjectives or state markers
ke	835	138	23	321	353	Unknown	0.350	Semantic role unclear, typically as state; common in recipe instructions. Insufficient contextual evidence
k	823	189	19	381	234	Modifier/Relation	0.500	Likely relational/connective element, typically as state; common in biological/anatomical contexts. Similar to 'of', 'with', 'and', 'to'
ar	799	237	128	100	334	Quality/State	0.600	Likely quality or state descriptor, often in transition contexts, typically as state; common in recipe instructions. Similar to adjectives or state markers
al	735	194	121	114	306	Quality/State	0.600	Likely quality or state descriptor, often in constituent/unit contexts, typically as state; common in recipe instructions. Similar to adjectives or state markers
i	684	401	32	101	150	Process/Active	0.750	Likely process or action marker, typically as nominal; common in plant descriptions. Similar to verbs or process terms
or	606	362	26	101	117	Unknown	0.400	Semantic role unclear, often intensified, typically as state; common in plant descriptions. Insufficient contextual evidence
l	532	140	53	242	97	Quality/State	0.500	Likely quality or state descriptor, typically as state; common in biological/anatomical contexts. Similar to adjectives or state markers
ee	483	55	70	119	239	Modifier/Relation	0.650	Likely relational/connective element, often in transition contexts, typically as process; common in recipe instructions. Similar to 'of', 'with', 'and', 'to'
y	470	263	48	89	70	Unknown	0.450	Semantic role unclear, often intensified, typically as process; common in plant descriptions. Insufficient contextual evidence
ch	446	203	45	74	124	Entity/Object	0.900	Likely entity or object reference, often in transition contexts, typically as state; common in plant descriptions. Similar to nouns or object terms
r	407	169	47	102	89	Unknown	0.200	Semantic role unclear, typically as state; common in plant descriptions. Insufficient contextual evidence
cth	374	257	9	54	54	Unknown	0.300	Semantic role unclear, often intensified, typically as state; common in plant descriptions. Insufficient contextual evidence
