root	class	confidence	total_freq	V_count	P_count	C_count
achy	RARE	Low	1	0	1	0
k	R1	High	921	524	397	0
a	R3	Medium	4555	851	3704	0
at	RARE	Low	9	2	7	0
o	R3	Medium	3928	1190	2721	17
or	R3	Medium	255	30	225	0
cthre	RARE	Low	1	1	0	0
y	R3	Medium	1084	344	740	0
ol	R3	Medium	177	62	114	1
h	R1	High	166	146	20	0
ai	R3	Medium	1178	323	855	0
t	R3	Medium	377	52	325	0
ar	R3	Medium	255	16	239	0
cth	R1	High	318	299	19	0
yaii	RARE	Low	1	0	1	0
ek	R1	High	218	206	12	0
cthoar	RARE	Low	1	1	0	0
cthe	R1	High	29	27	1	1
oo	RARE	Low	5	1	4	0
ot	R2	Medium	1410	53	874	483
oteo	R3	Medium	54	1	53	0
cth?	RARE	Low	1	0	1	0
oka	R3	Medium	15	2	13	0
e	R1	High	4736	4363	360	13
cph	R1	High	70	68	2	0
cfh	R1	High	24	22	2	0
darais	RARE	Low	1	0	1	0
od	R3	Medium	339	88	251	0
cpho	R1	High	12	10	2	0
oyd	RARE	Low	2	0	2	0
s	R3	Medium	389	59	330	0
cfho	RARE	Low	2	2	0	0
odar	RARE	Low	3	0	3	0
sh	R1	High	382	222	158	2
okcho	R3	Medium	19	2	17	0
otch	R2	Medium	192	10	156	26
oct	R1	High	46	22	24	0
os	R3	Medium	50	13	37	0
d	R1	High	587	275	312	0
cphes	RARE	Low	1	1	0	0
cphodale	RARE	Low	1	1	0	0
oksho	RARE	Low	4	0	4	0
sho	R3	Medium	42	3	39	0
otairi	RARE	Low	1	0	1	0
ote	R3	Medium	236	8	228	0
ckh	R1	High	117	86	31	0
cp	R1	High	36	32	4	0
cphodaiil	RARE	Low	1	1	0	0
ok	R3	Medium	1512	203	1309	0
ct	R1	High	247	211	36	0
oda	RARE	Low	6	1	5	0
ch	R1	High	815	517	295	3
eo	R1	High	296	273	23	0
ydy	RARE	Low	3	0	3	0
aict	RARE	Low	1	0	1	0
to	R3	Medium	21	2	19	0
odsh	RARE	Low	4	2	2	0
cpheal	RARE	Low	1	1	0	0
as	RARE	Low	8	0	8	0
hyd	RARE	Low	1	1	0	0
okaii	RARE	Low	8	1	7	0
c	R1	High	155	92	63	0
cthol	RARE	Low	8	7	1	0
locta	RARE	Low	1	0	1	0
okch	R3	Medium	159	15	144	0
shodees	RARE	Low	1	1	0	0
yd	RARE	Low	7	1	6	0
oi	R3	Medium	43	3	40	0
o?o	RARE	Low	1	0	1	0
cthold	RARE	Low	1	1	0	0
??	RARE	Low	1	0	1	0
?eeo	RARE	Low	1	0	1	0
osh	R1	High	22	12	10	0
ad	RARE	Low	8	0	8	0
tch	R3	Medium	71	2	69	0
teea	RARE	Low	1	0	1	0
okod	RARE	Low	5	0	5	0
ho	R1	High	12	12	0	0
ksh	R1	High	16	11	5	0
okeo	R3	Medium	48	1	47	0
och	R1	High	59	27	32	0
oto	R3	Medium	36	3	33	0
olch	R1	High	54	32	22	0
odo	RARE	Low	3	2	1	0
qo	R3	Medium	143	28	115	0
