root	total	herbal	zodiac	biological	recipes	vpca_field	confidence	hypothesis	enriched_sections
e	3159	613	307	1012	1227	Modifier/Relation	0.800	VPCA: Modifier/Relation	Recipes
ol	1044	473	80	287	204	Quality/State	0.800	VPCA: Quality/State	Herbal
ai	887	291	74	104	418	unknown	0.630	Often with -in (nominal): 100%	Recipes
ke	835	138	23	321	353	unknown	0.665	Often with -ey (state_marker): 65%	Biological,Recipes
k	823	189	19	381	234	Modifier/Relation	0.800	VPCA: Modifier/Relation	Biological
ar	799	237	128	100	334	Quality/State	0.800	VPCA: Quality/State	Recipes
al	735	194	121	114	306	Quality/State	0.800	VPCA: Quality/State	Recipes
i	684	401	32	101	150	Process/Active	0.800	VPCA: Process/Active	Herbal
or	606	362	26	101	117	unknown	0.665	Often with ch- (intensifier): 64%	Herbal
l	532	140	53	242	97	Quality/State	0.800	VPCA: Quality/State	Biological
ee	483	55	70	119	239	Modifier/Relation	0.800	VPCA: Modifier/Relation	Recipes
y	470	263	48	89	70	unknown	0.665	Often with ch- (intensifier): 47%	Herbal
ch	446	203	45	74	124	Entity/Object	0.800	VPCA: Entity/Object	Herbal
r	407	169	47	102	89	unknown	0.600	Enriched in Herbal: likely plant-related	Herbal
cth	374	257	9	54	54	unknown	0.665	Often with ch- (intensifier): 66%	Herbal
kee	362	28	3	153	178	unknown	0.665	Often with -dy (process_marker): 83%	Biological,Recipes
ka	350	12	0	205	133	unknown	0.630	Often with -in (nominal): 99%	Biological,Recipes
ckh	346	142	5	105	94	unknown	0.665	Often with ch- (intensifier): 66%	Herbal
t	340	111	4	107	118	unknown	0.525	Often with -y (state): 42%	
kai	335	63	1	98	173	unknown	0.630	Often with -in (nominal): 100%	Recipes
o	314	199	48	4	63	Quality/State	0.800	VPCA: Quality/State	Herbal
kch	297	184	4	35	74	unknown	0.600	Enriched in Herbal: likely plant-related	Herbal
a	273	53	5	83	132	unknown	0.630	Often with -in (nominal): 98%	Recipes
te	254	38	16	96	104	unknown	0.665	Often with -ey (state_marker): 45%	Biological,Recipes
eo	250	67	73	1	109	Quality/State	0.800	VPCA: Quality/State	Recipes
tch	233	154	3	22	54	unknown	0.600	Enriched in Herbal: likely plant-related	Herbal
d	217	79	11	37	90	unknown	0.665	Often with ch- (intensifier): 66%	Recipes
in	205	60	4	73	68	unknown	0.280	Often with da- (root/base?): 69%	
am	173	72	24	13	64	unknown	0.665	Often with ot- (transition): 44%	Herbal
lch	156	12	3	87	54	unknown	0.665	Often with -ey (state_marker): 74%	Biological
che	154	20	4	48	82	unknown	0.665	Often with -dy (process_marker): 74%	Recipes
air	152	37	28	7	80	unknown	0.665	Often with ot- (transition): 49%	Recipes
ek	145	63	18	33	31	unknown	0.665	Often with ch- (intensifier): 64%	Herbal
ed	144	15	11	44	74	unknown	0.665	Often with ch- (intensifier): 56%	Recipes
dy	130	67	18	37	8	unknown	0.665	Often with -dy (process_marker): 67%	Herbal
lche	129	5	1	61	62	unknown	0.665	Often with -dy (process_marker): 80%	Biological,Recipes
ain	114	18	7	28	61	unknown	0.665	Often with ot- (transition): 50%	Recipes
tai	112	30	0	18	64	unknown	0.630	Often with -in (nominal): 99%	Recipes
ir	112	44	18	7	43	Process/Active	0.800	VPCA: Process/Active	Herbal,Recipes
od	105	51	11	5	38	unknown	0.665	Often with ch- (intensifier): 57%	Herbal
eckh	101	11	1	50	39	unknown	0.665	Often with ch- (intensifier): 65%	Biological,Recipes
dch	98	68	9	13	8	unknown	0.600	Enriched in Herbal: likely plant-related	Herbal
pch	98	35	2	17	44	unknown	0.665	Often with -ey (state_marker): 41%	Recipes
eeo	98	15	26	1	56	unknown	0.665	Often with -dy (process_marker): 93%	Recipes
ot	97	49	23	3	22	Process/Active	0.800	VPCA: Process/Active	Herbal
tee	95	14	6	39	36	unknown	0.665	Often with -dy (process_marker): 82%	Biological,Recipes
yt	93	64	13	9	7	unknown	0.665	Often with ch- (intensifier): 75%	Herbal
lke	89	6	0	20	63	unknown	0.665	Often with -ey (state_marker): 71%	Recipes
odai	88	54	3	2	29	unknown	0.665	Often with ch- (intensifier): 67%	Herbal
ok	88	46	17	7	18	unknown	0.665	Often with ch- (intensifier): 73%	Herbal
pche	88	9	0	27	52	unknown	0.665	Often with -dy (process_marker): 76%	Recipes
sh	87	38	6	26	17	unknown	0.665	Often with -ey (state_marker): 53%	Herbal
lk	85	6	0	21	58	unknown	0.600	Enriched in Recipes: likely procedural/ingredient	Recipes
ta	79	4	1	29	45	unknown	0.630	Often with -in (nominal): 96%	Recipes
os	69	34	14	2	19	unknown	0.665	Often with ch- (intensifier): 64%	Herbal
cph	66	45	1	9	11	unknown	0.665	Often with ch- (intensifier): 80%	Herbal
kal	66	33	3	13	17	unknown	0.600	Enriched in Herbal: likely plant-related	Herbal
rai	65	8	1	14	42	unknown	0.630	Often with -in (nominal): 100%	Recipes
