prefix	suffix	count	mean_axis1	median_axis1	stdev_axis1
		132	0.058251	0.092659	0.129324
o		84	0.101380	0.092659	0.176298
	ee	36	-0.022895	0.092659	0.235535
c		36	-0.011132	0.092659	0.161767
ok		36	0.128494	0.097103	0.466784
d		30	0.147887	0.092659	0.084879
	c	24	0.133797	0.092659	0.098875
	che	24	-0.334527	-0.345360	0.382713
	e	24	0.010163	0.092659	0.203383
	k	24	0.039700	0.092659	0.338620
yk		24	-0.169131	0.092659	0.321600
	ch	18	-0.230234	0.061630	0.364322
	tch	18	0.325769	0.289258	0.341035
c	h	18	-0.324235	-0.278476	0.418586
c	k	18	-0.125848	-0.179340	0.108570
k		18	0.092659	0.092659	0.000000
olc		18	0.460680	0.332334	0.373574
qok		18	-0.602917	-0.663791	0.297770
yt		18	-0.052352	0.092659	0.276073
ytc		18	0.414120	0.683845	0.433524
	h	12	0.331904	0.333679	0.212667
	lsh	12	-0.288310	-0.027790	0.397926
	pch	12	0.136011	0.092659	0.546320
	t	12	0.019936	0.092659	0.208645
c	t	12	0.000909	0.022462	0.090902
ckh		12	-0.519380	-0.421648	0.348716
dch		12	-0.443307	-0.747996	0.370776
kch		12	-0.271269	-0.220695	0.345436
o	che	12	-0.062399	0.092659	0.332309
qoe		12	-0.444916	-0.736524	0.423314
qop		12	0.876730	1.053143	0.352468
y		12	0.086552	0.092659	0.020256
ych		12	-0.692217	-0.877134	0.354695
ykc		12	0.674758	0.751054	0.338973
c	ee	6	-0.527365	-0.527365	0.173956
c	he	6	-0.811322	-0.811322	0.069854
c	oke	6	-0.416449	-0.486297	0.444779
chc		6	0.605693	0.742323	0.237696
chc	h	6	0.767991	0.886214	0.362170
dc		6	0.097023	0.092659	0.011471
k	h	6	0.125383	0.092659	0.046279
o	ee	6	-0.833605	-0.810321	0.052066
o	h	6	0.242946	0.310599	0.405445
o	he	6	-0.351853	-0.401297	0.398150
o	k	6	-0.520066	-0.734493	0.362116
o	ke	6	-0.482060	-0.734493	0.409379
shc		6	0.570836	0.809925	0.338122
shc	h	6	0.698561	0.904819	0.444456
y	h	6	-0.287850	-0.305148	0.416544
y	he	6	-0.287850	-0.305148	0.416544
