stem	section	axis1	axis2	axis3	prefix	core	suffix	len_core	is_vowel_end	core_entropy	pref_bigram	suf_bigram
otsh	Herbal	0.422122	-0.026784	0.000000	o	ts	h	2	false	0.000	o	h
otsh	Pharmaceutical	-0.508515	-0.051898	0.000000	o	ts	h	2	false	0.000	o	h
otsh	Recipes	0.230310	-0.167607	-0.000000	o	ts	h	2	false	0.000	o	h
otsh	Astronomical	0.390888	-0.031832	-0.000000	o	ts	h	2	false	0.000	o	h
otsh	Biological	0.830214	-0.042268	0.000000	o	ts	h	2	false	0.000	o	h
otsh	Unassigned	0.092659	-0.003834	-0.000000	o	ts	h	2	false	0.000	o	h
ots	Herbal	0.422122	-0.026784	0.000000	o	ts		2	false	0.000	o	
ots	Pharmaceutical	0.092659	-0.003834	-0.000000	o	ts		2	false	0.000	o	
ots	Recipes	0.092659	-0.003834	-0.000000	o	ts		2	false	0.000	o	
ots	Astronomical	-0.508515	-0.051898	0.000000	o	ts		2	false	0.000	o	
ots	Biological	0.830214	-0.042268	0.000000	o	ts		2	false	0.000	o	
ots	Unassigned	0.092659	-0.003834	-0.000000	o	ts		2	false	0.000	o	
daii	Herbal	0.259047	-0.002218	-0.000000	d	aii		3	true	-0.000	d	
daii	Pharmaceutical	0.259047	-0.002218	-0.000000	d	aii		3	true	-0.000	d	
daii	Recipes	0.259047	-0.002218	-0.000000	d	aii		3	true	-0.000	d	
daii	Astronomical	0.092659	-0.003834	-0.000000	d	aii		3	true	-0.000	d	
daii	Biological	0.259047	-0.002218	-0.000000	d	aii		3	true	-0.000	d	
daii	Unassigned	0.092659	-0.003834	-0.000000	d	aii		3	true	-0.000	d	
qe	Herbal	-0.016091	0.169537	-0.000000		q	e	1	false	0.000		e
qe	Pharmaceutical	0.092659	-0.003834	-0.000000		q	e	1	false	0.000		e
qe	Recipes	0.092659	-0.003834	-0.000000		q	e	1	false	0.000		e
qe	Astronomical	0.092659	-0.003834	-0.000000		q	e	1	false	0.000		e
