lemma	pos	meaning	freq_estimate	source
ab	PREP		1	whitaker
abac	abac		2	whitaker
abact	abact		2	whitaker
abacti	abacti		1	whitaker
abactor	abactor		1	whitaker
abacul	abacul		1	whitaker
abaestu	abaestu		1	whitaker
abagment	abagment		1	whitaker
abalien	abalien		2	whitaker
abalienat	abalienat		1	whitaker
abalienatio	abalienation		1	whitaker
abambul	abambul		1	whitaker
abamit	abamit		1	whitaker
abante	ADV		2	whitaker
abarc	abarc		1	whitaker
abascant	abascant		1	whitaker
abav	abav		1	whitaker
abavi	abavi		1	whitaker
abavuncul	abavuncul		1	whitaker
abax	abac		1	whitaker
abba	N		1	whitaker
abbas	abbat		1	whitaker
abbati	abbati		1	whitaker
abbatial	abbatial		1	whitaker
abbatiss	abbatiss		1	whitaker
abbatiz	abbatiz		1	whitaker
abbib	abbib		1	whitaker
abbit	abbit		1	whitaker
abbrevi	abbrevi		1	whitaker
abbreviat	abbreviat		1	whitaker
abbreviatio	abbreviation		1	whitaker
abbreviator	abbreviator		1	whitaker
abbrocament	abbrocament		1	whitaker
abd	abd		1	whitaker
abdic	abdic		2	whitaker
abdicat	abdicat		1	whitaker
abdicatio	abdication		1	whitaker
abdicativ	abdicativ		1	whitaker
abdicative	ADV		1	whitaker
abdicatrix	abdicatric		1	whitaker
abdit	abdit		2	whitaker
abdite	ADV		1	whitaker
abditiv	abditiv		1	whitaker
abdomen	abdomin		1	whitaker
abdominal	abdominal		1	whitaker
abduc	abduc		1	whitaker
abductio	abduction		1	whitaker
abe	abi		1	whitaker
abecedari	abecedari		4	whitaker
abecetuori	abecetuori		1	whitaker
abellan	abellan		2	whitaker
abequit	abequit		1	whitaker
aberc	aberc		1	whitaker
aberr	aberr		1	whitaker
aberratio	aberration		1	whitaker
abfer	abfer		1	whitaker
abflu	abflu		1	whitaker
abfugi	abfug		1	whitaker
abhib	abhib		1	whitaker
abhinc	ADV		1	whitaker
abhorr	abhorr		1	whitaker
abhorresc	abhorresc		1	whitaker
abhorrid	abhorrid		1	whitaker
abhorride	ADV		1	whitaker
abic	abic		1	whitaker
abici	abic		1	whitaker
abiegn	abiegn		1	whitaker
abiegne	abiegne		1	whitaker
abiegni	abiegni		1	whitaker
abies	abiet		1	whitaker
abietari	abietari		2	whitaker
abig	abig		5	whitaker
abige	abige		1	whitaker
abigeat	abigeat		1	whitaker
abigeator	abigeator		1	whitaker
abinde	ADV		1	whitaker
abinvicem	ADV		1	whitaker
abit	abit		2	whitaker
abitio	abition		1	whitaker
abject	abject		2	whitaker
abjecte	abjectius		1	whitaker
abjectio	abjection		1	whitaker
abjici	abjic		1	whitaker
abjudic	abjudic		1	whitaker
abjudicativ	abjudicativ		1	whitaker
abjug	abjug		1	whitaker
abjung	abjung		1	whitaker
abjur	abjur		1	whitaker
abjuratio	abjuration		2	whitaker
abjurg	abjurg		1	whitaker
ablact	ablact		1	whitaker
ablactatio	ablactation		1	whitaker
ablacu	ablacu		2	whitaker
ablaque	ablaque		1	whitaker
ablaqueatio	ablaqueation		1	whitaker
ablatio	ablation		1	whitaker
ablativ	ablativ		2	whitaker
ablator	ablator		1	whitaker
ableg	ableg		1	whitaker
ablegatio	ablegation		1	whitaker
ablepsi	ablepsi		1	whitaker
abliguri	abligur		1	whitaker
abligurri	abligurr		1	whitaker
abloc	abloc		1	whitaker
ablu	ablu		1	whitaker
ablud	ablud		1	whitaker
ablutio	ablution		1	whitaker
abluvi	abluvi		1	whitaker
abluvio	abluvion		1	whitaker
abmaterter	abmaterter		1	whitaker
abnat	abnat		1	whitaker
abneg	abneg		1	whitaker
abnegatio	abnegation		1	whitaker
abnegativ	abnegativ		1	whitaker
abnegator	abnegator		1	whitaker
abnepos	abnepot		1	whitaker
abneptis	abnept		1	whitaker
abnoct	abnoct		1	whitaker
abnod	abnod		1	whitaker
abnorm	abnorm		1	whitaker
abnormal	abnormal		1	whitaker
abnu	abnu		2	whitaker
abnuitio	abnuition		1	whitaker
abnumer	abnumer		1	whitaker
abnut	abnut		1	whitaker
abnutiv	abnutiv		2	whitaker
abol	abol		1	whitaker
abolefaci	abolefac		1	whitaker
abolefi	abolef		1	whitaker
abolesc	abolesc		1	whitaker
abolitio	abolition		1	whitaker
abolitor	abolitor		1	whitaker
aboll	aboll		1	whitaker
abomin	abomin		2	whitaker
abominabil	abominabil		1	whitaker
abominament	abominament		1	whitaker
abominand	abominand		1	whitaker
abominanter	ADV		1	whitaker
abominat	abominat		1	whitaker
abominatio	abomination		1	whitaker
abominos	abominos		1	whitaker
abori	abor		1	whitaker
aborigine	aborigine		1	whitaker
aborisc	aborisc		1	whitaker
abors	abors		1	whitaker
abort	abort		3	whitaker
aborti	abort		2	whitaker
abortio	abortion		1	whitaker
abortiv	abortiv		4	whitaker
abpatru	abpatru		1	whitaker
abr	abr		1	whitaker
abrad	abrad		1	whitaker
abrelict	abrelict		1	whitaker
abrenunciatio	abrenunciation		1	whitaker
abrenunti	abrenunti		1	whitaker
abripi	abrip		1	whitaker
abrod	abrod		1	whitaker
abrodiaet	abrodiaet		1	whitaker
abrog	abrog		1	whitaker
abrogatio	abrogation		1	whitaker
abroton	abroton		2	whitaker
abrotonit	abrotonit		1	whitaker
abrump	abrump		1	whitaker
abrupt	abrupt		3	whitaker
abrupte	ADV		1	whitaker
abruptio	abruption		1	whitaker
abs	PREP		4	whitaker
absced	absced		1	whitaker
abscess	abscess		1	whitaker
abscid	abscid		2	whitaker
abscind	abscind		1	whitaker
abscis	abscis		1	whitaker
abscise	ADV		1	whitaker
abscisio	abscision		1	whitaker
abscissio	abscission		1	whitaker
abscond	abscond		3	whitaker
abscondit	abscondit		2	whitaker
abscondite	ADV		1	whitaker
abscons	abscons		1	whitaker
absconse	ADV		1	whitaker
absconsio	absconsion		1	whitaker
absegmen	absegmin		1	whitaker
absens	absent		1	whitaker
absent	absent		1	whitaker
absenthi	absenthi		1	whitaker
absenti	absenti		1	whitaker
absentio	absention		1	whitaker
absentiv	absentiv		1	whitaker
absid	absid		2	whitaker
absidat	absidat		1	whitaker
absidiale	absidial		1	whitaker
absidiol	absidiol		1	whitaker
absili	absil		1	whitaker
absimil	absimil		1	whitaker
absinthi	absinthi		4	whitaker
absinthit	absinthit		1	whitaker
absis	absid		1	whitaker
absist	absist		2	whitaker
absit	INTERJ		1	whitaker
absocer	absocer		1	whitaker
absolut	absolut		2	whitaker
absolute	absolutius		1	whitaker
absolutio	absolution		1	whitaker
absolutism	absolutism		1	whitaker
absolutori	absolutori		2	whitaker
absolv	absolv		1	whitaker
abson	abson		2	whitaker
absone	ADV		1	whitaker
absoni	absoni		1	whitaker
absorb	absorb		2	whitaker
absorptio	absorption		1	whitaker
absort	absort		1	whitaker
absortio	absortion		1	whitaker
absque	PREP		1	whitaker
abst	abst		1	whitaker
abstanti	abstanti		1	whitaker
abstemi	abstemi		2	whitaker
absterg	absterg		2	whitaker
absterr	absterr		1	whitaker
abstin	abstin		1	whitaker
abstinax	abstinac		1	whitaker
abstinens	abstinent		1	whitaker
abstinenter	ADV		1	whitaker
abstinenti	abstinenti		1	whitaker
abstract	abstract		1	whitaker
abstractio	abstraction		1	whitaker
abstrah	abstrah		1	whitaker
abstrud	abstrud		1	whitaker
abstrus	abstrus		1	whitaker
abstruse	ADV		1	whitaker
abstrusio	abstrusion		1	whitaker
abstul	abstul		1	whitaker
absum	absum		1	whitaker
absumedo	absumedin		1	whitaker
absumptio	absumption		1	whitaker
absurd	absurd		1	whitaker
absurde	ADV		1	whitaker
absurditas	absurditat		1	whitaker
absynthi	absynthi		1	whitaker
abund	abund		2	whitaker
abundans	abundant		1	whitaker
abundanter	abundantius		1	whitaker
abundanti	abundanti		1	whitaker
abundatio	abundation		1	whitaker
abunde	ADV		1	whitaker
abus	abus		1	whitaker
abusio	abusion		1	whitaker
abusiv	abusiv		1	whitaker
abusive	ADV		1	whitaker
