prefix	count
th	5272
the	3564
an	1937
to	1719
of	1600
and	1472
ha	1301
in	1245
he	1228
be	976
tha	895
wh	863
wa	837
fo	828
hi	822
co	820
wi	777
yo	699
st	698
for	691
you	676
no	660
it	633
on	607
was	601
his	579
ma	566
sh	556
wo	540
bo	538
re	531
me	519
as	515
had	489
se	476
do	466
sa	457
we	447
wit	444
bu	425
pr	415
hav	413
so	407
mo	403
fr	395
al	393
de	392
thi	374
bob	374
ca	372
at	360
mi	358
is	351
li	342
her	339
go	337
my	337
lo	323
not	321
su	318
fi	313
ho	310
fa	308
pa	299
br	296
but	276
or	273
ne	268
all	267
wor	266
ba	263
ou	261
un	260
di	259
whe	254
who	249
sto	247
fro	246
con	243
tr	243
she	239
pro	238
wil	237
te	232
kn	230
da	226
tho	225
ar	223
up	222
ch	221
la	217
ev	214
ex	214
le	213
com	209
him	203
si	201
one	199
any	197
eve	197
int	196
by	195
bro	195
sho	191
pe	190
ta	187
cou	185
gr	184
man	183
ra	183
thr	182
str	182
sta	181
bee	180
see	180
hea	180
cr	177
whi	177
wou	176
wha	174
ag	174
fe	171
po	171
if	167
kno	166
ga	163
mor	163
out	157
wer	156
mu	146
cl	144
day	142
ye	141
are	138
ti	136
ro	136
ju	134
off	134
pl	133
min	133
san	133
can	128
bl	125
af	125
has	122
beu	119
gu	118
don	117
us	116
exc	116
ran	116
en	114
hu	113
ji	113
jim	113
sp	112
ab	112
ge	110
rea	109
pu	107
ru	107
ov	106
ove	106
fat	106
mil	105
now	103
sha	103
gut	102
bef	101
som	100
our	99
tak	99
han	97
ey	96
eye	96
cha	96
am	96
ac	96
op	95
dea	94
bi	94
tim	94
dis	93
aft	93
its	91
mus	91
sou	90
tw	90
pre	90
gam	90
loo	89
bac	89
onl	88
aga	88
ot	87
oth	87
ri	87
cro	87
per	87
mad	87
gi	85
fl	85
tra	84
tel	83
mon	83
sai	82
pla	81
dr	81
ins	81
par	80
sel	80
get	79
mak	78
hel	77
fac	77
new	77
aw	76
gre	76
bar	76
sug	76
jus	75
suc	75
vi	74
fri	73
fin	73
men	73
hou	73
ol	73
des	73
res	71
old	70
ea	70
nev	69
unt	69
say	69
fou	69
did	68
dow	68
ad	68
fir	68
qu	67
ope	67
pri	67
goo	66
abo	66
sy	66
ve	65
lon	65
peo	65
clo	65
tu	64
cal	63
lea	63
mar	63
too	63
sys	63
chi	62
wal	62
cam	62
ter	61
rec	61
sec	61
lik	61
sc	61
kne	61
hun	61
fu	61
mis	60
let	60
how	59
tri	59
gra	59
vo	58
flo	58
mr	58
upo	58
und	57
dol	57
way	56
two	56
saw	55
yea	55
sl	55
spe	55
tru	55
sol	55
may	54
cop	54
sur	54
las	54
god	53
ce	53
tur	53
wr	53
sen	52
pi	52
acc	52
cu	52
lit	51
pas	51
beg	51
few	51
los	51
el	51
bea	50
pos	50
ap	50
awa	49
ke	49
fre	49
buy	49
sig	48
ten	48
exp	48
wom	48
fee	48
bec	48
use	47
ni	47
wan	47
sw	47
rep	47
na	47
lov	47
blo	47
mem	47
lif	47
ent	46
bla	46
app	46
agr	45
du	45
ki	45
ow	45
rei	45
law	44
hap	44
bus	44
giv	43
col	43
mea	43
har	43
im	43
own	43
fel	43
car	43
hop	42
rig	42
pan	41
fai	41
wel	41
bou	41
voi	40
qui	40
wen	40
put	40
dec	40
ver	39
bre	39
goi	39
yet	39
got	39
gon	39
nig	38
muc	38
kee	38
fol	38
inc	37
fiv	37
tal	37
mot	37
fig	37
ind	37
sti	37
dro	36
yes	36
mig	36
sm	36
won	36
big	36
gir	36
bri	35
