prefix	count
de	7011
qu	5249
le	5086
la	3328
et	3196
un	3168
il	3049
ce	2943
vo	2862
pa	2823
co	2771
en	2539
mo	2499
ma	2382
que	2371
se	2307
so	2170
av	2090
re	2034
da	1964
po	1921
dan	1904
vou	1872
di	1838
au	1793
pr	1662
je	1621
ét	1515
es	1432
sa	1397
to	1386
les	1382
qui	1366
su	1320
par	1238
fa	1228
une	1216
tou	1176
pas	1162
com	1146
pou	1143
mai	1120
vi	1116
no	1096
éta	1095
ch	1094
son	1092
ca	1090
pe	1083
est	1066
ava	1027
me	1016
mon	1011
dit	993
ne	978
do	973
du	969
tr	960
in	934
lu	927
pl	926
des	912
con	837
si	835
lui	830
sur	784
ave	769
ou	751
ai	741
fai	724
cet	721
on	694
dé	691
ho	663
plu	628
don	627
fo	626
al	607
bo	607
ap	594
ve	586
te	577
moi	574
bi	560
nou	558
ré	555
cr	535
ar	532
fi	528
bie	527
hom	511
sou	505
fe	478
mor	475
éc	469
tro	467
mi	462
pro	451
fr	450
cel	438
li	430
voi	427
cha	416
ent	412
cou	411
êt	404
ro	401
ses	398
pri	397
el	389
gr	387
dem	384
an	384
ab	383
pre	375
app	373
jo	368
ba	368
peu	367
mê	364
mar	362
che	362
aut	362
ces	357
ra	353
ell	352
pu	351
mêm	347
lo	342
all	332
ex	332
br	324
ri	321
fer	321
ser	315
deu	312
ci	309
por	295
ins	294
san	293
arr	292
vil	289
ac	285
ju	285
am	284
ta	283
qua	283
tra	283
jou	281
he	280
rép	279
sui	278
êtr	277
mer	277
dev	274
vie	273
bon	272
pi	270
at	270
fu	269
heu	267
fra	266
ren	266
res	265
rep	262
oui	262
as	261
ha	257
per	257
car	256
mal	255
pré	254
seu	254
jeu	253
att	252
reg	251
ven	249
avo	249
im	247
ed	247
edm	247
for	246
dou	246
enc	245
vot	245
gra	242
ret	241
dis	241
pen	240
où	237
cad	236
tu	233
esp	233
ga	231
dir	230
pui	230
pla	219
or	216
abb	214
poi	210
ass	209
va	207
alo	206
ge	205
aux	205
int	202
pè	201
ver	200
pèr	199
be	197
sai	192
cro	191
rec	190
bou	190
na	189
cho	189
acc	188
voy	188
foi	188
écr	187
non	184
eu	184
ja	183
ils	182
tem	179
jus	178
mil	174
em	174
soi	173
été	173
enf	173
imp	172
fil	170
apr	168
rem	168
rie	167
eh	165
go	162
leu	162
ter	160
mu	159
mé	157
sec	155
ye	154
yeu	154
ami	153
mou	152
là	152
cri	151
nu	150
hu	150
sem	150
lai	150
ouv	150
aus	147
ép	147
sav	145
pie	143
fut	143
vin	142
eû	142
eût	142
fit	141
îl	140
cap	140
ten	140
sen	140
île	139
tê	139
têt	139
él	138
ef	137
eff	137
pos	135
sor	134
ti	133
die	133
aur	133
man	132
mes	132
cin	130
rev	130
mur	129
ête	127
dés	125
fau	124
pet	122
rap	122
nom	122
gou	121
mom	121
emp	121
ain	121
ph	120
roi	119
bar	119
cor	118
arm	118
prè	118
ob	118
der	118
mat	114
tan	114
déc	112
vu	112
oh	112
vis	110
bl	109
sol	108
gen	108
som	107
far	107
rou	106
éco	105
hab	104
cer	104
ord	103
ang	103
jam	103
lon	102
bru	102
déj	102
bra	101
ad	101
gar	100
lor	100
let	99
cac	99
bâ	98
dep	98
fro	98
pau	97
cen	96
lie	96
lev	96
af	95
bât	95
vit	95
veu	94
ni	94
hui	92
quo	92
coe	92
min	92
cô	90
ans	90
côt	89
aim	89
lib	89
pat	87
jet	86
inc	85
bor	85
ah	85
gé	85
rel	85
vé	85
cra	85
fou	84
noi	84
sup	84
exc	84
ind	84
cep	83
mot	83
ru	83
env	82
fl	82
év	82
nui	82
sau	81
viv	80
ag	79
hon	79
lou	79
tom	78
aff	78
hé	78
pol	78
rés	77
lit	77
pap	77
roc	77
étr	76
cl	76
geô	76
tre	75
dia	75
pha	74
écl	74
not	73
dix	73
fem	73
fac	71
bri	70
dép	70
ann	70
inf	70
exp	69
met	69
bes	69
mie	69
fon	69
vér	69
sp	68
bas	68
sub	67
sig	67
cal	67
pei	67
bla	67
sir	67
dr	66
gro	66
éto	66
ess	66
ail	66
tab	65
éch	65
ref	65
cat	64
dét	64
abo	62
fû	62
fût	62
sé	62
of	61
ic	61
pâ	61
hau	60
ici	60
épo	60
vr	60
vra	60
éte	60
laq	60
tré	59
obs	59
gén	59
off	59
vol	58
bel	58
joi	58
ont	58
fin	58
auc	58
rai	57
xv	56
pâl	56
vai	56
mis	56
oe	55
air	55
doi	55
leq	55
sim	54
tir	54
cas	54
cru	54
liv	54
châ	53
xvi	53
six	53
lé	53
hi	53
gu	52
fia	52
nap	52
esc	52
oub	52
vos	52
ban	52
feu	52
jac	52
bea	51
imm	51
id	51
hor	50
sil	50
len	49
élo	49
pé	49
op	49
moy	49
eut	49
idé	49
sal	48
ceu	48
lég	48
bu	48
lan	48
fus	48
épa	47
lar	47
fam	47
oc	47
occ	47
toi	47
auj	47
méd	47
hum	47
ape	46
mau	46
maj	46
cab	45
cu	45
agi	45
ple	45
end	45
aid	45
exa	45
oei	44
cie	44
if	43
réc	43
nav	43
cé	43
aba	43
gl	43
coi	43
jug	42
loi	42
pay	42
mag	42
sep	41
abs	41
rue	41
men	41
ric	41
inv	41
pai	41
meu	41
rê	41
rêv	41
nat	41
tri	40
ach	40
aj	40
ajo	40
prê	40
tor	39
adr	39
eux	39
déb	39
exi	39
dév	39
mad	39
sc	39
coc	39
arg	38
avi	38
ég	38
ant	38
dro	38
flo	38
us	37
ble	37
lig	37
red	37
spa	37
inq	36
éla	36
elb	36
sac	36
bal	36
amo	36
lum	36
déf	36
it	35
ita	35
ea	35
eau	35
ay	35
inu	35
mér	35
fal	35
gae	35
né	34
act	34
cle	34
faç	33
dif	33
bat	33
pal	33
tar	33
vue	33
ém	33
mit	33
roy	33
his	33
rom	33
fur	32
nos	32
ore	32
mei	32
dél	32
emm	32
ras	31
cur	31
ram	31
vei	31
ig	31
ign	31
maî	31
gau	31
tai	31
éle	31
exe	31
hô	31
anc	30
nua	30
éti	30
val	30
bai	30
écu	30
lè	30
hér	30
sin	30
boi	30
éva	30
hôt	30
duc	30
st	29
exé	29
soy	29
can	29
ton	29
col	29
mè	29
enn	29
reç	29
dén	29
ext	29
jul	29
éb	28
riv	28
aig	28
nag	28
iv	27
ir	27
lèv	27
fix	27
suc	27
tue	27
grâ	27
eng	27
th	26
vig	26
cre	26
rég	26
cau	26
pén	26
ria	26
fen	26
sû	26
sûr	26
usu	26
fri	26
cré	26
fui	26
réu	26
vag	25
eus	25
ard	25
fav	25
ray	25
sép	25
amb	25
rév	25
cai	25
xx	24
fé	24
lut	24
lec	24
hai	24
réf	24
ens	24
gri	24
sue	24
deb	24
té	24
fat	24
brû	24
lam	24
cés	24
put	23
gi	23
ran	23
age	23
cam	23
dè	23
dès	23
my	23
mèr	23
dur	23
ivr	23
jur	23
mém	23
chi	23
max	23
bé	22
fla	22
vid	22
dî	22
rej	22
but	22
aya	22
om	22
omb	22
os	22
adi	22
mid	22
cir	22
ali	22
fig	21
dîn	21
hés	21
emb	21
den	21
auq	21
tâ	21
cla	21
gla	21
rac	21
pio	21
cim	20
éq	20
équ	20
tie	20
éga	20
sei	20
pit	20
vê	20
vêt	20
acq	20
évé	20
mm	20
dig	20
fol	20
dér	20
gag	20
bov	20
out	19
gli	19
dal	19
neu	19
sit	19
obj	19
inn	19
frè	19
ina	19
tâc	19
has	19
enl	19
âm	19
âme	19
div	19
phi	19
vio	19
adm	19
gal	19
amé	19
sta	18
uns	18
bén	18
