prefix	count
ch	5382
di	3984
co	3943
che	3714
qu	3016
la	2735
pe	2460
no	2291
per	2039
in	2000
al	1785
mi	1683
de	1666
se	1595
ma	1538
que	1485
ve	1470
non	1467
si	1410
pi	1384
so	1382
pa	1306
con	1301
vi	1290
tu	1281
le	1238
po	1198
su	1188
io	1108
qua	1096
com	1058
ri	1037
fa	1033
me	1029
lo	1015
pr	991
li	982
mo	981
gi	973
ca	961
da	953
sa	918
vo	901
ne	869
par	825
un	819
alt	812
dis	806
fu	798
sì	798
ci	785
an	783
te	762
tr	761
fo	708
ta	692
il	671
più	668
do	663
lu	647
fi	611
be	598
cos	589
del	581
gr	537
sp	526
st	522
pu	513
av	494
sc	480
er	479
suo	463
vol	462
tut	459
es	455
pri	448
fe	447
chi	443
or	441
col	439
ved	439
qui	414
el	408
to	407
ver	398
era	397
tra	395
re	395
va	383
ti	380
ar	365
ra	362
gra	362
cr	359
san	356
ess	356
ven	350
du	349
am	347
son	345
ac	342
on	339
cor	333
tan	332
ben	327
men	321
poi	318
sol	313
nel	311
mio	308
ce	303
as	301
for	299
ap	291
sua	289
pre	288
ha	287
gu	286
ell	285
ond	281
pia	280
là	279
oc	279
occ	278
can	272
mon	272
ave	271
cu	271
lor	269
anc	268
int	265
già	265
vid	263
ad	257
fr	252
ge	250
noi	250
lui	244
ris	239
pro	236
pos	236
vis	230
pur	229
na	225
pen	222
giu	220
ba	219
seg	218
cre	215
dic	213
sen	212
dov	209
sé	206
pie	204
tal	204
mor	202
om	202
ter	201
ro	201
gen	199
app	198
una	197
acc	197
mia	197
sem	196
far	196
ché	193
mar	192
man	191
fos	190
cie	190
dol	189
pas	188
car	187
og	186
tem	185
div	184
spe	182
fat	181
sta	180
dal	180
mal	179
ogn	178
nos	176
tor	176
fac	175
sù	173
mos	173
né	173
cer	172
fuo	164
por	164
inf	163
giù	163
amo	162
bu	162
ciò	162
poc	161
gua	159
spi	158
dir	157
ed	157
cui	157
at	155
luc	155
ani	154
tuo	151
sar	149
fia	147
att	145
den	143
mai	142
br	142
ric	142
die	141
rag	140
ste	140
im	139
ass	138
tro	137
viv	136
all	135
rim	133
las	133
and	133
us	132
vir	130
tre	129
fec	129
nu	129
sal	128
dio	127
sov	127
veg	126
fig	123
dim	123
sot	122
et	121
cia	121
mu	121
tua	120
vos	119
bo	119
riv	118
voi	118
fer	117
mol	117
buo	117
bel	116
gio	116
nov	116
ser	116
str	115
alc	115
mie	113
mae	112
due	112
sco	111
sec	110
don	110
acq	108
lei	106
nat	105
ten	104
fui	103
gri	103
lum	103
tos	103
sia	102
puo	101
duc	100
dr	99
mis	99
ov	99
pot	99
vit	98
not	98
leg	98
ora	98
cot	98
ag	98
ett	96
ud	96
spa	95
cal	95
gir	95
mag	94
af	93
aff	93
loc	93
omb	93
asp	92
sap	92
fé	91
lun	91
val	90
din	90
bi	90
fan	90
vin	89
udi	88
reg	88
ind	88
voc	88
cam	87
pun	87
ab	87
dri	87
vu	87
sos	87
lev	87
vie	87
rip	86
avv	86
bea	85
sue	84
usc	84
gui	84
mov	84
fra	84
inc	84
vuo	83
foc	83
sie	83
sce	83
um	82
fin	81
van	80
via	79
uo	79
sca	79
inn	78
nom	78
fio	76
go	76
tes	75
rit	74
uno	74
tri	74
mir	74
sch	73
ard	72
rig	72
let	72
eb	71
tac	71
ru	71
lì	71
fro	70
ant	70
rot	70
uom	70
bas	69
pad	69
cap	69
fon	68
vog	68
imp	68
cri	68
inv	68
bra	67
des	66
ing	66
cen	66
fre	66
fur	65
mez	64
ebb	64
ape	64
sor	64
art	64
sus	64
nas	63
piè	62
fal	62
ang	62
mer	62
som	62
set	62
ei	62
sop	62
ga	61
vel	61
ava	61
asc	61
abb	60
cag	60
fam	60
ai	60
cad	60
of	59
en	59
ren	59
pon	59
nul	59
fed	58
lie	58
mod	58
fie	57
dil	57
pec	57
lat	57
dì	57
han	56
hai	56
ins	56
sog	56
off	55
cas	55
ret	54
mes	54
ir	54
mem	54
gia	54
può	54
ann	54
dan	53
amm	53
uma	53
cin	53
oma	53
os	52
dur	52
mat	52
nt	52
gl	52
tol	51
ove	51
arg	51
fug	50
rom	50
ent	50
ol	50
fum	50
arc	50
