prefix	count
co	3105
con	1694
in	1457
de	1337
ca	1213
ad	938
pr	876
di	763
pe	696
su	646
re	556
an	529
com	515
ex	512
per	501
ci	500
ar	449
se	440
pa	414
ma	396
pro	393
pra	371
al	370
ce	361
tr	360
ap	338
am	329
ac	317
cu	317
ch	310
cir	310
as	291
cr	290
qu	282
sa	282
la	275
im	270
ae	268
sub	268
ba	262
au	256
ab	254
int	253
ve	249
po	247
vi	247
te	244
col	232
inc	231
ant	229
ob	229
cor	222
dis	219
dec	215
st	213
bi	211
me	210
fa	207
cl	205
sc	196
mo	194
si	188
cal	187
li	180
des	177
car	174
imp	172
pu	162
tra	160
so	159
mu	158
ins	156
mi	155
sp	155
sup	153
can	149
dep	147
at	146
bu	144
be	142
cap	142
ind	142
ads	140
fe	139
tri	139
qua	137
cat	135
fo	133
ag	131
he	130
def	128
le	128
del	126
ha	126
pl	125
gr	124
cy	122
ho	122
ra	120
cer	119
ne	118
dia	117
par	117
br	116
pi	116
fr	115
inf	115
ge	114
cae	113
lu	113
acc	112
fu	112
op	111
el	110
ass	109
to	109
va	108
app	107
arc	106
ta	104
or	103
cha	102
na	102
cen	100
ju	100
no	100
tu	99
do	98
fi	97
ph	97
sem	95
bo	93
exp	93
adp	92
dem	92
man	92
gra	91
nu	91
un	91
cla	90
da	90
du	90
hy	90
rec	90
cre	86
fl	86
hi	86
ep	85
ver	84
em	83
ir	83
res	83
af	81
exc	81
ga	81
att	80
for	78
cas	77
exs	77
th	77
ali	76
obs	76
vo	76
ana	75
cau	75
cur	75
rep	75
ru	75
imm	74
lo	74
oc	74
abs	73
aff	73
ast	72
chr	72
coa	72
adf	70
apo	70
all	69
den	69
dev	69
amm	68
bal	68
en	68
cel	67
coe	67
il	67
aps	66
inv	66
aeq	65
ef	64
eff	64
ev	64
qui	64
adv	63
bl	63
cam	63
coc	63
det	63
gl	63
irr	63
amp	62
aur	62
ext	62
pos	62
sal	62
adm	61
alt	61
er	61
mul	61
ni	60
sy	60
cru	59
inr	59
mon	59
pal	59
pri	59
quo	59
sep	59
amb	58
av	58
dil	58
epi	58
ina	58
ven	58
fer	57
ill	57
sol	57
bra	56
adt	55
cul	55
str	55
dif	54
inp	54
mal	54
pla	54
ro	54
ine	53
ann	52
cin	52
sca	52
ter	52
asp	51
ele	51
ser	51
aq	50
aqu	50
aut	50
ec	50
gen	50
pen	50
ti	50
bla	49
cri	49
der	49
hor	49
adl	48
bar	48
cho	48
exa	48
adc	47
art	47
bel	47
pat	46
ref	46
tur	46
aer	45
ang	45
arg	45
cra	45
dic	45
exe	45
ino	45
ben	44
her	44
mar	44
sen	44
ada	43
dig	43
lat	43
ri	43
ste	43
bac	42
por	42
tor	42
vol	42
cli	41
cun	41
dir	41
inl	41
mor	41
ps	41
sec	41
cro	40
pan	40
pre	40
pul	40
ret	40
sus	40
auc	39
cit	39
es	39
hyp	39
lac	39
lib	39
mat	39
occ	39
pol	39
red	39
spe	39
the	39
ut	39
ama	38
cac	38
ded	38
div	38
eu	38
mag	38
mil	38
my	38
ten	38
vic	38
vir	38
adn	37
ari	37
arr	37
cop	37
fru	37
mac	37
met	37
min	37
rel	37
ses	37
coh	36
cup	36
inh	36
med	36
os	36
scr	36
suf	36
vit	36
ado	35
adu	35
ani	35
arm	35
che	35
cot	35
cyn	35
fla	35
id	35
san	35
sci	35
sim	35
sta	35
tem	35
aes	34
exi	34
fac	34
ol	34
chi	33
cog	33
gal	33
ing	33
lit	33
mel	33
mer	33
pau	33
suc	33
tel	33
adg	32
aeg	32
alb	32
ara	32
gu	32
hu	32
pec	32
rem	32
sac	32
sar	32
sex	32
sti	32
uni	32
ace	31
adi	31
adj	31
asc	31
cep	31
dam	31
fra	31
is	31
luc	31
mis	31
nec	31
rev	31
adr	30
ami	30
anc	30
aus	30
dim	30
ed	30
fal	30
fun	30
har	30
mol	30
obl	30
plu	30
sat	30
sil	30
spi	30
sum	30
acr	29
aed	29
arb	29
bas	29
clu	29
exo	29
ig	29
lan	29
men	29
mun	29
of	29
py	29
ul	29
ves	29
acu	28
buc	28
cav	28
cuc	28
cum	28
ign	28
inn	28
obt	28
off	28
om	28
pha	28
pis	28
sin	28
syn	28
tab	28
aet	27
agg	27
aug	27
bib	27
bip	27
bis	27
dom	27
ja	27
opp	27
pet	27
tes	27
act	26
cos	26
ful	26
mod	26
pae	26
ped	26
pel	26
pin	26
soc	26
spo	26
tre	26
vel	26
vin	26
aca	25
adh	25
bur	25
cic	25
cis	25
dea	25
fri	25
inm	25
lab	25
lin	25
mas	25
nov	25
ple	25
pot	25
rad	25
stu	25
sur	25
ty	25
val	25
add	24
agr	24
dex	24
eb	24
et	24
fae	24
flu	24
hum	24
leg	24
pas	24
rat	24
sor	24
ur	24
vig	24
abo	23
ale	23
amo	23
ave	23
bat	23
bul	23
dio	23
dip	23
foe	23
glo	23
lau	23
mus	23
phi	23
reg	23
und	23
agn	22
deb	22
deg	22
fas	22
gla	22
hab	22
hom	22
hyd	22
len	22
lon	22
nat	22
num	22
oct	22
pop	22
psy	22
ren	22
um	22
vis	22
alc	21
atr	21
eva	21
fur	21
hie	21
neg	21
ord	21
sic	21
us	21
aud	20
bot	20
bre	20
cad	20
cym	20
dr	20
fid	20
lar	20
