prefix	count
et	6053
co	5224
in	5031
qu	4690
ca	3211
se	3087
si	3069
al	2901
de	2812
su	2637
ad	2500
pr	2284
me	2279
ve	2257
ex	2159
ma	2072
au	2055
cu	1999
vi	1993
re	1940
ac	1917
di	1850
li	1800
es	1747
con	1640
po	1601
qua	1583
pa	1517
aut	1513
est	1492
quo	1486
cum	1471
sa	1458
la	1423
ha	1400
fo	1339
st	1333
cap	1326
mo	1273
ver	1252
qui	1239
no	1218
pe	1207
te	1205
sc	1145
sic	1127
ci	1083
as	1083
ra	1083
cl	1077
pro	1058
ali	1053
le	1043
med	1041
na	1034
cod	1023
an	1005
tr	996
sub	889
hab	879
tu	868
lo	850
ut	831
he	828
fol	817
ald	809
mi	787
sed	777
per	750
do	739
ar	731
ne	729
ce	719
vin	712
im	708
vu	700
vo	696
cr	693
vul	678
non	662
bi	662
or	661
sco	659
to	656
fa	654
ser	646
par	644
mu	638
du	638
fr	632
ap	626
sim	625
pl	618
fi	617
pu	617
cor	617
sp	613
ni	613
rad	602
col	594
pot	593
ae	592
pra	586
so	579
ta	577
int	568
fl	567
mar	557
sty	553
eti	550
ea	546
fe	538
gr	537
pi	535
ol	534
pri	531
ro	531
cla	531
il	529
un	522
aq	521
aqu	519
bu	511
ru	510
oi	499
men	478
om	476
ge	473
am	471
va	471
it	469
op	466
com	459
ab	459
tra	459
tri	459
cal	456
sar	443
bib	439
ill	435
at	435
mel	428
da	420
fru	420
imp	419
ip	418
ori	417
fu	416
ia	415
ter	413
add	410
lac	410
oc	408
ins	407
exp	405
asu	404
ips	403
id	403
ct	402
hi	401
inf	391
ho	386
dis	386
ti	384
mor	384
ole	384
sun	383
den	381
min	376
go	375
ob	369
sem	368
loc	363
ga	362
mul	362
er	360
ur	358
dic	356
rec	355
eo	355
leg	354
ul	351
fac	349
gra	348
dec	348
voc	346
pos	345
hu	344
cx	343
ace	341
nav	340
san	339
cau	339
suc	338
dr	331
mod	325
sol	323
dol	322
th	319
que	317
sea	317
lib	314
nu	313
us	307
can	307
uti	307
xa	305
flo	304
ten	303
her	301
gu	301
ed	299
ov	299
gen	297
ch	297
app	295
omn	295
tum	292
ef	292
lu	291
alb	291
ii	290
iu	290
od	289
nas	289
fer	286
pur	286
em	279
sy	279
lit	275
rem	275
el	274
en	272
ven	271
ei	270
sum	268
odo	268
car	266
ri	264
but	264
iat	261
uri	261
nec	259
alv	259
coc	258
cy	256
alt	255
ana	254
vim	254
eff	253
vel	252
exc	251
ast	251
mat	246
sin	246
ya	246
ite	244
ph	243
inc	243
sal	242
ou	242
vir	240
ev	238
lat	237
for	236
af	235
sto	234
sup	233
nig	233
lin	232
rep	232
spi	231
gou	227
ba	225
aeg	225
res	225
dat	223
tam	222
gal	221
ind	221
ocu	221
ulc	221
ant	220
mol	220
des	219
tur	219
clx	217
cer	216
str	213
cra	213
be	212
io	212
rom	210
top	210
gi	208
xo	207
bo	207
cir	204
ead	203
man	202
wa	202
edi	201
plu	201
vit	200
mal	199
asp	199
hae	198
mag	198
adm	194
adi	193
cli	192
hoc	191
hy	191
det	189
cie	189
pon	188
tus	188
seq	186
iis	186
dra	186
ess	184
syl	184
val	182
lx	182
pol	181
pli	181
len	180
dum	179
cet	179
ref	177
my	176
liq	176
eni	175
dif	172
gl	170
cre	169
ic	168
way	168
ag	166
xc	166
vet	164
acc	163
cxx	161
eiu	159
dio	158
lon	158
red	158
sis	156
lab	156
ram	153
ai	153
cru	152
rel	151
mac	151
ita	150
don	149
exi	148
eve	148
aff	147
acr	146
die	146
scr	144
mai	144
xx	143
hum	142
xai	141
flu	141
sl	141
lap	140
atq	140
ext	140
abs	139
aur	139
tem	138
dem	138
spe	138
usu	137
hr	137
sli	137
pla	135
pal	135
fic	135
dei	134
aux	134
div	133
hre	133
pas	132
ros	131
ani	130
neq	130
ves	130
myr	130
pin	129
hea	129
pat	128
ub	128
sat	128
wi	127
sec	126
br	125
ig	125
gus	125
cha	125
ama	124
hui	124
hau	123
out	123
tex	122
adv	122
nar	121
pau	121
ep	121
rum	121
sig	121
xci	121
sit	120
sci	120
vis	120
ang	120
yah	120
lxx	120
sta	119
the	118
ox	118
ubi	118
cin	118
je	118
lec	117
mon	116
por	116
cic	116
is	115
fil	115
omi	114
vas	114
sor	114
of	113
ari	113
tes	112
dro	112
cat	112
cui	111
vid	111
max	111
ass	110
nit	110
rub	108
um	108
eu	107
not	107
opt	107
ue	107
nom	106
fit	106
mit	106
px	104
exe	103
eme	102
pel	102
bus	102
unc	102
eli	100
spa	100
tor	100
vic	99
ple	99
sca	99
cib	98
tan	98
ide	98
os	98
ung	98
dig	97
his	97
und	97
dee	97
lae	97
coh	97
exs	96
inv	96
fue	96
att	96
adh	96
obl	96
cen	95
aer	95
coe	95
sus	95
hor	95
lor	95
mis	95
ke	95
arc	94
nos	94
seu	94
dil	94
tot	93
sex	93
suf	93
sti	92
lev	92
wid	92
amb	91
dep	90
sua	90
ope	90
una	90
xi	89
ger	89
rup	89
za	89
pan	89
cur	88
opo	88
oe	88
ido	88
arb	87
hep	87
far	87
iv	86
rat	85
fla	85
ner	84
nul	84
mus	84
pet	84
eam	84
nat	84
ir	84
lic	84
hir	84
hyd	84
pul	83
pic	83
dur	83
sv	83
log	83
reg	82
lan	82
aio	82
fri	82
lie	82
we	81
num	81
duo	81
amp	81
nam	80
der	80
sam	80
hel	80
cro	80
svg	80
nov	79
sen	79
imm	79
ign	79
gri	79
keg	79
ict	79
iam	78
bl	78
cit	77
eru	77
eor	77
dy	77
sep	77
on	77
umb	77
cac	77
ie	77
lep	77
fun	76
opi	76
yo	76
av	76
apt	76
tit	75
rot	75
xl	75
cxl	75
ste	74
cog	74
def	74
fra	74
gig	74
tol	74
ec	73
var	73
utr	73
ery	73
vov	73
art	72
pil	72
py	72
pec	72
cyp	72
ses	72
ini	71
mas	71
xal	71
hei	71
met	70
diu	70
lis	70
pt	70
exh	70
mov	70
lig	70
glu	70
ly	69
lut	69
pit	69
ren	68
uv	68
ful	68
foe	68
apu	67
afr	67
dul	67
cul	67
fis	67
ust	67
coq	67
pap	67
hz	66
ioz	66
