prefix	count
co	386
es	228
de	218
re	211
en	193
ma	191
tr	185
ch	181
so	163
pr	160
pa	159
sa	142
ca	140
cha	135
pe	126
me	121
se	119
con	118
fa	114
ga	114
la	112
ba	111
des	103
ve	101
fo	97
mo	96
ar	94
pl	92
po	91
do	90
au	86
ra	83
br	80
com	79
di	79
in	77
vi	75
to	74
fr	73
te	73
qu	72
par	71
cr	69
li	68
an	67
ac	66
be	66
gr	65
lo	65
tra	65
ai	64
al	64
est	64
pro	62
ro	62
as	58
esc	58
ab	56
bo	56
fe	55
ta	55
va	55
le	53
no	53
pla	53
ap	52
su	52
am	51
da	51
vo	51
ce	49
gu	49
cou	47
si	47
cor	46
ad	45
af	44
man	44
per	44
av	43
tro	43
pi	42
esp	41
cl	40
em	40
ex	39
fi	39
gra	39
pre	39
ass	38
at	38
cu	37
mal	37
mar	36
gar	35
mon	35
sou	35
for	34
fra	34
jo	34
mi	34
ag	33
dr	33
ent	33
ge	33
men	33
bra	32
mes	32
bl	31
ja	31
que	31
ser	31
fl	30
pu	30
tre	30
ven	30
dis	28
emp	28
na	28
rec	28
ren	28
res	28
bar	27
enc	27
ri	27
ver	27
gui	26
ha	26
car	25
fai	25
go	25
pri	25
vol	25
eng	24
lan	24
mu	24
ne	24
or	24
sob	24
ti	24
dev	23
gl	23
ju	23
ob	23
pas	23
col	22
im	22
mai	22
pen	22
ten	22
acc	21
ara	21
cla	21
dom	21
mer	21
pou	21
sal	21
ber	20
cap	20
cre	20
dou	20
gen	20
ret	20
sen	20
app	19
aus	19
dc	19
dp	19
ds	19
fer	19
qua	19
ais	18
che	18
ci	18
cri	18
ens	18
er	18
lon	18
ni	18
pei	18
sau	18
sem	18
bai	17
bla	17
bou	17
bre	17
enf	17
env	17
gal	17
gi	17
imp	17
int	17
oc	17
rem	17
ter	17
tor	17
tou	17
tri	17
val	17
aut	16
bi	16
cas	16
fol	16
fou	16
ir	16
poi	16
rev	16
sai	16
ves	16
aff	15
arr	15
cal	15
cos	15
fau	15
fu	15
gue	15
ho	15
lai	15
pai	15
ran	15
rep	15
aco	14
bat	14
cro	14
fre	14
gas	14
ind	14
qui	14
ru	14
sar	14
sof	14
sol	14
som	14
aj	13
ben	13
bri	13
bu	13
du	13
je	13
lar	13
mas	13
nor	13
ou	13
ple	13
sab	13
tar	13
tem	13
aba	12
abo	12
afa	12
agr	12
anc	12
att	12
aur	12
avi	12
az	12
bor	12
cel	12
cen	12
cui	12
dar	12
dem	12
don	12
dt	12
end	12
esm	12
exp	12
gla	12
lau	12
lu	12
on	12
os	12
pal	12
plu	12
rai	12
rou	12
rp	12
tal	12
vil	12
ama	11
amo	11
ang	11
coi	11
del	11
den	11
el	11
ena	11
fan	11
far	11
fla	11
gau	11
ins	11
mir	11
mor	11
nu	11
pau	11
pes	11
por	11
rc	11
san	11
sor	11
sub	11
tru	11
vai	11
abr	10
apa	10
atr	10
ava	10
ave	10
bau	10
bel	10
cam	10
can	10
chi	10
cho	10
cob	10
df	10
dor	10
fal	10
fen	10
is	10
len	10
lim	10
lis	10
mat	10
mel	10
mou	10
occ	10
pos	10
ref	10
reg	10
ric	10
rom	10
sav	10
vl	10
afi	9
agu	9
aig	9
aim	9
aju	9
alb	9
all	9
ami	9
arc	9
arm	9
bal	9
bas	9
bes	9
bru	9
cau	9
cer	9
dre	9
dro	9
ef	9
ei	9
eis	9
emb	9
esf	9
exc	9
ext	9
fos	9
hab	9
he	9
hu	9
inc	9
jou	9
lav	9
mau	9
rap	9
ras	9
red	9
sag	9
sei	9
soi	9
sot	9
sup	9
sur	9
tan	9
th	9
voi	9
ado	8
ana	8
ant	8
ao	8
apr	8
auz	8
avo	8
cat	8
cra	8
db	8
deu	8
dir	8
dl	8
dm	8
enq	8
esl	8
eu	8
fas	8
fil	8
flo	8
fro	8
gab	8
gou	8
gri	8
inv	8
jus	8
loi	8
lom	8
lou	8
mod	8
pel	8
pon	8
prc	8
rei	8
ros	8
sc	8
son	8
sp	8
st	8
us	8
vic	8
abs	7
act	7
ade	7
ait	7
ale	7
alt	7
amb	7
aq	7
aqu	7
ard	7
are	7
arg	7
ate	7
auc	7
cle	7
dam	7
dan	7
dco	7
dec	7
deg	7
der	7
dg	7
dpl	7
dru	7
eff	7
esq	7
fad	7
fav	7
fon	7
gan	7
gre	7
hon	7
jau	7
jeu	7
lat	7
met	7
mil	7
moi	7
mur	7
nou	7
ost	7
pie	7
pn	7
prt	7
reb	7
rs	7
sap	7
sec	7
sin	7
ton	7
tu	7
van	7
vou	7
vu	7
adr	6
adv	6
alo	6
art	6
ast	6
bad	6
ban	6
bie	6
boi	6
cab	6
cop	6
cul	6
dau	6
dch	6
dep	6
div	6
doi	6
dol	6
dra	6
dtr	6
esd	6
esg	6
ess	6
fam	6
fin	6
gai	6
har	6
hr	6
ht	6
il	6
inf	6
jon	6
lac	6
les	6
lg	6
lie	6
lin	6
lit	6
log	6
mem	6
mos	6
mr	6
nat	6
noi	6
non	6
peu	6
pis	6
plo	6
pol	6
prs	6
ps	6
quo	6
rab	6
rau	6
rel	6
rot	6
sas	6
sat	6
sex	6
sl	6
soc	6
sos	6
sr	6
tes	6
tin	6
tot	6
un	6
veg	6
vei	6
vie	6
vis	6
viv	6
vr	6
abe	5
ace	5
ach	5
acl	5
ae	5
ala	5
ali	5
apo	5
aug	5
azi	5
bea	5
ble	5
bus	5
cai	5
cav	5
chr	5
coc	5
dba	5
dif	5
dij	5
