folio	section
f1r	Herbal
f1v	Herbal
f2r	Herbal
f2v	Herbal
f3r	Herbal
f3v	Herbal
f4r	Herbal
f4v	Herbal
f5r	Herbal
f5v	Herbal
f6r	Herbal
f6v	Herbal
f7r	Herbal
f7v	Herbal
f8r	Herbal
f8v	Herbal
f9r	Herbal
f9v	Herbal
f10r	Herbal
f10v	Herbal
f11r	Herbal
f11v	Herbal
f13r	Herbal
f13v	Herbal
f14r	Herbal
f14v	Herbal
f15r	Herbal
f15v	Herbal
f16r	Herbal
f16v	Herbal
f17r	Herbal
f17v	Herbal
f18r	Herbal
f18v	Herbal
f19r	Herbal
f19v	Herbal
f20r	Herbal
f20v	Herbal
f21r	Herbal
f21v	Herbal
f22r	Herbal
f22v	Herbal
f23r	Herbal
f23v	Herbal
f24r	Herbal
f24v	Herbal
f25r	Herbal
f25v	Herbal
f26r	Herbal
f26v	Herbal
f27r	Herbal
f27v	Herbal
f28r	Herbal
f28v	Herbal
f29r	Herbal
f29v	Herbal
f30r	Herbal
f30v	Herbal
f31r	Herbal
f31v	Herbal
f32r	Herbal
f32v	Herbal
f33r	Herbal
f33v	Herbal
f34r	Herbal
f34v	Herbal
f35r	Herbal
f35v	Herbal
f36r	Herbal
f36v	Herbal
f37r	Herbal
f37v	Herbal
f38r	Herbal
f38v	Herbal
f39r	Herbal
f39v	Herbal
f40r	Herbal
f40v	Herbal
f41r	Herbal
f41v	Herbal
f42r	Herbal
f42v	Herbal
f43r	Herbal
f43v	Herbal
f44r	Herbal
f44v	Herbal
f45r	Herbal
f45v	Herbal
f46r	Herbal
f46v	Herbal
f47r	Herbal
f47v	Herbal
f48r	Herbal
f48v	Herbal
f49r	Herbal
f49v	Herbal
f50r	Herbal
f50v	Herbal
f51r	Herbal
f51v	Herbal
f52r	Herbal
f52v	Herbal
f53r	Herbal
f53v	Herbal
f54r	Herbal
f54v	Herbal
f55r	Herbal
f55v	Herbal
f56r	Herbal
f56v	Herbal
f57r	Herbal
f57v	Herbal
f58r	Herbal
f58v	Herbal
f65r	Herbal
f65v	Herbal
f66r	Herbal
f66v	Herbal
f69r	Astronomical
f69v	Astronomical
f71r	Astronomical
f71v	Astronomical
f73r	Astronomical
f73v	Astronomical
f75r	Biological
f75v	Biological
f76r	Biological
f76v	Biological
f77r	Biological
f77v	Biological
f78r	Biological
f78v	Biological
f79r	Biological
f79v	Biological
f80r	Biological
f80v	Biological
f81r	Biological
f81v	Biological
f82r	Biological
f82v	Biological
f83r	Biological
f83v	Biological
f84r	Biological
f84v	Biological
f87r	Unassigned
f87v	Unassigned
f88r	Pharmaceutical
f88v	Pharmaceutical
f93r	Pharmaceutical
f93v	Pharmaceutical
f94r	Pharmaceutical
f94v	Pharmaceutical
f96r	Pharmaceutical
f96v	Pharmaceutical
f99r	Pharmaceutical
f99v	Pharmaceutical
f100r	Pharmaceutical
f100v	Pharmaceutical
f101r	Pharmaceutical
f101v	Pharmaceutical
f103r	Recipes
f103v	Recipes
f104r	Recipes
f104v	Recipes
f105r	Recipes
f105v	Recipes
f106r	Recipes
f106v	Recipes
f107r	Recipes
f107v	Recipes
f108r	Recipes
f108v	Recipes
f111r	Recipes
f111v	Recipes
f112r	Recipes
f112v	Recipes
f113r	Recipes
f113v	Recipes
f114r	Recipes
f114v	Recipes
f115r	Recipes
f115v	Recipes
f116r	Recipes
