stem	register	gloss	notes	semantic_family	role_group	primary_section	structural_class
a	REGISTER_A						
a	REGISTER_B						
ache	REGISTER_B						
acthed	REGISTER_B						
ad	REGISTER_B						
adar	REGISTER_B						
adche	REGISTER_B						
aekeee	REGISTER_B						
aes	REGISTER_B						
ag	REGISTER_B						
ai	REGISTER_B						
aick	REGISTER_B						
aifh	REGISTER_B						
aifhh	REGISTER_B						
aiid	REGISTER_B						
aiiikhed	REGISTER_B						
aiiin	REGISTER_A						
aiiin	REGISTER_B						
aiiinro	REGISTER_B						
aiik	REGISTER_B						
aiim	REGISTER_A						
aiim	REGISTER_B						
aiin	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
aiin	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
aiin	UNKNOWN		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
aiinog	REGISTER_B						
aiip	REGISTER_B						
aiir	REGISTER_A						
aiir	REGISTER_B						
aiiral	REGISTER_B						
aiis	REGISTER_A						
aiis	REGISTER_B						
aiisaim	REGISTER_B						
aiisod	REGISTER_B						
aikh	REGISTER_B						
aikhd	REGISTER_B						
ail	REGISTER_B						
aild	REGISTER_B						
aim	REGISTER_A						
aim	REGISTER_B						
ain	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
ain	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
ainarals	REGISTER_B						
aindar	REGISTER_B						
aiph	REGISTER_B						
aiphe	REGISTER_B						
aiphhe	REGISTER_B						
air	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
air	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
airald	REGISTER_B						
airar	REGISTER_A						
airch	REGISTER_A						
airo	REGISTER_B						
airod	REGISTER_B						
airorlch	REGISTER_B						
ais	REGISTER_B						
aith	REGISTER_A						
aith	REGISTER_B						
aithchr	REGISTER_B						
ak	REGISTER_B						
akaiik	REGISTER_B						
akar	REGISTER_B						
akarar	REGISTER_B						
akch	REGISTER_B						
akched	REGISTER_B						
ake	REGISTER_B						
al	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
al	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
al	UNKNOWN		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
alaiiin	REGISTER_B						
alair	REGISTER_B						
alaird	REGISTER_A						
alal	REGISTER_B						
alald	REGISTER_B						
alamch	REGISTER_A						
alar	REGISTER_B						
alcfh	REGISTER_A						
alch	REGISTER_A						
alch	REGISTER_B						
alchd	REGISTER_B						
alche	REGISTER_A						
alche	REGISTER_B						
alched	REGISTER_B						
alchek	REGISTER_B						
alches	REGISTER_B						
alchk	REGISTER_B						
alchl	REGISTER_B						
ald	REGISTER_A						
ald	REGISTER_B						
ald	UNKNOWN						
aldalos	REGISTER_B						
aldar	REGISTER_B						
aleed	REGISTER_B						
alekee	REGISTER_A						
alf	REGISTER_B						
alfo	REGISTER_B						
alfshed	REGISTER_B						
alg	REGISTER_A						
alg	REGISTER_B						
alk	REGISTER_B						
alkair	REGISTER_B						
alkar	REGISTER_B						
alkchd	REGISTER_B						
alke	REGISTER_B						
alked	REGISTER_A						
alked	REGISTER_B						
alkee	REGISTER_B						
alkeear	REGISTER_B						
alkeed	REGISTER_B						
all	REGISTER_B						
allke	REGISTER_B						
alo	REGISTER_B						
alod	REGISTER_B						
alodar	REGISTER_B						
aloees	REGISTER_A						
aloees	REGISTER_B						
alog	REGISTER_B						
aloiiin	REGISTER_B						
aloiin	REGISTER_B						
alol	REGISTER_B						
alold	REGISTER_B						
alolfch	REGISTER_B						
alols	REGISTER_B						
alolshed	REGISTER_B						
alom	REGISTER_B						
alor	REGISTER_B						
alos	REGISTER_B						
alpchd	REGISTER_B						
alpchdar	REGISTER_B						
als	REGISTER_A						
als	REGISTER_B						
alsh	REGISTER_B						
alshe	REGISTER_B						
alshed	REGISTER_B						
alte	REGISTER_B						
alys	REGISTER_A						
alys	REGISTER_B						
am	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
am	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
amch	REGISTER_B						
amchd	REGISTER_B						
amd	REGISTER_B						
amg	REGISTER_A						
amg	REGISTER_B						
amod	REGISTER_B						
amom	REGISTER_B						
an	REGISTER_A						
an	REGISTER_B						
an	UNKNOWN						
ap	REGISTER_B						
aporair	REGISTER_B						
ar	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
ar	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_PROC_MIXED	F_PROC_CORE	PROC	Recipes	CL_PROC_MIXED
arair	REGISTER_B						
arairal	REGISTER_B						
aral	REGISTER_A						
aralar	REGISTER_B						
arald	REGISTER_B						
aralos	REGISTER_B						
arals	REGISTER_B						
arar	REGISTER_A						
arar	REGISTER_B						
araro	REGISTER_B						
arayd	REGISTER_B						
arch	REGISTER_B						
archee	REGISTER_A						
are	REGISTER_A						
arg	REGISTER_A						
ariin	REGISTER_B						
arl	REGISTER_A						
arl	REGISTER_B						
aro	REGISTER_B						
arod	REGISTER_A						
arod	REGISTER_B						
arodaim	REGISTER_B						
arodched	REGISTER_A						
arodl	REGISTER_B						
aroiin	REGISTER_B						
aroka	REGISTER_B						
arolk	REGISTER_B						
arolsas	REGISTER_A						
arorshee	REGISTER_B						
aros	REGISTER_A						
arosh	REGISTER_B						
arote	REGISTER_B						
arotee	REGISTER_B						
arsheg	REGISTER_B						
arx	REGISTER_B						
aryl	REGISTER_A						
as	REGISTER_A						
as	REGISTER_B						
asa	REGISTER_A						
asal	REGISTER_B						
ash	REGISTER_B						
at	REGISTER_A						
at	REGISTER_B						
ate	REGISTER_B						
atee	REGISTER_B						
atolg	REGISTER_A						
c	REGISTER_A						
c	REGISTER_B						
cckhe	UNKNOWN						
cckhh	REGISTER_A						
cfarasr	REGISTER_A						
cfh	REGISTER_A						
cfh	REGISTER_B						
cfhar	REGISTER_A						
cfhd	REGISTER_B						
cfhdor	REGISTER_A						
cfhe	REGISTER_A						
cfhe	REGISTER_B						
cfhee	REGISTER_A						
cfheo	REGISTER_B						
cfho	REGISTER_A						
cfhodar	REGISTER_A						
cfhy	REGISTER_B						
ch	REGISTER_A						
ch	REGISTER_B						
cha	REGISTER_A						
chad	REGISTER_A						
chad	REGISTER_B						
chaiir	REGISTER_A						
chaim	REGISTER_B						
chair	REGISTER_A						
chair	REGISTER_B						
chak	REGISTER_B						
chakee	REGISTER_A						
chakod	REGISTER_A						
chal	REGISTER_A						
chal	REGISTER_B						
chald	REGISTER_A						
chalg	REGISTER_B						
chalk	REGISTER_B						
chalkee	REGISTER_B						
chalkeed	REGISTER_B						
chalkeeed	REGISTER_B						
chalol	REGISTER_B						
chalolk	REGISTER_B						
chalr	REGISTER_B						
chaltar	REGISTER_B						
chan	REGISTER_A						
chan	REGISTER_B						
chap	REGISTER_B						
chapch	REGISTER_A						
char	REGISTER_A		family=F_BOTANICAL_CORE;role_group=BOT;primary_section=Herbal;struct=CL_MIXED	F_BOTANICAL_CORE	BOT	Herbal	CL_MIXED
char	REGISTER_B		family=F_BOTANICAL_CORE;role_group=BOT;primary_section=Herbal;struct=CL_MIXED	F_BOTANICAL_CORE	BOT	Herbal	CL_MIXED
chas	REGISTER_A						
chat	REGISTER_B						
chcfh	REGISTER_A						
chcfh	REGISTER_B						
chcfhd	REGISTER_B						
chcfhe	REGISTER_B						
chcfhh	REGISTER_A						
chch	REGISTER_A						
chch	REGISTER_B						
chchee	REGISTER_B						
chchek	REGISTER_B						
chchet	REGISTER_A						
chchk	REGISTER_B						
chchot	REGISTER_A						
chchs	REGISTER_B						
chchst	REGISTER_A						
chcht	REGISTER_B						
chck	REGISTER_B						
chckh	REGISTER_A						
chckh	REGISTER_B						
chckh	UNKNOWN						
chckhal	REGISTER_A						
chckhd	REGISTER_A						
chckhd	REGISTER_B						
chckhe	REGISTER_A						
chckhe	REGISTER_B						
chckhed	REGISTER_A						
chckhed	REGISTER_B						
chckhee	REGISTER_A						
chckheed	REGISTER_B						
chckhh	REGISTER_A						
chckhh	REGISTER_B						
chckhod	REGISTER_A						
chckhoda	REGISTER_B						
chckhs	REGISTER_A						
chckhyd	REGISTER_B						
chckhyfch	REGISTER_B						
chcksh	REGISTER_A						
chcp	REGISTER_A						
chcp	UNKNOWN						
chcph	REGISTER_A						
chcph	REGISTER_B						
chcphar	REGISTER_B						
chcphd	REGISTER_B						
chcphdar	REGISTER_B						
chcphe	REGISTER_A						
chcphe	REGISTER_B						
chcphed	REGISTER_A						
chcphed	REGISTER_B						
chcphh	REGISTER_A						
chcphh	REGISTER_B						
chcphhd	REGISTER_B						
chcs	REGISTER_A						
chct	REGISTER_B						
chcta	REGISTER_B						
chcth	REGISTER_A						
chcth	REGISTER_B						
chcthar	REGISTER_B						
chcthd	REGISTER_B						
chcthe	REGISTER_A						
chcthe	REGISTER_B						
chcthed	REGISTER_B						
chcthh	REGISTER_A						
chcthh	REGISTER_B						
chcthih	REGISTER_B						
chctho	REGISTER_B						
chcthso	REGISTER_A						
chd	REGISTER_A						
chd	REGISTER_B						
chd	UNKNOWN						
chda	REGISTER_A						
chdail	REGISTER_A						
chdair	REGISTER_B						
chdairod	REGISTER_B						
chdal	REGISTER_A						
chdal	REGISTER_B						
chdalchd	REGISTER_B						
chdald	REGISTER_B						
chdalkair	REGISTER_B						
chdar	REGISTER_A						
chdar	REGISTER_B						
chdch	REGISTER_B						
chdchd	REGISTER_B						
chdd	REGISTER_B						
chded	REGISTER_B						
chdo	REGISTER_B						
chdol	REGISTER_A						
chdos	REGISTER_B						
chdykched	REGISTER_B						
chdypd	REGISTER_B						
che	REGISTER_A						
che	REGISTER_B						
che	UNKNOWN						
chead	REGISTER_A						
cheal	REGISTER_A						
cheal	REGISTER_B						
chealr	REGISTER_B						
cheam	REGISTER_A						
cheamar	REGISTER_B						
chean	REGISTER_A						
chear	REGISTER_A		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_MIXED	F_PROC_CORE	PROC	Recipes	CL_MIXED
chear	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Recipes;struct=CL_MIXED	F_PROC_CORE	PROC	Recipes	CL_MIXED
cheas	REGISTER_A						
checfh	REGISTER_B						
chech	REGISTER_A						
chech	REGISTER_B						
chechd	REGISTER_B						
cheche	REGISTER_B						
checkh	REGISTER_A						
checkh	REGISTER_B						
checkhd	REGISTER_B						
checkhe	REGISTER_A						
checkhe	REGISTER_B						
checkhed	REGISTER_B						
checkho	REGISTER_B						
checphe	REGISTER_B						
checphed	REGISTER_B						
checth	REGISTER_A						
checth	REGISTER_B						
checthd	REGISTER_B						
checthe	REGISTER_B						
checthed	REGISTER_B						
ched	REGISTER_A						
ched	REGISTER_B						
ched	UNKNOWN						
cheda	REGISTER_B						
chedacph	REGISTER_B						
chedad	REGISTER_A						
chedaiiin	REGISTER_B						
chedair	REGISTER_B						
chedal	REGISTER_B						
chedalked	REGISTER_B						
chedan	REGISTER_B						
chedar	REGISTER_A						
chedar	REGISTER_B						
chedas	REGISTER_A						
chedch	REGISTER_B						
chedche	REGISTER_B						
chede	REGISTER_B						
chedees	REGISTER_B						
chedk	REGISTER_B						
chedkal	REGISTER_B						
chedkel	REGISTER_B						
chedl	REGISTER_B						
chedo	REGISTER_A						
chedo	REGISTER_B						
chedos	REGISTER_B						
cheds	REGISTER_B						
chedy	REGISTER_B		family=F_PROC_CORE;role_group=PROC;primary_section=Biological;struct=CL_MIXED	F_PROC_CORE	PROC	Biological	CL_MIXED
chedyd	REGISTER_B						
chedykar	REGISTER_B						
chedyl	REGISTER_B						
chedyr	REGISTER_B						
chedyt	REGISTER_B						
chedyte	REGISTER_B						
chedyteok	REGISTER_B						
chee	REGISTER_A						
chee	REGISTER_B						
chee	UNKNOWN						
cheear	REGISTER_B						
cheecphee	REGISTER_A						
cheecth	REGISTER_A						
cheed	REGISTER_A						
cheed	REGISTER_B						
cheedar	REGISTER_B						
cheee	REGISTER_A						
cheee	REGISTER_B						
cheeed	REGISTER_B						
cheeen	REGISTER_A						
cheeeo	REGISTER_B						
cheeet	REGISTER_B						
cheeetch	REGISTER_A						
cheef	REGISTER_A						
cheef	REGISTER_B						
cheefar	REGISTER_B						
cheeg	REGISTER_B						
cheeir	REGISTER_B						
cheek	REGISTER_A						
cheek	REGISTER_B						
cheekan	REGISTER_B						
cheekche	REGISTER_A						
cheekd	REGISTER_A						
cheeke	REGISTER_A						
cheeke	REGISTER_B						
cheekee	REGISTER_B						
cheekeo	REGISTER_A						
cheem	REGISTER_B						
cheen	REGISTER_A						
cheen	REGISTER_B						
cheeo	REGISTER_B						
cheeod	REGISTER_A						
cheeod	REGISTER_B						
cheeoeke	REGISTER_A						
cheeokee	REGISTER_B						
cheeokseo	REGISTER_B						
cheeold	REGISTER_B						
cheeorf	REGISTER_B						
cheeos	REGISTER_A						
cheeos	REGISTER_B						
cheeot	REGISTER_A						
cheep	REGISTER_A						
cheer	REGISTER_B						
chees	REGISTER_A						
chees	REGISTER_B						
chees	UNKNOWN						
cheesees	REGISTER_A						
cheet	REGISTER_A						
cheet	REGISTER_B						
cheeta	REGISTER_B						
cheetar	REGISTER_B						
cheetee	REGISTER_B						
cheetee	UNKNOWN						
cheeyk	REGISTER_A						
cheeyte	REGISTER_B						
chef	REGISTER_B						
chefalas	REGISTER_B						
chefar	REGISTER_B						
chefch	REGISTER_B						
chefchd	REGISTER_B						
chefol	REGISTER_A						
cheg	REGISTER_A						
cheg	REGISTER_B						
cheis	UNKNOWN						
chek	REGISTER_A						
chek	REGISTER_B						
chek	UNKNOWN						
chekaiiin	REGISTER_B						
