folio	line	pos	token
f1	1	1	ddyiinorshorsachorlaqokshein
f1	1	2	dsaroiinlekycheollaal
f1	1	3	pchorrashortototyqoksh
f1	1	4	dadasoaiinsholqokiinda
f1	1	5	rakylosoolsotoainshol
f1	1	6	dyollorakyiindocholiinod
f1	1	7	kiirdoiirtereloalinsa
f1	1	8	kysoiinorkatechorcholaraloliin
f1	1	9	dalotatychearsakykoardaiir
f1	1	10	lkkashordekaaiinalsoolon
f1	1	11	doteshearsodedyidchor
f1	1	12	sosaororkeoltytaiiniir
f1	1	13	deresoletaleardyeedy
f1	1	14	kechesholcholiinsholqokkosholain
f1	1	15	chkedykeroaiinshorshorlaiin
f1	1	16	okcholrekoshordyaiinaiinal
f1	1	17	kdysholleshorcholsachechordyolte
f1	1	18	deolracheratylodaente
f1	1	19	scholsacholdocholcholkeka
f1	1	20	okainsholsholdyreardyy
f1	2	1	dotyiirdodytyreordeloon
f1	2	2	loshorsholsaiirkatyedy
f1	2	3	sodaollesadetacheshde
f1	2	4	ortyarshoralkydaanko
f1	2	5	lktycholchorlakyqokchekoortyiir
f1	2	6	kyarsholalsaqoksoaly
f1	2	7	qiirdyshortoroaldyolaindy
f1	2	8	pdykyolshorraqokkeiinaiinload
f1	2	9	iinsheaiinrekokysholkyto
f1	2	10	partyaintyqokshorlaod
f1	2	11	otaiintyqoklachetasaaiinsolaum
f1	2	12	ardekaderodoredaorum
f1	2	13	derechededaiirladoiir
f1	2	14	tochordakakochordydeiinal
f1	2	15	tesholloroaiinrateredyalcheed
f1	2	16	laiinaintalocholdyar
f1	2	17	kolekalaleolkeletydyain
f1	2	18	dykylesholdadykykodosaal
f1	2	19	yksholrorokosalorocholiin
f1	2	20	dkechetoderarosasaiinteiin
f1	3	1	dareolloorsashereshechoral
f1	3	2	choltyradoiirlodokoam
f1	3	3	dochorkeshesacholtoiinsholqokin
f1	3	4	ddyorkeariirlotysoem
f1	3	5	oldeshorshederareaiin
f1	3	6	tedearqoktosalasoimko
f1	3	7	doshorlasoloallaaintakysaiir
f1	3	8	kdychorkyledylorakosheeedy
f1	3	9	chtykokykychetaaiinchordyte
f1	3	10	teteleshechordaiinredydesoto
f1	3	11	plokydetyiinaraiindoaron
f1	3	12	shkekytadashoraiindaiinaiin
f1	3	13	opqokcholdaorteshorchedakeeedy
f1	3	14	okkearsholretesholcholalalaiin
f1	3	15	teroiintaraleledeiin
f1	3	16	okiiriirtychoroldyainor
f1	3	17	tydaqokiindadalosholiintyaiinsh
f1	3	18	ykalsholchololdedalearloan
f1	3	19	klechorqokladotyshechoriinshe
f1	3	20	kainketalekyainlatechor
f1	4	1	dodoshorolkorotedareqokeedy
f1	4	2	otkachesalorocholaiintasoteon
f1	4	3	kdaletearshedyoldesh
f1	4	4	keloaraltedakakyteke
f1	4	5	ykaiinkaorsholkyrokokakycheaiin
f1	4	6	allesaketokosaralodoan
f1	4	7	daroqokdokeraraalteor
f1	4	8	pleshortalochealroal
f1	4	9	lkrechorkosaradotesaqokin
f1	4	10	schorlashorshorleoldesheod
f1	4	11	rlaaldytaroainolainchoram
f1	4	12	tealiinlotylotychelodasaiir
f1	4	13	latylodeaiinrakeshordyedy
f1	4	14	srekychecholtedaiinedy
f1	4	15	shorshorqokdeleqoksoorchor
f1	4	16	doaiinorsasotakakyolad
f1	4	17	koarlosholaliinresochordy
f1	4	18	otsotyrasoshoriinkeshedoiinim
f1	4	19	roarorqokqokdetearshorsh
f1	4	20	kosaroalroshorterokyqokar
f1	5	1	teshorsosatocholrekyaiinar
f1	5	2	iirshecholkodyoriiron
f1	5	3	chkoalchekyalorsatyol
f1	5	4	dchetodydosheaintycholiin
f1	5	5	qolesokashorlekaiinqoktadedy
f1	5	6	tolashortelesholchordoalsholorim
f1	5	7	ftadalokalashorariirlaleiin
f1	5	8	koroshordoladotysoalkesholedy
f1	5	9	olorcholkoarrotolacholdaedy
f1	5	10	chkeiinshortosoarkyiined
f1	5	11	dsheainkydekotocheainalam
f1	5	12	dtaiirrarolokoolendo
f1	5	13	cholalolcholchorkylete
f1	5	14	doiirkaartolaardatetay
f1	5	15	okiirdeiirortydadote
f1	5	16	orrasaiinkatosholrey
f1	5	17	kodolarerodaarreeedy
f1	5	18	kochorlashordylaretachorreen
f1	5	19	psholkaartakaaiintotoad
f1	5	20	ykshoraltyaiinainalsholain
f1	6	1	kododoallesholkeledekycholedy
f1	6	2	tycholsodasholchorkarash
f1	6	3	leaiindokekaalcholod
f1	6	4	chorkaainqokdyleletataedy
f1	6	5	srokocholkosholkoshorradatyum
f1	6	6	kochoraltodereorchoram
f1	6	7	ptachorlakasoshesodear
f1	6	8	soiinoralsholdashorkasaid
f1	6	9	praalolainolleqokroen
f1	6	10	tyleiinsadydekeaiinsoleaiin
f1	6	11	olaiinortycholkesoshortaaron
f1	6	12	tylachoriinletosherocholedy
