folio	line	pos	token
f1	1	1	chykecheydyeeqooralamto
f1	1	2	cheyyyeealrhqoorqoksh
f1	1	3	dyalrhaiinylsholsht
f1	1	4	alqoaiinqokshtshedtyrkchey
f1	1	5	aiinainchqoksholdishedditi
f1	1	6	qokdishediinrkcheychaiinlhl
f1	1	7	shedrktichykokoshqoti
f1	1	8	dishedcheolditiykoaiinshal
f1	1	9	cheolrkcheyyaiinkoiinlqoti
f1	1	10	kylccheolkocheyltiokqokyq
f1	1	11	tiyaiinlalqokyqaiinshqot
f1	1	12	kidydorlcdoolrkqokqal
f1	1	13	kidorlcoldokoqokeolaiin
f1	1	14	shedqokoltoiinaiinolqokainchedy
f1	1	15	olardarchedytorsheqochorqok
f1	1	16	detoraiinrkqokyarorqoktsh
f1	1	17	rkkyorchqokoterkchedi
f1	1	18	chshotychamaldyychedy
f1	1	19	eolydoramalyrccheain
f1	1	20	dyychedyolchedchedychqokain
f1	1	21	shechecholtecheqoolainiin
f1	1	22	chshedydqoqokainliinchrh
f1	1	23	dqaokqokainqoklarrhar
f1	1	24	liinqolcharrhqoaiinain
f1	1	25	otkiaiincheyolkdorolqokqa
f1	1	26	tydydyychedaiindarlyqok
f1	1	27	cheoriinoliinaldoopshiin
f1	1	28	iindkallkdoshotchedyain
f1	1	29	iindlcoplkqashainoty
f1	1	30	iinrlcchlkqaeerklhol
f1	2	1	lkdoshotiinolokaindol
f1	2	2	tyrkainlhiinokainchedykoto
f1	2	3	chyolokchedyyyqchdorqo
f1	2	4	chyolytordoolchedtoshedqo
f1	2	5	arshedarydeolchedainqoky
f1	2	6	yaindeshedqokyarchkytky
f1	2	7	chedqorkchorqokkyrkdedy
f1	2	8	chortyqoktikydidychrc
f1	2	9	kyqoktichechdyyrcqokchedy
f1	2	10	chechaiindideaindarchedyeqa
f1	2	11	chedyyshercchedyshqochedyd
f1	2	12	doramainshercolchedydlcd
f1	2	13	amkyshecholchetechok
f1	2	14	ychaintedcheqachokain
f1	2	15	chcheqachechokchlcheolar
f1	2	16	cholqocheqokliinqokartor
f1	2	17	eealiinoralamtshtochy
f1	2	18	amqokoltytotychychaiinko
f1	2	19	oltytodyaiindarkolqotdor
f1	2	20	olqokttotychchycheddar
f1	2	21	ttsheddirkcheyychdard
f1	2	22	tdiiincheolyaiinaiinalqook
f1	2	23	aiinkoaiinlhlalqokykeaiinsh
f1	2	24	docheolchrkeechedyolqaolshed
f1	2	25	qaeeolainchedyarshedytorch
f1	2	26	shdarolarshedsholchedainshed
f1	2	27	arshedytordechchedainqokydor
f1	2	28	shearqolcshedkyrkqokyaiindi
f1	2	29	sherkqokyarchorkychdide
f1	2	30	shechoterkchedordeyshe
f1	3	1	chortchedoryshedarrcain
f1	3	2	chdycheainshqotedlcd
f1	3	3	dordychedycheainqotechedydqo
f1	3	4	ainalsheainqotecheqaokqo
f1	3	5	shechchecholqaqoqokchl
f1	3	6	chchkecheqokqoqokoldol
f1	3	7	yqoeeqoaliinamshqokt
f1	3	8	aiinqoalqolshqoksholsh
f1	3	9	aiinalrhallcholttshed
f1	3	10	alqooraliinqokoldetchy
f1	3	11	orchtoqokoltrkychy
f1	3	12	dedyiinrkychaiinkoshd
f1	3	13	tshedrkykokoshdlti
f1	3	14	cheyykodlolcheytikeaiin
f1	3	15	cheytiyaiinaiinchqoaiinamsh
f1	3	16	dyteiindokochedyolshqadar
f1	3	17	qotkilcteiinshedolkooll
f1	3	18	lcolshedkoolchyaiindaroliin
f1	3	19	iinolshedqokchyoliinaraiinol
f1	3	20	dokolcchedychyrcliinchar
f1	3	21	ainrcqqolqokyaiindaram
f1	3	22	chyrcqiincholaiinrkorshedy
f1	3	23	aiinolytorkyorqoktotol
f1	3	24	kyshedychorqokcholchdorain
f1	3	25	tamainsherccheainchedyqote
f1	3	26	oteamalshechedyolcheolqo
f1	3	27	yamkshshechedychchcheqa
f1	3	28	chedychcholtedchechiinqo
f1	3	29	cholkeqacheamqordoqo
f1	3	30	olshedyqoqokiinqoktorchrhtor
f1	4	1	qokiinqocheolchrhtordiokaiin
f1	4	2	titotqokshchetydydyy
f1	4	3	toqokqokshtochychaiindarko
f1	4	4	tydychedkoqotdorqokchedytdy
f1	4	5	tytichyorlcdodoshrkain
f1	4	6	oldlcqarkotiinchyshedy
f1	4	7	lcchdotylhchyolqokdy
f1	4	8	qarkshedqaeeainlhshedyain
f1	4	9	shedkoqokcheyshdarytoraindar
f1	4	10	oltoolaraiinoldechedqork
f1	4	11	arshedoldedarchedyqokykyqoksh
f1	4	12	darchedyaiinsheqoorqoktytsh
f1	4	13	aiinkychtkyrkchtedey
f1	4	14	qokyorchotolchdedyy
f1	4	15	chorotolchechdordeyche
f1	4	16	qokchdeyainyychechol
f1	4	17	eykshychketeqache
f1	4	18	ychshtkychkecheqache
f1	4	19	altchqocheqaqokqordo
f1	4	20	chyqkecheyeeqoiinaltish
f1	4	21	shedydyaiinyqoqoyaliinsh
f1	4	22	alalliinshtoqokshtydi
f1	4	23	toolshtttychydichch
f1	4	24	tchyrkchychkosholchey
f1	4	25	chydichaiinkolhcheyqodyaiin
f1	4	26	docheollcdoqacheytylhchychedy
f1	4	27	qarkainqaolarqokdshy
f1	4	28	shedqaeechedyollhsholchedysh
f1	4	29	olokchedyshedshtorolchedtoshed
f1	4	30	okchedyarshydechsheshedar
f1	5	1	chedaiinsheshedqokykyshedtikyaiin
f1	5	2	dorqokytikydiychdarqok
f1	5	3	qotyrkaiinkeainydarainche
f1	5	4	tekecheqokolearqaeot
f1	5	5	cheokarqadyrclctcheolshe
f1	5	6	echeollccheolsheaiiniincheyalch
f1	5	7	aiinaiincheytiltiokamshqot
f1	5	8	ycheyqcholqokyqamqoktar
f1	5	9	teshedqokolkoqatolshedaiin
f1	5	10	chedykoaiindararshedartordechedy
f1	5	11	kotoollshedoldarchedyaiinshe
f1	5	12	iinarolqokdesherkkyarqok
f1	5	13	olqokyolamqoprkkyorch
f1	5	14	qoprkkyqokcheoleychamal
f1	5	15	opcheoldoramalkychedy
f1	5	16	qokoteolalkshecholol
f1	5	17	otyalchcheainolqoted
f1	5	18	alykyainkecheqachqool
f1	5	19	chedychkeshedyqoqacheqokqokr
f1	5	20	cholqoqokamqodoiinqorh
f1	5	21	ydyeealiinorltosht
f1	5	22	dyaiindarallchqokshtdi
f1	5	23	alaiinorallqokshtdished
f1	5	24	deshtshedtychycheychkolh
f1	5	25	dydishedcheolditikoaiinshlh
f1	5	26	rktiyaiindalolcheyqoaiin
f1	5	27	qrlcrkdocheychedylhchyar
f1	5	28	teiinchqaeechedyolshqachedy
f1	5	29	docheolshedchedylhshqatochedyshed
f1	5	30	ollhtochedyarshedarytorde
f1	6	1	chedyshedshtordeaiinainshedqokyqo
f1	6	2	olchchedsheshedarqokrkkyte
f1	6	3	dorkytikyrkqokyaiindiainche
f1	6	4	tikyqokykyteainaincheqokol
f1	6	5	darolokearqadeekylc
f1	6	6	keainchdarqokoloklcrcky
f1	6	7	aincheolokearcheollctshe
f1	6	8	rciintaiinaiincheytilolche
f1	6	9	elctaiinqosheqchedolche
f1	6	10	otlctaiinshetycheytiqqoky
f1	6	11	qokainqocheolqokdeotchecheyol
f1	6	12	aiinqotecheolqokdeqokyaiinlhche
f1	6	13	eeteqchedqokyaiinkocheqotok
f1	6	14	lcolrhqochedychedyaiinqlch
f1	6	15	echedyiinqiinokolaiinolchedy
f1	6	16	lcchedyainrcchedyiinqokqopainty
f1	6	17	iinchalokshqokolqokchch
f1	6	18	qokteqopkyshedyshedoteyy
f1	6	19	aiinqopainshedyiniindeshqach
f1	6	20	ainalqindarokainqochyaiin
f1	6	21	ainyalcheainqinainqoaiin
f1	6	22	cheaindarokkokkeaiincheyke
f1	6	23	qchedyokkotokkeqopcheyke
f1	6	24	okaiinqoqopiinecheyyshedydy
f1	6	25	chedaliinekeshedyshedqokyaiiny
f1	6	26	kotodordlcshedshedyykoke
f1	6	27	tosheaineshedshedyshedqokyaiiny
f1	6	28	iinetishedykyykedariinch
f1	6	29	shedyshedaiinkokeliinshdyrc
f1	6	30	keaindarchechdedyrcdiiin
f1	7	1	yqokolchedyokdyotiincheollc
f1	7	2	chdarrcolqokchedyercqokky
f1	7	3	qachekylctqotyiincheyti
f1	7	4	eqokchecheoleeiincheytichche
f1	7	5	cheolshetyeecheychedqokyqokyqdo
f1	7	6	qolqokychedokolhqoktarqot
f1	7	7	lctarolarelcaiinqqch
f1	7	8	doarchedychedyrcqolliinol
f1	7	9	chedyiinqqiinokolqokaiintor
f1	7	10	iinrchedyiinalqokaiinolteqop
f1	7	11	iinokyaiinkyoropqokchcheol
f1	7	12	aiintyshedyopshedqokchcholy
f1	7	13	orshedqokdeeolalyych
f1	7	14	shedycheoldesholyqashchedyky
f1	7	15	shedyshedsholyaintychedydor
f1	7	16	cheolyqadyalshtkyolshedy
f1	7	17	qokainyarcheyqoqaalrh
f1	7	18	cheykearcheyyeeqoalainor
f1	7	19	qaeeqoalainalamtishqok
f1	7	20	yqoaiinqoaiinoralltot
f1	7	21	alqoaiinoraliinchtosht
f1	7	22	aloltttyrkcheychyko
f1	7	23	qokshdyttrkchkodl
f1	7	24	cheytichkoshlhlolkeaiin
f1	7	25	cheyyaiinolqotioktikeam
f1	7	26	rkcheyydlhalcheyqoamsh
f1	7	27	ainteiinqarkshedqaeechedyol
f1	7	28	lcchqashedcheychedyolainokar
f1	7	29	qaeecheyshqaokshedtorchched
f1	7	30	lhqatorainchedyolchtosheshed
f1	8	1	chedyshedshytorsheshedqokyty
f1	8	2	aindechedsheshedqokyarkytyky
f1	8	3	torchedaiinsherkqokttichech
f1	8	4	aiinsheshedqokyorshchetededy
f1	8	5	tikyrkaiintedidechrcol
f1	8	6	qoktchedortedyycholsh
f1	8	7	shecheaindyyyolainsh
f1	8	8	sheydarrcolchedydchotain
f1	8	9	yychqotecheqadchiin
f1	8	10	ainketedqachokqoolch
f1	8	11	qokokqorlqoklarchdi
f1	8	12	ainlcheolarrhtoaiinoldorain
f1	8	13	amtitoshchydychychaiin
f1	8	14	qoktychyaiindarkoeardor
f1	8	15	tarchedaiiniinoliindoplkty
f1	8	16	daloplkdodoamtyqako
f1	8	17	lkqaainkochyshedydaindo
f1	8	18	lkdoeetyotiinchyokshchedy
f1	8	19	cheyrkainlhshchychedyartorched
f1	8	20	chedyarshedarytorolchaiinshe
f1	8	21	lhtookchedyarshchedsheainqoky
f1	8	22	yaindesheshedorlctikyrk
f1	8	23	tordaraiinqoainqokychqotyti
f1	8	24	qotyqoktchekyaiindikeain
f1	8	25	qokyarchqokshotrkchrcol
f1	8	26	chchcheamainydarrcol
f1	8	27	chcheolshotedoramainalrc
f1	8	28	qokchcheolotolyamysheche
f1	8	29	olamshchedykycheainolcheqa
f1	8	30	ycholtedcheokchainiin
f1	9	1	ainchtedcheqaainiinlcheol
f1	9	2	chchcheolcharqoktechdide
f1	9	3	chliinqolcheolaramotchey
f1	9	4	chamotkiolkcheokqqok
f1	9	5	chditoaiinkdorcheqainqok
f1	9	6	iinrshainiinainchedyaralin
f1	9	7	iindarshrchedyorarokinl
f1	9	8	iintareeaiinoriinolalopty
f1	9	9	iiniinlkdoopamshiinchedyshed
f1	9	10	opshshqakootiinchedyainal
f1	9	11	doqashainkootiinainaldo
f1	9	12	shkoshedyddookainchedto
f1	9	13	lhshiinolqokqdochedsheain
f1	9	14	lhdararsheddainchedyolsheain
f1	9	15	sholaiinsheshedqotyelcky
f1	9	16	olchchedsheainqokyartylcshed
f1	9	17	aiinorkytshcheaiintedidy
f1	9	18	artshotchtededydarrc
f1	9	19	otkydortedidedyychdar
f1	9	20	kychdoryydarolsharqa
f1	9	21	ychrcolchechedyshtechot
f1	9	22	olshqalcchedyottaiinqote
f1	9	23	chqochedychqoqokainaiinqocheol
f1	9	24	chainqotecheolqokteqamot
f1	9	25	chqoolchainlchqokaram
f1	9	26	qokdoliincharokotqoki
f1	9	27	amshtoqoktqoktychdych
f1	9	28	shqokshtytotychchaiindar
f1	9	29	tytochdyydorolqokchedyt
f1	9	30	tochyaiindarqotarcheychedyt
f1	10	1	tartiaiinkerdoqaeeainlh
f1	10	2	qlcdotyainiinchyolokchedy
f1	10	3	doqacheyiinolchedydshqol
f1	10	4	iinolokchedyshqchedykocheddor
f1	10	5	tordochchedsheainshedqoeshed
f1	10	6	aiinshesheddorqokylcshedtite
f1	10	7	toshedlctishedqokykyaiinyain
f1	10	8	lctiqokykyaiintekookear
f1	10	9	shedkydeainaincheolchedyeqa
f1	10	10	keycheqokchedyoklcdykyt
f1	10	11	eqalcrcrckylcaiinaiinshe
f1	10	12	arlcrcotcheollcyaiintyiin
f1	10	13	chedydchotlcaiinqosheeechey
f1	10	14	dchchqocheoleeqokteamot
f1	10	15	qokcheqocheolqokchqchedinol
f1	10	16	tetechchedotcheyollhqopche
f1	10	17	teqamqokychelhqopqotokol
f1	10	18	tarolrharchedyaiinqchedyiinch
f1	10	19	oliindochedychedyiinrcoroksh
f1	10	20	ainainiinqorokshchedyydo
f1	10	21	qqchedychchedyolteqopdarop
f1	10	22	alokaiinteqopshedyiinchcheolde
f1	10	23	oldosheaintychsholyqa
f1	10	24	qopopsheddesheyqaaint
f1	10	25	shedyopshedyainkychedychky
f1	10	26	alainalqochychyqopdchychey
f1	10	27	okainkokqopdqcheyydy
f1	10	28	kokeqoqopaldcheykeyy
f1	10	29	keqoqopaldcheykeyshedyal
f1	10	30	cheyshedyaiinrhqoorallqokol
f1	11	1	shedqokykydyyrhaiinokshol
f1	11	2	shedaiinydariinchokeolrc
f1	11	3	ydarainokearqacheolkylc
f1	11	4	keqokolchedyqaeiincheolkyt
f1	11	5	rcolqokarlcdqokkytqo
f1	11	6	olqotelcchedyrcqokchecht
f1	11	7	qalcchotaiinqotetychedde
